,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
5505,136833_fnca,1,1,Reward,2,5,2.0,0,741,27,1,0,1,0,3.0,,1.0,,MostlyReward,MostlyReward
5506,136833_fnca,2,1,Reward,3,5,3.0,0,356,13,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
5507,136833_fnca,3,1,Punishment,4,5,2.0,0,344,14,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
5508,136833_fnca,4,1,Reward,5,5,3.0,0,255,13,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyReward,MostlyReward
5509,136833_fnca,5,1,Reward,6,5,2.0,0,242,14,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
5510,136833_fnca,6,1,Reward,7,5,3.0,0,229,14,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
5511,136833_fnca,7,1,Neutral,8,5,2.0,0,322,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
5513,136833_fnca,10,1,Reward,10,5,2.0,0,782,13,1,0,1,0,3.0,,1.0,,MostlyPunishment,MostlyPunishment
5514,136833_fnca,11,1,Punishment,11,5,3.0,0,516,13,1,1,0,0,2.0,2.0,1.0,Reward,MostlyPunishment,MostlyPunishment
5515,136833_fnca,12,1,Punishment,12,5,2.0,0,343,13,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
5516,136833_fnca,13,1,Punishment,13,5,3.0,0,380,13,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
5517,136833_fnca,14,1,Neutral,14,5,2.0,0,412,13,1,0,1,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
5518,136833_fnca,15,1,Punishment,15,5,2.0,0,310,14,2,0,2,0,3.0,2.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
5519,136833_fnca,16,1,Punishment,16,5,3.0,0,411,14,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
5521,136833_fnca,19,1,Punishment,18,5,2.0,0,532,14,2,0,2,0,3.0,,1.0,,MostlyPunishment,MostlyPunishment
5522,136833_fnca,20,1,Punishment,19,5,3.0,0,278,14,1,1,0,0,3.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
5523,136833_fnca,21,1,Punishment,20,5,3.0,0,280,13,2,2,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
5524,136833_fnca,22,1,Neutral,21,5,3.0,0,331,13,3,3,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
5525,136833_fnca,23,1,Punishment,22,5,3.0,0,705,13,4,4,0,0,2.0,3.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
5526,136833_fnca,24,1,Neutral,23,5,2.0,0,328,13,1,0,1,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
5527,136833_fnca,25,1,Punishment,24,5,2.0,0,390,14,2,0,2,0,3.0,2.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
5529,136833_fnca,28,1,Reward,26,5,2.0,0,339,13,1,0,1,0,3.0,,1.0,,MostlyReward,MostlyReward
5530,136833_fnca,29,1,Reward,27,5,3.0,0,528,12,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
5531,136833_fnca,30,1,Punishment,28,5,2.0,0,349,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
5532,136833_fnca,31,1,Reward,29,5,3.0,0,324,13,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyReward,MostlyReward
5533,136833_fnca,32,1,Punishment,30,5,2.0,0,552,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
5534,136833_fnca,33,1,Reward,31,5,3.0,0,411,13,1,1,0,0,3.0,2.0,0.0,Punishment,MostlyReward,MostlyReward
5537,136833_fnca,1,2,Punishment,2,5,2.0,0,464,26,1,0,1,0,3.0,,1.0,,,MostlyPunishment
5538,136833_fnca,2,2,Punishment,3,5,3.0,0,236,13,1,1,0,0,2.0,2.0,1.0,Punishment,,MostlyPunishment
5539,136833_fnca,3,2,Reward,4,5,2.0,0,275,13,1,0,1,0,3.0,3.0,1.0,Punishment,,MostlyPunishment
5540,136833_fnca,4,2,Punishment,5,5,3.0,0,198,14,1,1,0,1,2.0,2.0,1.0,Reward,,MostlyPunishment
5541,136833_fnca,5,2,Reward,6,5,2.0,0,303,13,1,0,1,0,3.0,3.0,1.0,Punishment,,MostlyPunishment
5542,136833_fnca,6,2,Punishment,7,5,3.0,0,292,13,1,1,0,0,2.0,2.0,1.0,Reward,,MostlyPunishment
5543,136833_fnca,7,2,Punishment,8,5,2.0,0,316,13,1,0,1,0,3.0,3.0,1.0,Punishment,,MostlyPunishment
5545,136833_fnca,10,2,Reward,10,5,2.0,0,554,13,1,0,1,0,3.0,,1.0,,,MostlyReward
5546,136833_fnca,11,2,Neutral,11,5,3.0,0,262,14,1,1,0,0,2.0,2.0,1.0,Reward,,MostlyReward
5547,136833_fnca,12,2,Reward,12,5,2.0,0,445,13,1,0,1,0,3.0,3.0,1.0,Neutral,,MostlyReward
5548,136833_fnca,13,2,Reward,13,5,3.0,0,319,13,1,1,0,0,2.0,2.0,1.0,Reward,,MostlyReward
5549,136833_fnca,14,2,Reward,14,5,2.0,0,286,13,1,0,1,0,3.0,3.0,1.0,Reward,,MostlyReward
5550,136833_fnca,15,2,Reward,15,5,3.0,0,426,13,1,1,0,0,2.0,2.0,1.0,Reward,,MostlyReward
5551,136833_fnca,16,2,Neutral,16,5,2.0,0,289,13,1,0,1,0,3.0,3.0,1.0,Reward,,MostlyReward
5553,136833_fnca,19,2,Punishment,18,5,2.0,0,499,14,1,0,1,0,3.0,,1.0,,,MostlyPunishment
5554,136833_fnca,20,2,Punishment,19,5,3.0,0,225,13,1,1,0,0,3.0,2.0,0.0,Punishment,,MostlyPunishment
