,HCPID,ans,bll,lf,LL
83,126628_fnca,0.3,0.45,0.1,-1.878995310133334
71,126628_fnca,0.25,0.5,0.1,-1.8820284516820078
15,126628_fnca,0.05,0.3,0.1,-1.8886957451856516
34,126628_fnca,0.1,0.6,0.1,-1.8898052653077442
64,126628_fnca,0.2,0.8,0.1,-1.8916377821791577
27,126628_fnca,0.1,0.25,0.1,-1.893067494835162
61,126628_fnca,0.2,0.65,0.1,-1.895144574958024
66,126628_fnca,0.25,0.25,0.1,-1.8960891055083056
57,126628_fnca,0.2,0.45,0.1,-1.896923359373394
26,126628_fnca,0.1,0.2,0.1,-1.8969640696642305
6,126628_fnca,0.0,0.5,0.1,-1.897245781087693
76,126628_fnca,0.25,0.75,0.1,-1.8981533837690772
62,126628_fnca,0.2,0.7,0.1,-1.8985038526009785
53,126628_fnca,0.2,0.25,0.1,-1.8989036044090573
54,126628_fnca,0.2,0.3,0.1,-1.9017812361374555
45,126628_fnca,0.15,0.5,0.1,-1.9025318515425755
92,126628_fnca,0.35,0.25,0.1,-1.9028618308083436
22,126628_fnca,0.05,0.65,0.1,-1.9034798326441233
55,126628_fnca,0.2,0.35,0.1,-1.9035160695998377
41,126628_fnca,0.15,0.3,0.1,-1.9038640939668467
39,126628_fnca,0.15,0.2,0.1,-1.9041897349277384
72,126628_fnca,0.25,0.55,0.1,-1.9049782004659375
50,126628_fnca,0.15,0.75,0.1,-1.9049782004659375
87,126628_fnca,0.3,0.65,0.1,-1.905105595744351
59,126628_fnca,0.2,0.55,0.1,-1.9053618393107419
68,126628_fnca,0.25,0.35,0.1,-1.9053797900763847
60,126628_fnca,0.2,0.6,0.1,-1.9060129018655205
35,126628_fnca,0.1,0.65,0.1,-1.9061157378252096
14,126628_fnca,0.05,0.25,0.1,-1.9065920554065947
33,126628_fnca,0.1,0.55,0.1,-1.906924568616557
23,126628_fnca,0.05,0.7,0.1,-1.9073275686457127
63,126628_fnca,0.2,0.75,0.1,-1.9077152452156856
52,126628_fnca,0.2,0.2,0.1,-1.9077209837696845
31,126628_fnca,0.1,0.45,0.1,-1.9080000393287224
44,126628_fnca,0.15,0.45,0.1,-1.9082222842446175
40,126628_fnca,0.15,0.25,0.1,-1.9084080279051538
86,126628_fnca,0.3,0.6,0.1,-1.9084867856014314
46,126628_fnca,0.15,0.55,0.1,-1.9105935317194427
51,126628_fnca,0.15,0.8,0.1,-1.9108116076353472
73,126628_fnca,0.25,0.6,0.1,-1.9108702670491442
69,126628_fnca,0.25,0.4,0.1,-1.9112815720234353
32,126628_fnca,0.1,0.5,0.1,-1.9114194379987417
74,126628_fnca,0.25,0.65,0.1,-1.9121194893444138
65,126628_fnca,0.25,0.2,0.1,-1.9132404305216908
28,126628_fnca,0.1,0.3,0.1,-1.9134052096295786
7,126628_fnca,0.0,0.55,0.1,-1.9142887753215743
70,126628_fnca,0.25,0.45,0.1,-1.914488130434007
99,126628_fnca,0.35,0.6,0.1,-1.9152638564222855
37,126628_fnca,0.1,0.75,0.1,-1.9153333064645355
