,HCPID,alpha,proc.temp,proc.LL,decay,decl.temp,decl.LL,best.model
0,173132_fnca,0.45122366646769074,0.7763561478397372,-34.92707413981193,-0.24207879471742222,1.5371033688870948,-36.69960399446433,Procedural
1,161731_fnca,-0.06345124465405885,0.11188166078113498,-36.256602044456905,-39477395918708.375,66564442471675.19,-38.816242111356964,Procedural
2,150523_fnca,0.574170534284421,0.5420201234324197,-15.386656429273925,131.41724326678113,13.577009271638417,-18.02862545302881,Procedural
3,173940_fnca,0.2515672575679778,2.1547709165732485,-38.28477708058376,-2801951700004.374,4724484694268.574,-38.816242111356935,Procedural
4,169343_fnca,0.02927083948922869,0.33718278334504026,-37.85297029679671,-1.210634036089024,3.9023083807136825,-37.68797585963939,Declarative
5,167743_fnca,0.9407611210513391,1.5468364459658177,-34.94609421713207,-3.8353783946219107,8.314807062102803,-37.24432013151531,Procedural
6,151526_fnca,0.0001898458827486201,0.010002855213309354,-38.76888930349377,-17029740467896.375,28714537860002.0,-38.816242111356935,Procedural
7,177645_fnca,-0.1274960009483493,1.8221430293173357,-36.932783290909995,-24291451355216.668,40958803846686.19,-38.123094930796995,Procedural
8,178748_fnca,-0.056098585508613505,1.5725765679846164,-36.975412830172594,-33159180338372.492,55911042273651.195,-37.42994775023707,Procedural
9,172130_fnca,0.1262311940115978,0.7372609411264415,-38.30101431262403,-11227223484600.61,18930678035032.727,-38.81624211135694,Procedural
10,172029_fnca,0.07027810342300239,0.3196760848372971,-35.08916481153082,-0.05902990989192782,1.5619933304014442,-35.578960782031416,Procedural
11,159340_fnca,0.7141045264563074,0.43664976703643865,-26.991265460507616,-0.1667630975105539,0.5393404094611913,-31.55769311010471,Procedural
12,158035_fnca,0.0007287107022068344,0.009896237321673355,-38.347459878721686,-12266044287473.572,20682276028727.605,-38.81624211135694,Procedural
13,111312_fnca,-0.1278502272047933,1.1900248330142325,-36.35602765526602,-23950841679577.844,40384488034520.734,-38.816242111356935,Procedural
14,125525_fnca,0.5750650008924836,0.9523220115304776,-36.64981033574225,-182.71967302691246,310.2717354237104,-38.816228894291015,Procedural
15,150524_fnca,0.6274239645750492,1.246568491302728,-35.382525172366144,-27352517851887.742,46120192538681.81,-37.42994775023703,Procedural
16,140824_fnca,0.3700712078893029,0.6000089796790851,-34.34503809840752,4.687111078271468,1.1306536035684318,-32.52632576125085,Declarative
17,126628_fnca,0.20807374137494303,0.17161145693001123,-18.091902582270404,12.831049664054905,1.4415072791352952,-19.07408304867532,Procedural
18,116524_fnca,1.2935777727158526,3.2084891147753014,-36.84617559287755,-9.119201073443499,17.161094273131077,-38.115028134807396,Procedural
19,123925_fnca,0.00014072990934076935,0.009994034477827022,-38.7812302490289,-30000072548204.555,50584342174639.2,-38.81624211135693,Procedural
20,173334_fnca,0.024836894375205466,1.2982651224994708,-38.091164015278515,-15323117825750.562,25836932029128.688,-38.12309493079701,Procedural
21,120515_fnca,0.0003342246599302689,0.009936488912611974,-38.52642155383213,-6.06125070939637,12.087411217859092,-38.781360480639265,Procedural
22,103111_fnca,0.909370732823614,4.170599398414663,-38.42974466528874,-51660281021474.6,87106500415352.05,-38.81624211135693,Procedural
23,992774_fnca,0.046516416152165375,0.43753311410723034,-38.18228144117127,-1.0341700669055667,3.56927021399795,-38.26888613113251,Procedural
24,165840_fnca,0.00035564325255051484,0.009967527581611514,-38.480463343367916,-3.130640597429191,7.109336066946518,-38.711295348808974,Procedural
25,115320_fnca,0.5718985139777176,1.4521533145333996,-37.748601855488,-5.3728705328207536,10.926638116799712,-38.78235964246147,Procedural
26,159239_fnca,-0.16912735012386318,0.41294554226900315,-31.98337615594794,-718282520468.5991,1211125364885.5771,-37.42994775023707,Procedural
27,108323_fnca,-0.034989078697555825,0.10105034967868042,-35.09937659033381,-44181703228789.266,74496566322266.0,-36.043653389117175,Procedural
28,140117_fnca,0.00028946359489389934,0.009943702135563977,-38.67210989709491,-1782912108411.3735,3006240603335.7246,-38.81624211135694,Procedural
29,102311_fnca,-0.10258850288927522,0.24120166629500422,-35.18566946676554,-23412872256159.516,39477395918709.68,-38.816242111356964,Procedural
30,145531_fnca,-0.12647968362952827,0.2759014468788705,-32.591412833956696,-32973887705968.758,55598612838496.64,-38.12309493079702,Procedural
31,113619_fnca,-0.010876567495919929,0.08578639561076146,-37.133993387094094,-44181703228789.266,74496566322266.0,-37.42994775023707,Procedural
32,139637_fnca,0.517029529146918,1.883390881910013,-37.38552204715961,-1.8034326776527834,4.875656137655862,-37.89238547071507,Procedural
33,127630_fnca,-0.000843279059972675,0.0057416129717744345,-36.62099677764159,-21.99354063272483,39.11957268714911,-36.73601638146433,Procedural
34,163331_fnca,0.31764896739365595,0.7567844057324139,-37.434338143989564,-29731087836495.395,50130796116733.664,-38.81624211135694,Procedural
35,138231_fnca,1.697856266867898,2.687470459159659,-35.11459274759391,-1.5733427754542264,4.574178701140615,-38.55187998445523,Procedural
36,106016_fnca,-0.02370153672686203,0.06768275058126601,-37.176743276732275,-17128279764787.283,28880688977923.88,-38.81624211135696,Procedural
37,172332_fnca,0.13709216185453446,1.8550657235959411,-38.72724693645388,-11997059575764.41,20228729970822.082,-38.81624211135698,Procedural
38,144226_fnca,0.966555251734619,1.4216967813410988,-36.20877563694606,-0.4334815015226229,2.6717917955849617,-38.33988044847288,Procedural
39,104820_fnca,0.11900899606886653,1.791513105649267,-38.70237443577019,-13187983620870.111,22236795428640.68,-38.81624211135694,Procedural
