,orig.model,orig.alpha,orig.proc.temp,orig.decay,orig.decl.temp,HCPID,alpha,proc.temp,proc.LL,decay,decl.temp,decl.LL,best.model,diff.LL
0,Declarative,,,0.9313706477743605,3.3701361276270085,173132_fnca,0.010051908866483002,9.999999981444079,-37.43415713493604,0.12223677132317246,9.999999979332506,-37.415506723169834,Declarative,-0.018650411766202524
1,Declarative,,,1.7551094424664644,3.335654343280085,173132_fnca,0.6852255356054523,1.1278437397028744,-34.89172855842331,0.8766017209323338,1.8440419544348923,-34.76214332721094,Declarative,-0.1295852312123671
2,Declarative,,,0.20301371618273376,2.4638839560709718,173132_fnca,0.010059630951829187,9.999999982589495,-37.43454857661642,0.010057525994255748,9.999999981553596,-37.432028280939434,Declarative,-0.0025202956769874163
3,Declarative,,,0.8591717261318611,0.7314696888736782,173132_fnca,0.5727152658227004,0.44469694789146974,-31.613150329199712,0.511894742589603,0.5360090537440252,-30.127971576896492,Declarative,-1.48517875230322
4,Declarative,,,0.6770471302834646,1.029916569661962,173132_fnca,0.8008157369933744,2.0480274330736425,-36.0612311882919,0.6448371643676664,1.3545401197244693,-34.42253565808461,Declarative,-1.6386955302072863
5,Declarative,,,1.806807767849867,2.6265696702889003,173132_fnca,0.4931923965607508,0.5921058658605364,-32.159598719150296,1.9999999569460984,1.7444749141751597,-28.69914559252221,Declarative,-3.460453126628085
6,Declarative,,,1.7914891163524584,2.5461750383566653,173132_fnca,0.9461351811086632,1.2345155430941266,-34.33047386447352,1.999918695865473,3.3624747821806342,-34.29221294609794,Declarative,-0.038260918375577546
7,Declarative,,,0.9119922277726253,4.570055830651007,173132_fnca,1.9141792063197554,9.999671480229425,-35.64884348568894,0.010000002126362687,2.8194833341038112,-37.29713844690139,Procedural,1.64829496121245
8,Declarative,,,1.1424088147010845,4.877780032622839,173132_fnca,0.319062163301585,1.2075178612936537,-36.79106955130382,1.9999996890832727,5.880891259714619,-35.58440541793075,Declarative,-1.2066641333730672
9,Declarative,,,1.3895857970441248,3.6398495511086493,173132_fnca,0.15927244022128967,0.9590792207815808,-36.958067345464784,0.029427133142819806,1.28009780784603,-37.178513585868025,Procedural,0.22044624040324123
10,Declarative,,,0.8878765728323479,3.642769820590371,173132_fnca,1.6697107997340752,3.4652518008714317,-35.4421194664176,0.04242124680149073,3.3842906847958276,-37.385505910076766,Procedural,1.9433864436591648
11,Declarative,,,1.9574008122937758,0.8695697554027471,173132_fnca,0.7613045380124392,0.471140917217509,-29.033108351655063,1.133779810650462,0.48559169246333694,-22.642464991346284,Declarative,-6.390643360308779
12,Declarative,,,0.3288507560596021,4.961403354337522,173132_fnca,0.09245559593130233,0.5749424011691145,-37.14331295872959,0.010000000809715795,2.660606545009504,-37.380068563625535,Procedural,0.23675560489594716
13,Declarative,,,0.06068750315751225,2.249595340859348,173132_fnca,1.6161825372005543,5.6453124086706845,-36.24701204646237,0.01000000160227778,1.3984215650377338,-37.15931244241362,Procedural,0.9123003959512488
14,Declarative,,,0.9851778906831404,3.2266831299228222,173132_fnca,0.1020451951620859,0.8071250744745088,-36.87392165540127,0.6696558098974476,2.562014151787991,-36.119508806504435,Declarative,-0.754412848896834
15,Declarative,,,0.44192983770203964,4.081253070711623,173132_fnca,0.046746999087567215,0.18221883014218615,-35.88727826474707,0.08197243002298707,1.6431129119776797,-37.0483889933438,Procedural,1.1611107285967321
16,Declarative,,,1.2897053883567628,3.46601159557973,173132_fnca,0.010001524340864423,0.08366026562532443,-36.89384657259107,0.3236093292600547,0.8088237359423602,-36.6993517427742,Declarative,-0.19449482981687538
17,Declarative,,,1.5157298077962875,4.410208371904375,173132_fnca,0.5251724602616308,1.4427112984946484,-36.62688535826819,0.010000000487687354,1.362944995775302,-36.8092156618645,Procedural,0.1823303035963093
18,Declarative,,,0.5718812247804932,1.1491730209381417,173132_fnca,1.6316531581138973,2.3110110804610438,-33.16306316315735,0.6318479128228247,1.5926152206141442,-35.45655686940866,Procedural,2.2934937062513114
19,Declarative,,,1.2359459131114072,0.3976360154650782,173132_fnca,0.5443442923195247,0.33242457081078086,-27.03626480470536,1.206917495372698,0.38057157224092203,-16.597689570065086,Declarative,-10.438575234640275
20,Declarative,,,1.4958567488182697,1.1906835653119208,161731_fnca,0.9977423220842642,0.04366665735792967,-17.322725177070044,0.873350938721254,0.35190526195665306,-21.91179739235377,Procedural,4.589072215283725
21,Declarative,,,1.5747496875909077,3.280850945988403,161731_fnca,0.5740734945297435,0.8740417057676958,-36.11590815265693,1.9999999997898361,2.0104527588277827,-35.07073088688684,Declarative,-1.0451772657700857
22,Declarative,,,0.28438623688167014,1.177545068533562,161731_fnca,0.24162227557959495,1.0327008230280663,-38.33010926809475,0.010000001341838937,1.6043357123418087,-38.50996465778191,Procedural,0.1798553896871553
23,Declarative,,,0.7595134043711578,0.07198289699356764,161731_fnca,0.4094189226521929,0.3471470639619442,-28.73442769622509,0.7602299209974727,0.04425075542048885,-7.095008913100059,Declarative,-21.63941878312503
24,Declarative,,,1.6400640158177588,4.607982222069839,161731_fnca,1.3662041297465541,2.8603829663316604,-37.20765936020771,1.1061235702554497,2.660259411927461,-36.490198801118986,Declarative,-0.7174605590887211
25,Declarative,,,1.6370961210510238,3.8602222679355984,161731_fnca,1.85721368068095,4.902404124761904,-36.985104193159415,0.03330465052249851,2.454443550760758,-38.68874358259174,Procedural,1.7036393894323254
