,HCPID,egs,alpha,r,LL
1,162733_fnca,0.0,0.1,1,-1.8730351292622502
11,162733_fnca,0.05,0.1,1,-1.9004339742902512
21,162733_fnca,0.1,0.1,1,-1.9055135793667204
10,162733_fnca,0.05,0.05,1,-1.9369945905784962
31,162733_fnca,0.15,0.1,1,-1.9432953151426922
41,162733_fnca,0.2,0.1,1,-1.9702408168369139
20,162733_fnca,0.1,0.05,1,-1.980125432531868
51,162733_fnca,0.25,0.1,1,-1.993010471826926
61,162733_fnca,0.3,0.1,1,-2.005578896897946
102,162733_fnca,0.5,0.15,1,-2.0060066885476586
81,162733_fnca,0.4,0.1,1,-2.0150350145499596
40,162733_fnca,0.2,0.05,1,-2.022499575844386
50,162733_fnca,0.25,0.05,1,-2.024872083151825
91,162733_fnca,0.45,0.1,1,-2.026904871132766
101,162733_fnca,0.5,0.1,1,-2.028374173911399
30,162733_fnca,0.15,0.05,1,-2.0439808665410384
60,162733_fnca,0.3,0.05,1,-2.0455405332864975
82,162733_fnca,0.4,0.15,1,-2.050061956935438
72,162733_fnca,0.35,0.15,1,-2.0521453491227146
71,162733_fnca,0.35,0.1,1,-2.052510647640778
62,162733_fnca,0.3,0.15,1,-2.0589502638149533
92,162733_fnca,0.45,0.15,1,-2.0591353802049577
70,162733_fnca,0.35,0.05,1,-2.0610149655097136
52,162733_fnca,0.25,0.15,1,-2.0677845146631735
100,162733_fnca,0.5,0.05,1,-2.075998843672128
90,162733_fnca,0.45,0.05,1,-2.083605788708405
80,162733_fnca,0.4,0.05,1,-2.096323902104251
42,162733_fnca,0.2,0.15,1,-2.119011167866711
0,162733_fnca,0.0,0.05,1,-2.122241427056081
32,162733_fnca,0.15,0.15,1,-2.1580189713421176
103,162733_fnca,0.5,0.2,1,-2.1736630718083734
93,162733_fnca,0.45,0.2,1,-2.220481180650153
12,162733_fnca,0.05,0.15,1,-2.2461792155894313
22,162733_fnca,0.1,0.15,1,-2.265565033252063
83,162733_fnca,0.4,0.2,1,-2.2821103189776175
73,162733_fnca,0.35,0.2,1,-2.302524556220766
2,162733_fnca,0.0,0.15,1,-2.3219578876267324
63,162733_fnca,0.3,0.2,1,-2.4044244407825097
94,162733_fnca,0.45,0.25,1,-2.4057792853511177
104,162733_fnca,0.5,0.25,1,-2.518822039856844
43,162733_fnca,0.2,0.2,1,-2.5251287459939364
53,162733_fnca,0.25,0.2,1,-2.53530661130882
84,162733_fnca,0.4,0.25,1,-2.5388191502212827
64,162733_fnca,0.3,0.25,1,-2.6653222750571235
33,162733_fnca,0.15,0.2,1,-2.6701933427003803
13,162733_fnca,0.05,0.2,1,-2.6747538586924726
34,162733_fnca,0.15,0.25,1,-2.7038952779830305
14,162733_fnca,0.05,0.25,1,-2.707054149704474
5,162733_fnca,0.0,0.3,1,-2.7070541497044744
3,162733_fnca,0.0,0.2,1,-2.7090054841094764
4,162733_fnca,0.0,0.25,1,-2.709680088307561
23,162733_fnca,0.1,0.2,1,-2.7214122725103707
105,162733_fnca,0.5,0.3,1,-2.741230741221205
95,162733_fnca,0.45,0.3,1,-2.7517744169843854
24,162733_fnca,0.1,0.25,1,-2.765976790101858
74,162733_fnca,0.35,0.25,1,-2.8152793030712067
54,162733_fnca,0.25,0.25,1,-2.8488754476771003
44,162733_fnca,0.2,0.25,1,-2.908654088816157
85,162733_fnca,0.4,0.3,1,-2.913527483911508
55,162733_fnca,0.25,0.3,1,-2.9685149700093714
107,162733_fnca,0.5,0.4,1,-3.0028560961499946
65,162733_fnca,0.3,0.3,1,-3.017976298831355
7,162733_fnca,0.0,0.4,1,-3.0284634830378043
9,162733_fnca,0.0,0.5,1,-3.0297524243837892
8,162733_fnca,0.0,0.45,1,-3.0297524243837892
106,162733_fnca,0.5,0.35,1,-3.0297524243837923
6,162733_fnca,0.0,0.35,1,-3.031089421640891
25,162733_fnca,0.1,0.3,1,-3.0569935479958046
15,162733_fnca,0.05,0.3,1,-3.0776346226586404
17,162733_fnca,0.05,0.4,1,-3.0829866265686388
75,162733_fnca,0.35,0.3,1,-3.0854417330807378
16,162733_fnca,0.05,0.35,1,-3.088815485413389
96,162733_fnca,0.45,0.35,1,-3.0937102582536964
108,162733_fnca,0.5,0.45,1,-3.1073096161490334
86,162733_fnca,0.4,0.35,1,-3.1073096161490343
35,162733_fnca,0.15,0.3,1,-3.12620293285371
18,162733_fnca,0.05,0.45,1,-3.1451485249998
45,162733_fnca,0.2,0.3,1,-3.247086086169592
46,162733_fnca,0.2,0.35,1,-3.2839372039233545
19,162733_fnca,0.05,0.5,1,-3.303368747898223
76,162733_fnca,0.35,0.35,1,-3.3175469434528644
56,162733_fnca,0.25,0.35,1,-3.343116761716191
26,162733_fnca,0.1,0.35,1,-3.3632677951203918
66,162733_fnca,0.3,0.35,1,-3.387693628367006
36,162733_fnca,0.15,0.35,1,-3.4243525851630148
77,162733_fnca,0.35,0.4,1,-3.4265522245710796
98,162733_fnca,0.45,0.45,1,-3.4407103605842213
109,162733_fnca,0.5,0.5,1,-3.4409511037735925
78,162733_fnca,0.35,0.45,1,-3.4510545182267394
27,162733_fnca,0.1,0.4,1,-3.45958439080675
67,162733_fnca,0.3,0.4,1,-3.4612271237807373
57,162733_fnca,0.25,0.4,1,-3.49242766443831
87,162733_fnca,0.4,0.4,1,-3.4966213796341474
28,162733_fnca,0.1,0.45,1,-3.5416073237875763
47,162733_fnca,0.2,0.4,1,-3.560147067777394
38,162733_fnca,0.15,0.45,1,-3.5736197312051132
88,162733_fnca,0.4,0.45,1,-3.5793877288242606
37,162733_fnca,0.15,0.4,1,-3.6019387402158745
29,162733_fnca,0.1,0.5,1,-3.6050878035733227
68,162733_fnca,0.3,0.45,1,-3.6392423383580055
97,162733_fnca,0.45,0.4,1,-3.64632314359287
89,162733_fnca,0.4,0.5,1,-3.667587667368304
