,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std
0,Neutral,0.0,0.05,1,0.0,0.0
1,Neutral,0.0,0.1,1,0.0,0.0
2,Neutral,0.0,0.15,1,0.0,0.0
3,Neutral,0.0,0.2,1,0.0,0.0
4,Neutral,0.0,0.25,1,0.0,0.0
5,Neutral,0.0,0.3,1,0.0,0.0
6,Neutral,0.0,0.35,1,0.0,0.0
7,Neutral,0.0,0.4,1,0.0,0.0
8,Neutral,0.0,0.45,1,0.0,0.0
9,Neutral,0.0,0.5,1,0.0,0.0
10,Neutral,0.05,0.05,1,0.23666666666666666,0.4257461153528187
11,Neutral,0.05,0.1,1,0.14666666666666667,0.35436441131823426
12,Neutral,0.05,0.15,1,0.02666666666666667,0.1613764649311286
13,Neutral,0.05,0.2,1,0.0033333333333333335,0.05773502691896259
14,Neutral,0.05,0.25,1,0.0033333333333333335,0.05773502691896258
15,Neutral,0.05,0.3,1,0.11666666666666667,0.3215590505108515
16,Neutral,0.05,0.35,1,0.03,0.1708722458877266
17,Neutral,0.05,0.4,1,0.023333333333333334,0.1512121222276315
18,Neutral,0.05,0.45,1,0.07,0.2555733275451653
19,Neutral,0.05,0.5,1,0.07333333333333333,0.261118424591396
20,Neutral,0.1,0.05,1,0.3,0.4590232468373728
21,Neutral,0.1,0.1,1,0.18333333333333332,0.38758607487931845
22,Neutral,0.1,0.15,1,0.11666666666666667,0.32155905051085154
23,Neutral,0.1,0.2,1,0.06,0.23788364542889823
24,Neutral,0.1,0.25,1,0.056666666666666664,0.23159088211286485
25,Neutral,0.1,0.3,1,0.19,0.39295637890109825
26,Neutral,0.1,0.35,1,0.08333333333333333,0.2768471963423705
27,Neutral,0.1,0.4,1,0.07333333333333333,0.26111842459139595
28,Neutral,0.1,0.45,1,0.08,0.271746488194703
29,Neutral,0.1,0.5,1,0.056666666666666664,0.231590882112865
30,Neutral,0.15,0.05,1,0.30333333333333334,0.4604660525025123
31,Neutral,0.15,0.1,1,0.24,0.4277967197686491
32,Neutral,0.15,0.15,1,0.16666666666666666,0.37330068339472067
33,Neutral,0.15,0.2,1,0.13333333333333333,0.34050261230349954
34,Neutral,0.15,0.25,1,0.08,0.27174648819470315
35,Neutral,0.15,0.3,1,0.15666666666666668,0.3640935354604675
36,Neutral,0.15,0.35,1,0.13,0.3368653453081293
37,Neutral,0.15,0.4,1,0.11,0.31341254721080314
38,Neutral,0.15,0.45,1,0.1,0.3005012534823801
39,Neutral,0.15,0.5,1,0.14,0.34756679298414617
40,Neutral,0.2,0.05,1,0.33666666666666667,0.47335939758972845
41,Neutral,0.2,0.1,1,0.2966666666666667,0.4575515273966042
42,Neutral,0.2,0.15,1,0.21333333333333335,0.41034558674051025
43,Neutral,0.2,0.2,1,0.15,0.35766803240530487
44,Neutral,0.2,0.25,1,0.13333333333333333,0.34050261230349954
45,Neutral,0.2,0.3,1,0.15666666666666668,0.36409353546046735
46,Neutral,0.2,0.35,1,0.13,0.3368653453081293
47,Neutral,0.2,0.4,1,0.13666666666666666,0.3440690345808725
48,Neutral,0.2,0.45,1,0.13333333333333333,0.3405026123034995
49,Neutral,0.2,0.5,1,0.12666666666666668,0.3331549132304482
50,Neutral,0.25,0.05,1,0.43,0.49590294659486706
51,Neutral,0.25,0.1,1,0.33,0.4709983703612393
52,Neutral,0.25,0.15,1,0.31,0.4632659976896477
53,Neutral,0.25,0.2,1,0.17333333333333334,0.3791676620467905
54,Neutral,0.25,0.25,1,0.12333333333333334,0.3293688434044334
55,Neutral,0.25,0.3,1,0.19,0.39295637890109847
56,Neutral,0.25,0.35,1,0.16,0.36721859746989854
