,HCPID,orig.model,orig.alpha,orig.proc.temp,orig.decay,orig.decl.temp,alpha,proc.temp,proc.LL,decay,decl.temp,decl.LL,best.model,diff.LL
0,153429_fnca,Procedural,1.2592018776080782,1.9990597413733837,,,1.620189217801674,3.526949509299558,-41.77285659663816,0.1317290605401577,1.5273288315181097,-42.82029758511445,Procedural,1.0474409884762963
1,153429_fnca,Procedural,0.08108216658418212,1.8661229927220846,,,0.4779514408821722,0.9318343296375102,-42.809441124579536,0.010058193436546516,4.9999999925328815,-44.37898929904442,Procedural,1.5695481744648845
2,153429_fnca,Procedural,1.3354231771817817,1.727271660813361,,,0.010049687611489035,4.999999991389385,-44.37373695788164,0.010059101001938268,4.999999992407085,-44.41767589110662,Procedural,0.04393893322497888
3,153429_fnca,Procedural,0.7467962704086402,1.189549612688855,,,0.45951632554272287,0.7038455198330753,-41.2844706964337,0.2359255490989374,3.0742093062803044,-43.77629135716395,Procedural,2.491820660730248
4,153429_fnca,Procedural,1.0625966304271244,1.664379367003661,,,1.0746367486771526,1.9661573041949292,-42.40146118401116,0.01000034978709812,3.1427664397785984,-43.90967430519895,Procedural,1.5082131211877865
5,153429_fnca,Procedural,1.6315908364086953,1.6295837927740549,,,1.528440696883553,1.7252758205021281,-38.73555839918063,0.5602078375479045,4.999926438497169,-43.449979418348285,Procedural,4.714421019167652
6,153429_fnca,Procedural,1.5305348291630132,1.6421257309578061,,,1.6750680545687453,1.4488817659636335,-33.18447180941878,1.0611701719379685,4.999815802043022,-43.35816812571502,Procedural,10.173696316296237
7,153429_fnca,Procedural,0.9645310723925911,1.3458789680746988,,,1.4664737533576824,1.3845805054070626,-36.2585945609525,0.4195963941930535,2.0245821088264337,-40.05584885292281,Procedural,3.7972542919703045
8,153429_fnca,Procedural,1.0907398426090167,0.9487037604621014,,,0.9426949051144968,1.191886766484507,-40.21389159264703,0.6639822250135531,4.999966663669035,-43.25785332126091,Procedural,3.04396172861388
9,153429_fnca,Procedural,1.5664464081056755,1.9358020738825308,,,1.6504201790977682,2.476766621019645,-38.578622330079256,0.1011433113526751,2.3252502334347045,-44.077601717361865,Procedural,5.49897938728261
10,153429_fnca,Procedural,0.6539269573718623,1.0855160115677016,,,0.6378282198378109,0.8576953601525268,-40.99440068222366,0.5128574660817835,4.999877244821619,-43.869300290068296,Procedural,2.8748996078446325
11,153429_fnca,Procedural,1.2077900587865873,1.6928790394313138,,,1.2482499012732704,1.539523136110594,-40.074043614174,0.010000001064506386,3.957318446299364,-44.23298777125486,Procedural,4.15894415708086
12,153429_fnca,Procedural,0.7860450980465659,1.159826163842344,,,1.1970748089240733,3.6489875882309275,-43.592666971095504,0.2842183863657191,4.99999999999979,-44.6833423939565,Procedural,1.090675422860997
13,153429_fnca,Procedural,1.1372088750249523,0.652469251650045,,,1.196558443400979,0.4553714872996757,-26.53364816333979,1.7575900567603018,4.9999336195836115,-42.205897416840116,Procedural,15.672249253500325
14,153429_fnca,Procedural,0.38128889723757114,1.457302045479907,,,0.4770571012893542,1.7747073138473357,-43.51449917429904,0.5521873429679143,4.9999604114504,-43.93727662856687,Procedural,0.4227774542678304
15,153429_fnca,Procedural,0.5054940791925626,0.45117220144519266,,,0.7329358262178508,0.3391981557229456,-27.328056194485306,0.825927778769135,3.09922604062507,-38.3486847933836,Procedural,11.020628598898291
16,153429_fnca,Procedural,1.456427553996527,1.8420560642744048,,,1.4327871041849325,1.9595532658137684,-40.95452381645146,0.5794682465251113,4.999999999252985,-43.568696958183395,Procedural,2.614173141731932
17,153429_fnca,Procedural,0.6288467099015318,1.0174403704722237,,,1.0175104256404035,1.6011330682258238,-41.37545139422393,0.010000001128537656,1.7740981459732024,-42.624874985554946,Procedural,1.2494235913310163
18,153429_fnca,Procedural,1.7556242956094288,1.049572953589422,,,1.8646290912122279,1.0085544025719984,-24.151410636413924,0.28489601723441466,1.899576843859519,-40.81046424871016,Procedural,16.659053612296237
19,153429_fnca,Procedural,0.043645386111861244,1.3079197555667128,,,1.202113124190299,3.221740506462559,-43.323053667723,0.010053281431170583,4.999999990206427,-44.73373807084045,Procedural,1.4106844031174504
20,153429_fnca,Declarative,,,1.737737191994578,0.5328507806264473,0.75289434036722,0.3398056834353925,-27.58641714005123,1.6720954304815703,4.999999999939128,-41.45713628447784,Procedural,13.870719144426612
21,153429_fnca,Declarative,,,1.832180255109202,1.6402779606880409,0.7417987017490644,0.5595222781332935,-32.19141734543646,0.8964881629058824,4.999870782044219,-38.552253658253555,Procedural,6.360836312817092
22,153429_fnca,Declarative,,,0.15379951186047858,0.8643680689132773,1.4472554326183704,2.052607266905806,-40.489220807332174,0.13482475526091436,1.3113753853423935,-41.208413425049976,Procedural,0.7191926177178019
23,153429_fnca,Declarative,,,0.7231493735676857,1.428756025279396,0.6771862144668533,1.1329011462703265,-41.82302958908309,0.010057665551675705,4.999999995755866,-44.58988467669617,Procedural,2.766855087613081
24,153429_fnca,Declarative,,,0.5757001824866528,0.8218091136795573,0.6010265520395501,0.9626228836817408,-40.541207660070974,0.43308990031930794,2.062268672891971,-40.30948657248988,Declarative,-0.2317210875810929
25,153429_fnca,Declarative,,,0.37089156480159075,1.4902720991530614,0.7673680081398501,2.539535470905412,-43.7157638758114,0.010051253301080048,4.999999991653794,-44.57732908291773,Procedural,0.8615652071063309
26,153429_fnca,Declarative,,,0.18897906794810299,0.7591816483013625,0.056723862458565415,0.5811923810646611,-44.06950894569137,0.010060259054715278,4.999999995652916,-44.282409616198514,Procedural,0.21290067050714612
