,HCPID,egs,alpha,r,LL
90,153833_fnca,0.45,0.05,1,-1.83974448195668
70,153833_fnca,0.35,0.05,1,-1.8412636544599121
100,153833_fnca,0.5,0.05,1,-1.8429589452867725
80,153833_fnca,0.4,0.05,1,-1.8439876746973605
50,153833_fnca,0.25,0.05,1,-1.844150946507832
60,153833_fnca,0.3,0.05,1,-1.8487328720042133
40,153833_fnca,0.2,0.05,1,-1.849353268057861
91,153833_fnca,0.45,0.1,1,-1.8541567131358705
71,153833_fnca,0.35,0.1,1,-1.8606436716184378
101,153833_fnca,0.5,0.1,1,-1.8620132640060771
81,153833_fnca,0.4,0.1,1,-1.8679762182762372
51,153833_fnca,0.25,0.1,1,-1.8708318577786258
30,153833_fnca,0.15,0.05,1,-1.8754774253724873
61,153833_fnca,0.3,0.1,1,-1.8763985718936649
20,153833_fnca,0.1,0.05,1,-1.8814982148191715
41,153833_fnca,0.2,0.1,1,-1.8893273347922634
92,153833_fnca,0.45,0.15,1,-1.90903188786613
102,153833_fnca,0.5,0.15,1,-1.9202144039341975
72,153833_fnca,0.35,0.15,1,-1.9216029078159123
31,153833_fnca,0.15,0.1,1,-1.9247560914755133
10,153833_fnca,0.05,0.05,1,-1.9445170008333994
21,153833_fnca,0.1,0.1,1,-1.9571021793054637
82,153833_fnca,0.4,0.15,1,-1.9647662577718918
62,153833_fnca,0.3,0.15,1,-2.0016410585838367
52,153833_fnca,0.25,0.15,1,-2.0326889821307104
103,153833_fnca,0.5,0.2,1,-2.053769584710031
42,153833_fnca,0.2,0.15,1,-2.0667482784012585
11,153833_fnca,0.05,0.1,1,-2.0673349535045795
93,153833_fnca,0.45,0.2,1,-2.0878128582679016
83,153833_fnca,0.4,0.2,1,-2.21239078873976
32,153833_fnca,0.15,0.15,1,-2.2187944200169465
73,153833_fnca,0.35,0.2,1,-2.243803854873792
1,153833_fnca,0.0,0.1,1,-2.3009984857498322
63,153833_fnca,0.3,0.2,1,-2.308524731810866
22,153833_fnca,0.1,0.15,1,-2.3579784704328333
2,153833_fnca,0.0,0.15,1,-2.423364285190263
12,153833_fnca,0.05,0.15,1,-2.452089607630855
0,153833_fnca,0.0,0.05,1,-2.454360026252592
104,153833_fnca,0.5,0.25,1,-2.4737486554384343
53,153833_fnca,0.25,0.2,1,-2.4867455619860745
84,153833_fnca,0.4,0.25,1,-2.6396911175240563
94,153833_fnca,0.45,0.25,1,-2.6960209897790284
74,153833_fnca,0.35,0.25,1,-2.699833743421624
105,153833_fnca,0.5,0.3,1,-2.771690350938444
23,153833_fnca,0.1,0.2,1,-2.78676059100048
43,153833_fnca,0.2,0.2,1,-2.799071577736669
33,153833_fnca,0.15,0.2,1,-2.80896563968384
14,153833_fnca,0.05,0.25,1,-2.8212501276367257
95,153833_fnca,0.45,0.3,1,-2.8227999947468065
4,153833_fnca,0.0,0.25,1,-2.8270855274650852
13,153833_fnca,0.05,0.2,1,-2.833741597835674
3,153833_fnca,0.0,0.2,1,-2.845008040220187
5,153833_fnca,0.0,0.3,1,-2.851125025580864
54,153833_fnca,0.25,0.25,1,-2.8593331660481196
96,153833_fnca,0.45,0.35,1,-2.8620440670182647
85,153833_fnca,0.4,0.3,1,-2.8956549617065432
24,153833_fnca,0.1,0.25,1,-2.904192788151015
34,153833_fnca,0.15,0.25,1,-2.9232184071864564
109,153833_fnca,0.5,0.5,1,-2.946977356802082
64,153833_fnca,0.3,0.25,1,-2.954340430663504
7,153833_fnca,0.0,0.4,1,-2.971793635814109
9,153833_fnca,0.0,0.5,1,-2.9832632704938673
17,153833_fnca,0.05,0.4,1,-2.989219485969886
45,153833_fnca,0.2,0.3,1,-2.99321112091282
8,153833_fnca,0.0,0.45,1,-2.995002660975551
106,153833_fnca,0.5,0.35,1,-2.9950026609755516
44,153833_fnca,0.2,0.25,1,-3.0077712960161733
6,153833_fnca,0.0,0.35,1,-3.0255939404824392
16,153833_fnca,0.05,0.35,1,-3.0277189832294376
108,153833_fnca,0.5,0.45,1,-3.030983118994584
15,153833_fnca,0.05,0.3,1,-3.036736829079065
75,153833_fnca,0.35,0.3,1,-3.073101328775905
18,153833_fnca,0.05,0.45,1,-3.0735498415144393
97,153833_fnca,0.45,0.4,1,-3.0803510809437964
98,153833_fnca,0.45,0.45,1,-3.081499612889119
25,153833_fnca,0.1,0.3,1,-3.095875751695161
86,153833_fnca,0.4,0.35,1,-3.1146805727886457
35,153833_fnca,0.15,0.3,1,-3.1168463511040096
26,153833_fnca,0.1,0.35,1,-3.129873329627527
76,153833_fnca,0.35,0.35,1,-3.1298733296275283
65,153833_fnca,0.3,0.3,1,-3.1334095516339833
87,153833_fnca,0.4,0.4,1,-3.1484460870326387
55,153833_fnca,0.25,0.3,1,-3.1788654694003036
66,153833_fnca,0.3,0.35,1,-3.192355308621707
107,153833_fnca,0.5,0.4,1,-3.1960066770915745
88,153833_fnca,0.4,0.45,1,-3.199999089043142
36,153833_fnca,0.15,0.35,1,-3.2191511526364236
27,153833_fnca,0.1,0.4,1,-3.231646201295023
19,153833_fnca,0.05,0.5,1,-3.2381173035238033
56,153833_fnca,0.25,0.35,1,-3.270600257956618
99,153833_fnca,0.45,0.5,1,-3.306230448937665
29,153833_fnca,0.1,0.5,1,-3.307767179871533
28,153833_fnca,0.1,0.45,1,-3.3135668272371674
46,153833_fnca,0.2,0.35,1,-3.31523541896511
78,153833_fnca,0.35,0.45,1,-3.3196994825808934
47,153833_fnca,0.2,0.4,1,-3.326642760601653
57,153833_fnca,0.25,0.4,1,-3.338667944974378
37,153833_fnca,0.15,0.4,1,-3.3612250011767006
89,153833_fnca,0.4,0.5,1,-3.3814450694705984
67,153833_fnca,0.3,0.4,1,-3.3930711857280667
79,153833_fnca,0.35,0.5,1,-3.4212636767560416
77,153833_fnca,0.35,0.4,1,-3.428061373506919
39,153833_fnca,0.15,0.5,1,-3.4427859493532846
69,153833_fnca,0.3,0.5,1,-3.4731795363344435
58,153833_fnca,0.25,0.45,1,-3.4748959555847954
38,153833_fnca,0.15,0.45,1,-3.5205080855471067
68,153833_fnca,0.3,0.45,1,-3.540127494785106
48,153833_fnca,0.2,0.45,1,-3.554321053646782
59,153833_fnca,0.25,0.5,1,-3.6722858779683953
49,153833_fnca,0.2,0.5,1,-3.9050454918995463
