,HCPID,ans,bll,lf,LL
51,148335_fnca,0.15,0.8,0.1,-2.03561479824364
73,148335_fnca,0.25,0.6,0.1,-2.0415081913505864
70,148335_fnca,0.25,0.45,0.1,-2.0434280040337467
38,148335_fnca,0.1,0.8,0.1,-2.0467672846554312
53,148335_fnca,0.2,0.25,0.1,-2.052274431978727
74,148335_fnca,0.25,0.65,0.1,-2.056564789443932
26,148335_fnca,0.1,0.2,0.1,-2.0603497299173426
32,148335_fnca,0.1,0.5,0.1,-2.0657840391870153
63,148335_fnca,0.2,0.75,0.1,-2.066877157474746
45,148335_fnca,0.15,0.5,0.1,-2.0669293444508856
28,148335_fnca,0.1,0.3,0.1,-2.0674106592970127
48,148335_fnca,0.15,0.65,0.1,-2.0723574855888827
3,148335_fnca,0.0,0.35,0.1,-2.0857410053054575
27,148335_fnca,0.1,0.25,0.1,-2.0897135932750217
55,148335_fnca,0.2,0.35,0.1,-2.094080166299286
30,148335_fnca,0.1,0.4,0.1,-2.0997794657778397
47,148335_fnca,0.15,0.6,0.1,-2.1104799556484597
59,148335_fnca,0.2,0.55,0.1,-2.1110884667995986
7,148335_fnca,0.0,0.55,0.1,-2.1128125374070628
31,148335_fnca,0.1,0.45,0.1,-2.126541374463359
18,148335_fnca,0.05,0.45,0.1,-2.131114279587144
56,148335_fnca,0.2,0.4,0.1,-2.135083181721808
35,148335_fnca,0.1,0.65,0.1,-2.1402620371420373
9,148335_fnca,0.0,0.65,0.1,-2.140978309487222
46,148335_fnca,0.15,0.55,0.1,-2.14132186818717
42,148335_fnca,0.15,0.35,0.1,-2.1414447720238328
16,148335_fnca,0.05,0.35,0.1,-2.143929211062863
21,148335_fnca,0.05,0.6,0.1,-2.153146530590837
37,148335_fnca,0.1,0.75,0.1,-2.153920996882648
49,148335_fnca,0.15,0.7,0.1,-2.1673113840685274
20,148335_fnca,0.05,0.55,0.1,-2.179079887472426
44,148335_fnca,0.15,0.45,0.1,-2.1827439959950548
14,148335_fnca,0.05,0.25,0.1,-2.1834115883705616
1,148335_fnca,0.0,0.25,0.1,-2.18761394654863
25,148335_fnca,0.05,0.8,0.1,-2.1930021329304252
12,148335_fnca,0.0,0.8,0.1,-2.1930882051783103
15,148335_fnca,0.05,0.3,0.1,-2.2008501390335415
64,148335_fnca,0.2,0.8,0.1,-2.204225616439161
11,148335_fnca,0.0,0.75,0.1,-2.2139602646714676
40,148335_fnca,0.15,0.25,0.1,-2.2179478524836056
23,148335_fnca,0.05,0.7,0.1,-2.2206407061472246
62,148335_fnca,0.2,0.7,0.1,-2.22862155944883
24,148335_fnca,0.05,0.75,0.1,-2.229825870424941
41,148335_fnca,0.15,0.3,0.1,-2.2314011658428967
33,148335_fnca,0.1,0.55,0.1,-2.2432741698543404
4,148335_fnca,0.0,0.4,0.1,-2.2529441812549464
17,148335_fnca,0.05,0.4,0.1,-2.2548464521711113
6,148335_fnca,0.0,0.5,0.1,-2.262723119016702
22,148335_fnca,0.05,0.65,0.1,-2.3135955904886822
29,148335_fnca,0.1,0.35,0.1,-2.3292346526252574
10,148335_fnca,0.0,0.7,0.1,-2.3547090917251703
13,148335_fnca,0.05,0.2,0.1,-2.3669940092387702
19,148335_fnca,0.05,0.5,0.1,-2.40300527630256
