,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
110,Punishment,0.0,0.05,1,0.88,0.3250915988427114,123117_fnca,0.48,1.2304224453168089,0.18713813777163993,-1.6759082301743704
220,Reward,0.0,0.05,1,0.4992,0.5001994798234927,123117_fnca,0.32,0.35825706988586825,0.3741447227223664,-0.9831125972662765
111,Punishment,0.0,0.1,1,0.6,0.4900940253900043,123117_fnca,0.48,0.24485097508484635,0.38716104591282735,-0.9489145332046727
221,Reward,0.0,0.1,1,0.1776,0.3823286284652451,123117_fnca,0.32,-0.3724544525258971,0.37220902296916086,-0.9882996928078555
112,Punishment,0.0,0.15,1,0.28,0.4491785937990611,123117_fnca,0.48,-0.4452571933770055,0.36129317998379407,-1.0180655173316566
222,Reward,0.0,0.15,1,0.184,0.3876392799615324,123117_fnca,0.32,-0.35084163816808256,0.3751296945239478,-0.9804834607409045
113,Punishment,0.0,0.2,1,0.2,0.4001600960640447,123117_fnca,0.48,-0.699719943977589,0.31231514113586656,-1.1637425332046727
223,Reward,0.0,0.2,1,0.1392,0.3462936549178303,123117_fnca,0.32,-0.5221002390092906,0.34811135561563866,-1.055232862991452
114,Punishment,0.0,0.25,1,0.2,0.4001600960640447,123117_fnca,0.48,-0.699719943977589,0.31231514113586656,-1.1637425332046727
224,Reward,0.0,0.25,1,0.136,0.342925762320025,123117_fnca,0.32,-0.5365592796387447,0.3454572201737098,-1.062886463487897
115,Punishment,0.0,0.3,1,0.2,0.4001600960640447,123117_fnca,0.48,-0.699719943977589,0.31231514113586656,-1.1637425332046727
225,Reward,0.0,0.3,1,0.1416,0.3487789520683906,123117_fnca,0.32,-0.5114987557076504,0.35002383677373444,-1.0497540217499097
116,Punishment,0.0,0.35,1,0.16,0.3667527860628576,123117_fnca,0.48,-0.8725223424619201,0.2726446030442131,-1.299586152252291
226,Reward,0.0,0.35,1,0.1416,0.3487789520683904,123117_fnca,0.32,-0.5114987557076507,0.35002383677373433,-1.0497540217499102
117,Punishment,0.0,0.4,1,0.16,0.3667527860628576,123117_fnca,0.48,-0.8725223424619201,0.2726446030442131,-1.299586152252291
227,Reward,0.0,0.4,1,0.1416,0.3487789520683906,123117_fnca,0.32,-0.5114987557076504,0.35002383677373444,-1.0497540217499097
118,Punishment,0.0,0.45,1,0.16,0.3667527860628576,123117_fnca,0.48,-0.8725223424619201,0.2726446030442131,-1.299586152252291
228,Reward,0.0,0.45,1,0.144,0.3512302523304648,123117_fnca,0.32,-0.5010957878264014,0.3518722738923655,-1.0444870274933535
119,Punishment,0.0,0.5,1,0.16,0.3667527860628576,123117_fnca,0.48,-0.8725223424619201,0.2726446030442131,-1.299586152252291
229,Reward,0.0,0.5,1,0.1384,0.3454575411395503,123117_fnca,0.32,-0.5256796519796951,0.34745918244806956,-1.0571080814574194
120,Punishment,0.05,0.05,1,0.7192,0.4495698504574704,123117_fnca,0.48,0.5320641492230771,0.3462879368235875,-1.060484662648911
230,Reward,0.05,0.05,1,0.436,0.4960855578471963,123117_fnca,0.32,0.2338306329726498,0.3881835766086664,-0.9462769156628676
121,Punishment,0.05,0.1,1,0.572,0.4949868782176819,123117_fnca,0.48,0.185863512849609,0.3921106706662852,-0.936211155909071
231,Reward,0.05,0.1,1,0.2536,0.4352454375093416,123117_fnca,0.32,-0.15255760147646552,0.39432673208417446,-0.9305754440887988
122,Punishment,0.05,0.15,1,0.2984,0.457739074198433,123117_fnca,0.48,-0.3967325715376336,0.36874980510240263,-0.9976368998641044
232,Reward,0.05,0.15,1,0.1656,0.3718699635838483,123117_fnca,0.32,-0.415198900475828,0.36599573572148414,-1.005133596682841
123,Punishment,0.05,0.2,1,0.2056,0.4043011347078076,123117_fnca,0.48,-0.6787020278790747,0.31687219570301844,-1.1492567545282568
233,Reward,0.05,0.2,1,0.1392,0.3462936549178298,123117_fnca,0.32,-0.5221002390092914,0.34811135561563855,-1.0552328629914522
124,Punishment,0.05,0.25,1,0.2,0.4001600960640447,123117_fnca,0.48,-0.699719943977589,0.31231514113586656,-1.1637425332046727
234,Reward,0.05,0.25,1,0.1408,0.3479543328861122,123117_fnca,0.32,-0.515010112142082,0.3493935851703464,-1.0515562410089725
125,Punishment,0.05,0.3,1,0.152,0.3591645853358702,123117_fnca,0.48,-0.9132303500727197,0.26291266627362025,-1.3359333693516438
235,Reward,0.05,0.3,1,0.1368,0.3437736235422878,123117_fnca,0.32,-0.5329088314347202,0.3461322178114976,-1.0609344445152322
126,Punishment,0.05,0.35,1,0.1464,0.3536482626494015,123117_fnca,0.48,-0.9433101621956026,0.255673110066242,-1.3638555642554195
236,Reward,0.05,0.35,1,0.1376,0.3446175401792535,123117_fnca,0.32,-0.5292824036325147,0.34679950389378944,-1.0590084646021787
127,Punishment,0.05,0.4,1,0.1496,0.3568216604382174,123117_fnca,0.48,-0.9259527563271561,0.25985466456974116,-1.3476327866796016
237,Reward,0.05,0.4,1,0.1424,0.3495997940686038,123117_fnca,0.32,-0.5080094525603428,0.3506469735000385,-1.0479753351500023
128,Punishment,0.05,0.45,1,0.1336,0.3403582156669317,123117_fnca,0.48,-1.01775125163713,0.2376758904339186,-1.4368473383091451
238,Reward,0.05,0.45,1,0.14,0.3471259096029773,123117_fnca,0.32,-0.5185438338667191,0.3487561236926876,-1.0533823870252703
