,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
1217,106319_fnca,1,1,Reward,2,5,3.0,0,297,26,1,1,0,0,3.0,,0.0,,MostlyReward,MostlyReward
1218,106319_fnca,2,1,Reward,3,5,3.0,0,945,13,2,2,0,0,2.0,3.0,1.0,Reward,MostlyReward,MostlyReward
1219,106319_fnca,3,1,Punishment,4,5,2.0,0,854,14,1,0,1,0,2.0,3.0,0.0,Reward,MostlyReward,MostlyReward
1220,106319_fnca,4,1,Reward,5,5,2.0,0,821,14,2,0,2,0,2.0,2.0,0.0,Punishment,MostlyReward,MostlyReward
1221,106319_fnca,5,1,Reward,6,5,2.0,0,754,14,3,0,3,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
1222,106319_fnca,6,1,Reward,7,5,2.0,0,686,13,4,0,4,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
1223,106319_fnca,7,1,Neutral,8,5,2.0,0,662,13,5,0,5,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
1225,106319_fnca,10,1,Reward,10,5,3.0,0,618,13,1,1,0,0,2.0,,1.0,,MostlyPunishment,MostlyPunishment
1226,106319_fnca,11,1,Punishment,11,5,2.0,0,331,14,1,0,1,0,2.0,3.0,0.0,Reward,MostlyPunishment,MostlyPunishment
1227,106319_fnca,12,1,Punishment,12,5,2.0,0,999,13,2,0,2,0,3.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
1228,106319_fnca,13,1,Punishment,13,5,3.0,0,761,13,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
1229,106319_fnca,14,1,Neutral,14,5,2.0,0,1369,13,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
1230,106319_fnca,15,1,Punishment,15,5,3.0,0,684,13,1,1,0,0,3.0,2.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
1231,106319_fnca,16,1,Punishment,16,5,3.0,0,1273,13,2,2,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
1233,106319_fnca,19,1,Punishment,18,5,3.0,0,1327,14,4,4,0,0,2.0,,1.0,,MostlyPunishment,MostlyPunishment
1234,106319_fnca,20,1,Punishment,19,5,2.0,0,1042,13,1,0,1,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
1235,106319_fnca,21,1,Punishment,20,5,2.0,0,1001,13,2,0,2,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
1236,106319_fnca,22,1,Neutral,21,5,2.0,0,1073,13,3,0,3,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
1237,106319_fnca,23,1,Punishment,22,5,2.0,0,702,14,4,0,4,0,3.0,2.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
1238,106319_fnca,24,1,Neutral,23,5,3.0,0,644,13,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
1239,106319_fnca,25,1,Punishment,24,5,2.0,0,413,13,1,0,1,0,3.0,3.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
1241,106319_fnca,28,1,Reward,26,5,2.0,0,751,13,1,0,1,0,2.0,,0.0,,MostlyReward,MostlyReward
1242,106319_fnca,29,1,Reward,27,5,2.0,0,740,13,2,0,2,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
1243,106319_fnca,30,1,Punishment,28,5,2.0,0,1120,13,3,0,3,0,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
1244,106319_fnca,31,1,Reward,29,5,3.0,0,881,14,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyReward,MostlyReward
1245,106319_fnca,32,1,Punishment,30,5,2.0,0,715,14,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
1246,106319_fnca,33,1,Reward,31,5,3.0,0,811,13,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyReward,MostlyReward
1247,106319_fnca,34,1,Reward,32,5,2.0,0,1301,13,1,0,1,0,2.0,3.0,0.0,Reward,MostlyReward,MostlyReward
1249,106319_fnca,1,2,Punishment,2,5,2.0,0,698,26,1,0,1,0,3.0,,1.0,,,MostlyPunishment
1250,106319_fnca,2,2,Punishment,3,5,3.0,0,674,14,1,1,0,0,2.0,2.0,1.0,Punishment,,MostlyPunishment
1251,106319_fnca,3,2,Reward,4,5,2.0,0,753,13,1,0,1,0,2.0,3.0,0.0,Punishment,,MostlyPunishment
1252,106319_fnca,4,2,Punishment,5,5,2.0,0,796,13,2,0,2,0,2.0,2.0,0.0,Reward,,MostlyPunishment
1253,106319_fnca,5,2,Reward,6,5,2.0,0,702,13,3,0,3,0,2.0,2.0,0.0,Punishment,,MostlyPunishment
1254,106319_fnca,6,2,Punishment,7,5,2.0,0,814,14,4,0,4,0,2.0,2.0,0.0,Reward,,MostlyPunishment
1255,106319_fnca,7,2,Punishment,8,5,2.0,0,1047,14,5,0,5,0,3.0,2.0,1.0,Punishment,,MostlyPunishment
1257,106319_fnca,10,2,Reward,10,5,3.0,0,597,14,2,2,0,0,3.0,,0.0,,,MostlyReward
