,HCPID,egs,alpha,r,LL
47,111413_fnca,0.2,0.4,1,-3.46719688066545
37,111413_fnca,0.15,0.4,1,-3.552849472497881
38,111413_fnca,0.15,0.45,1,-3.5973843465042172
88,111413_fnca,0.4,0.45,1,-3.6422351212394934
89,111413_fnca,0.4,0.5,1,-3.6674741895390572
59,111413_fnca,0.25,0.5,1,-3.6679316553146193
39,111413_fnca,0.15,0.5,1,-3.670160778423224
58,111413_fnca,0.25,0.45,1,-3.6720711939715027
49,111413_fnca,0.2,0.5,1,-3.7034515298954855
48,111413_fnca,0.2,0.45,1,-3.7200480458621885
57,111413_fnca,0.25,0.4,1,-3.7214421631407895
69,111413_fnca,0.3,0.5,1,-3.997057522644668
79,111413_fnca,0.35,0.5,1,-4.040665951936422
