,HCPID,ans,bll,lf,LL
96,147030_fnca,0.35,0.45,0.1,-2.0533366412394134
98,147030_fnca,0.35,0.55,0.1,-2.0589401700174808
110,147030_fnca,0.4,0.5,0.1,-2.0625690196039583
82,147030_fnca,0.3,0.4,0.1,-2.0660836285154587
81,147030_fnca,0.3,0.35,0.1,-2.0754883581332586
102,147030_fnca,0.35,0.75,0.1,-2.07767451207402
86,147030_fnca,0.3,0.6,0.1,-2.088468992233931
91,147030_fnca,0.35,0.2,0.1,-2.10158360876882
113,147030_fnca,0.4,0.65,0.1,-2.1041518819867524
93,147030_fnca,0.35,0.3,0.1,-2.10816620394911
97,147030_fnca,0.35,0.5,0.1,-2.1089625862385333
104,147030_fnca,0.4,0.2,0.1,-2.113862530887668
100,147030_fnca,0.35,0.65,0.1,-2.120143040241815
95,147030_fnca,0.35,0.4,0.1,-2.1252717088028277
107,147030_fnca,0.4,0.35,0.1,-2.13610679143545
103,147030_fnca,0.35,0.8,0.1,-2.142179147093659
101,147030_fnca,0.35,0.7,0.1,-2.1450787113793317
122,147030_fnca,0.45,0.45,0.1,-2.146765311763793
118,147030_fnca,0.45,0.25,0.1,-2.153854663782038
92,147030_fnca,0.35,0.25,0.1,-2.153908102432939
114,147030_fnca,0.4,0.7,0.1,-2.1627055963193857
106,147030_fnca,0.4,0.3,0.1,-2.1646770308422476
116,147030_fnca,0.4,0.8,0.1,-2.1729270882828966
108,147030_fnca,0.4,0.4,0.1,-2.1739890108748994
111,147030_fnca,0.4,0.55,0.1,-2.186313454681643
125,147030_fnca,0.45,0.6,0.1,-2.1892614156867807
117,147030_fnca,0.45,0.2,0.1,-2.1903666992429587
124,147030_fnca,0.45,0.55,0.1,-2.205190497397155
109,147030_fnca,0.4,0.45,0.1,-2.2093330001669136
115,147030_fnca,0.4,0.75,0.1,-2.2115583464035424
128,147030_fnca,0.45,0.75,0.1,-2.2134010907661175
135,147030_fnca,0.5,0.45,0.1,-2.2182496932505886
112,147030_fnca,0.4,0.6,0.1,-2.2212133066727135
129,147030_fnca,0.45,0.8,0.1,-2.2248725221698358
127,147030_fnca,0.45,0.7,0.1,-2.229547366255372
121,147030_fnca,0.45,0.4,0.1,-2.2366583154574187
139,147030_fnca,0.5,0.65,0.1,-2.23687102620839
131,147030_fnca,0.5,0.25,0.1,-2.250023660526307
137,147030_fnca,0.5,0.55,0.1,-2.2541538752074084
123,147030_fnca,0.45,0.5,0.1,-2.2564750994477194
132,147030_fnca,0.5,0.3,0.1,-2.2577463765312915
119,147030_fnca,0.45,0.3,0.1,-2.261267621707007
105,147030_fnca,0.4,0.25,0.1,-2.2683980550197407
130,147030_fnca,0.5,0.2,0.1,-2.2689666394601695
141,147030_fnca,0.5,0.75,0.1,-2.2821558229824763
120,147030_fnca,0.45,0.35,0.1,-2.2978352727257922
136,147030_fnca,0.5,0.5,0.1,-2.30066581784984
134,147030_fnca,0.5,0.4,0.1,-2.303619437674435
140,147030_fnca,0.5,0.7,0.1,-2.304388393059197
133,147030_fnca,0.5,0.35,0.1,-2.3394633731941417
138,147030_fnca,0.5,0.6,0.1,-2.343486543587128
126,147030_fnca,0.45,0.65,0.1,-2.3447065109875
142,147030_fnca,0.5,0.8,0.1,-2.3984764587203564
