,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
143,Punishment,0.0,0.2,0.1,0.1424,0.3495997940686036,147030_fnca,0.16,-0.050343279082556536,0.3984370518043736,-0.9202057560790649
286,Reward,0.0,0.2,0.1,0.132,0.3386262455678088,147030_fnca,0.0,0.38981030480570783,0.36975503134087384,-0.9949145700710321
144,Punishment,0.0,0.25,0.1,0.092,0.2891416301846635,147030_fnca,0.16,-0.2351788635782784,0.38806086537373763,-0.9465930821416578
287,Reward,0.0,0.25,0.1,0.1072,0.3094911756904618,147030_fnca,0.0,0.3463749806786617,0.37571426919822265,-0.9789263468247443
145,Punishment,0.0,0.3,0.1,0.1488,0.356033661293956,147030_fnca,0.16,-0.03145769969978438,0.3987449352066456,-0.9194333266398735
288,Reward,0.0,0.3,0.1,0.1448,0.3520399205836572,147030_fnca,0.0,0.41131698859587257,0.36658334860627906,-1.0035293657584612
146,Punishment,0.0,0.35,0.1,0.1232,0.3287981852098303,147030_fnca,0.16,-0.11192275886959417,0.3964513733379119,-0.9252018851811633
289,Reward,0.0,0.35,0.1,0.1144,0.3184238606072152,147030_fnca,0.0,0.359269559077156,0.3740088415853799,-0.9834758412444198
147,Punishment,0.0,0.4,0.1,0.1776,0.3823286284652452,147030_fnca,0.16,0.04603369637960527,0.398519804725098,-0.9199980838058575
290,Reward,0.0,0.4,0.1,0.1792,0.3836731996103967,147030_fnca,0.0,0.46706415820018116,0.35771703965097473,-1.0280129971422944
148,Punishment,0.0,0.45,0.1,0.14,0.3471259096029771,147030_fnca,0.16,-0.05761598154074656,0.39828066496610653,-0.9205983338691245
291,Reward,0.0,0.45,0.1,0.1408,0.3479543328861122,147030_fnca,0.0,0.4046508023973502,0.36758170109055965,-1.0008096691450825
149,Punishment,0.0,0.5,0.1,0.2056,0.4043011347078077,147030_fnca,0.16,0.11278721746095409,0.39641286937864023,-0.9252990114159649
292,Reward,0.0,0.5,0.1,0.2072,0.4054623037272332,147030_fnca,0.0,0.5110216118620727,0.3501092336317813,-1.049510077099728
150,Punishment,0.0,0.55,0.1,0.1208,0.3260251430720216,147030_fnca,0.16,-0.12023612544306254,0.3960689779573387,-0.9261668961354526
293,Reward,0.0,0.55,0.1,0.128,0.3342235244434975,147030_fnca,0.0,0.3829772312201177,0.37073256957733297,-0.9922743130211863
151,Punishment,0.0,0.6,0.1,0.124,0.3297134646553277,147030_fnca,0.16,-0.1091857138368107,0.39657135447327585,-0.9248992932576996
294,Reward,0.0,0.6,0.1,0.14,0.3471259096029769,147030_fnca,0.0,0.40331187078522646,0.36778058105851485,-1.0002687657628122
152,Punishment,0.0,0.65,0.1,0.132,0.3386262455678088,147030_fnca,0.16,-0.08268703435272588,0.3975807956562066,-0.922357106029697
295,Reward,0.0,0.65,0.1,0.1304,0.3368777661162024,147030_fnca,0.0,0.38708402012800064,0.37014681582390924,-0.9938555525238999
153,Punishment,0.0,0.7,0.1,0.1632,0.3696959562668547,147030_fnca,0.16,0.008655761432484206,0.3989273358635015,-0.9189759943076607
296,Reward,0.0,0.7,0.1,0.1664,0.3725883756615907,147030_fnca,0.0,0.44660545220856657,0.3610760246669583,-1.0186667481758818
154,Punishment,0.0,0.75,0.1,0.148,0.3552421111946791,147030_fnca,0.16,-0.033779778978466304,0.39871473409368713,-0.9195090699385896
297,Reward,0.0,0.75,0.1,0.1568,0.3637576331742799,147030_fnca,0.0,0.4310562465224628,0.36354824145778225,-1.0118432770376897
155,Punishment,0.0,0.8,0.1,0.1872,0.3902281158321488,147030_fnca,0.16,0.06970281970072015,0.3979743294123514,-0.9213677747417882
298,Reward,0.0,0.8,0.1,0.1816,0.3856688117360241,147030_fnca,0.0,0.4708703283072276,0.35707909531262244,-1.0297979662447507
156,Punishment,0.05,0.2,0.1,0.1832,0.3869852271764935,147030_fnca,0.16,0.05995060888827962,0.39822600983764767,-0.9207355709577104
299,Reward,0.05,0.2,0.1,0.1824,0.3863284091440465,147030_fnca,0.0,0.47213716538249795,0.35686586907718965,-1.0303952846723827
157,Punishment,0.05,0.25,0.1,0.136,0.3429257623200248,147030_fnca,0.16,-0.06998599299635802,0.3979664583257542,-0.9213875528125157
300,Reward,0.05,0.25,0.1,0.1496,0.356821660438217,147030_fnca,0.0,0.4192570591602383,0.36537656436306437,-1.0068267740325185
158,Punishment,0.05,0.3,0.1,0.1584,0.3652617868575234,147030_fnca,0.16,-0.0043804199003825645,0.39893845295189573,-0.9189481272439244
301,Reward,0.05,0.3,0.1,0.1592,0.3660089206891261,147030_fnca,0.0,0.4349620760615787,0.36293390651527707,-1.0135345370105717
159,Punishment,0.05,0.35,0.1,0.1784,0.3830023402462541,147030_fnca,0.16,0.0480414819088823,0.3984821697376504,-0.9200925251966733
302,Reward,0.05,0.35,0.1,0.176,0.3809725870580081,147030_fnca,0.0,0.46197549634509966,0.3585636057380777,-1.0256492128163233
160,Punishment,0.05,0.4,0.1,0.1488,0.3560336612939563,147030_fnca,0.16,-0.03145769969978436,0.3987449352066456,-0.9194333266398735
303,Reward,0.05,0.4,0.1,0.1648,0.3711484351694655,147030_fnca,0.0,0.4440271987803282,0.3614908279757896,-1.0175186098330253
161,Punishment,0.05,0.45,0.1,0.1128,0.3164747778702474,147030_fnca,0.16,-0.14914300696452876,0.39452989919454834,-0.9300603514678834
304,Reward,0.05,0.45,0.1,0.1232,0.3287981852098299,147030_fnca,0.0,0.3746979318677722,0.3718972013787752,-0.9891378032776654
162,Punishment,0.05,0.5,0.1,0.104,0.3053827219826106,147030_fnca,0.16,-0.1833764518059041,0.39229075399947727,-0.9357519947431342
305,Reward,0.05,0.5,0.1,0.1392,0.3462936549178301,147030_fnca,0.0,0.4019709804761797,0.36797919866518747,-0.9997288677771633
163,Punishment,0.05,0.55,0.1,0.2208,0.4149519346701124,147030_fnca,0.16,0.1465229944001493,0.39468273981669905,-0.9296730271486658
306,Reward,0.05,0.55,0.1,0.2008,0.4007590875788365,147030_fnca,0.0,0.5010491495355025,0.3518804969491674,-1.044463658329798
164,Punishment,0.05,0.6,0.1,0.1288,0.3351125188951559,147030_fnca,0.16,-0.09310305715484568,0.3972169703276346,-0.923272622830462
307,Reward,0.05,0.6,0.1,0.1296,0.3359972549356013,147030_fnca,0.0,0.3857174369619171,0.37034232299439956,-0.9933275037929079
165,Punishment,0.05,0.65,0.1,0.168,0.3740159225598057,147030_fnca,0.16,0.0213894637031684,0.39885103096539315,-0.9191672877834273
308,Reward,0.05,0.65,0.1,0.1664,0.3725883756615905,147030_fnca,0.0,0.44660545220856684,0.36107602466695826,-1.018666748175882
