,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
66,100408_fnca,2,1,Reward,3,5,2.0,0,527,13,1,0,1,0,3.0,,1.0,Reward,MostlyReward,MostlyReward
67,100408_fnca,3,1,Punishment,4,5,3.0,0,581,14,1,1,0,0,3.0,2.0,0.0,Reward,MostlyReward,MostlyReward
68,100408_fnca,4,1,Reward,5,5,3.0,0,532,13,2,2,0,0,3.0,3.0,0.0,Punishment,MostlyReward,MostlyReward
69,100408_fnca,5,1,Reward,6,5,3.0,0,904,13,3,3,0,0,2.0,3.0,1.0,Reward,MostlyReward,MostlyReward
70,100408_fnca,6,1,Reward,7,5,2.0,0,624,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
71,100408_fnca,7,1,Neutral,8,5,3.0,0,809,14,1,1,0,0,3.0,2.0,0.0,Reward,MostlyReward,MostlyReward
73,100408_fnca,10,1,Reward,10,5,2.0,0,1045,13,1,0,1,0,3.0,,1.0,,MostlyPunishment,MostlyPunishment
74,100408_fnca,11,1,Punishment,11,5,3.0,0,685,13,1,1,0,0,2.0,2.0,1.0,Reward,MostlyPunishment,MostlyPunishment
77,100408_fnca,14,1,Neutral,14,5,3.0,0,410,14,1,1,0,0,3.0,,0.0,Punishment,MostlyPunishment,MostlyPunishment
78,100408_fnca,15,1,Punishment,15,5,3.0,0,881,13,2,2,0,0,3.0,3.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
79,100408_fnca,16,1,Punishment,16,5,3.0,0,391,13,3,3,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
81,100408_fnca,19,1,Punishment,18,5,2.0,0,393,13,1,0,1,0,3.0,,1.0,,MostlyPunishment,MostlyPunishment
82,100408_fnca,20,1,Punishment,19,5,3.0,0,344,13,1,1,0,0,3.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
83,100408_fnca,21,1,Punishment,20,5,3.0,0,565,13,2,2,0,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
84,100408_fnca,22,1,Neutral,21,5,2.0,0,501,13,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
