,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std,HCPID,LL,ResponseSwitch
0,Neutral,0.5,0.25,0.1,0.47,0.4999331058930714,101410_fnca,-1.8433396053023146,0.3333333333333333
1,Punishment,0.5,0.25,0.1,0.484,0.4999439520227552,101410_fnca,-1.8433396053023146,0.52
2,Reward,0.5,0.25,0.1,0.4376,0.4962895149266215,101410_fnca,-1.8433396053023146,0.4
