,HCPID,ans,bll,lf,LL
131,173940_fnca,0.5,0.25,0.1,-1.8793431563092977
133,173940_fnca,0.5,0.35,0.1,-1.883313805305421
136,173940_fnca,0.5,0.5,0.1,-1.8837653481371799
137,173940_fnca,0.5,0.55,0.1,-1.8912837016987027
134,173940_fnca,0.5,0.4,0.1,-1.8913002809094008
139,173940_fnca,0.5,0.65,0.1,-1.901650360047304
135,173940_fnca,0.5,0.45,0.1,-1.9036977154583656
141,173940_fnca,0.5,0.75,0.1,-1.9047682401375376
138,173940_fnca,0.5,0.6,0.1,-1.9145823922091667
104,173940_fnca,0.4,0.2,0.1,-1.9205860913859936
130,173940_fnca,0.5,0.2,0.1,-1.9243824030208194
140,173940_fnca,0.5,0.7,0.1,-1.9262037405100096
122,173940_fnca,0.45,0.45,0.1,-1.9269882442118405
124,173940_fnca,0.45,0.55,0.1,-1.9278183941588387
125,173940_fnca,0.45,0.6,0.1,-1.9344524377838712
129,173940_fnca,0.45,0.8,0.1,-1.9402743296795206
121,173940_fnca,0.45,0.4,0.1,-1.9405334006500907
142,173940_fnca,0.5,0.8,0.1,-1.944256621325668
127,173940_fnca,0.45,0.7,0.1,-1.9508094851785112
132,173940_fnca,0.5,0.3,0.1,-1.9540740398871048
118,173940_fnca,0.45,0.25,0.1,-1.9550061824973861
106,173940_fnca,0.4,0.3,0.1,-1.9575290818253723
119,173940_fnca,0.45,0.3,0.1,-1.9589026938178065
123,173940_fnca,0.45,0.5,0.1,-1.9658259168400294
115,173940_fnca,0.4,0.75,0.1,-1.973592375397709
128,173940_fnca,0.45,0.75,0.1,-1.976601335405742
109,173940_fnca,0.4,0.45,0.1,-1.9816719647555847
108,173940_fnca,0.4,0.4,0.1,-1.9827067043197415
116,173940_fnca,0.4,0.8,0.1,-1.984421746548842
91,173940_fnca,0.35,0.2,0.1,-1.9929159380075951
110,173940_fnca,0.4,0.5,0.1,-2.002357492738873
107,173940_fnca,0.4,0.35,0.1,-2.017025095256348
126,173940_fnca,0.45,0.65,0.1,-2.0180071537529143
100,173940_fnca,0.35,0.65,0.1,-2.0186215371391065
117,173940_fnca,0.45,0.2,0.1,-2.019291295169557
112,173940_fnca,0.4,0.6,0.1,-2.024766090768966
120,173940_fnca,0.45,0.35,0.1,-2.0257979726189035
101,173940_fnca,0.35,0.7,0.1,-2.0291907235795303
114,173940_fnca,0.4,0.7,0.1,-2.0325148095999204
92,173940_fnca,0.35,0.25,0.1,-2.044235913138669
105,173940_fnca,0.4,0.25,0.1,-2.0464841220546726
111,173940_fnca,0.4,0.55,0.1,-2.0651797626109323
113,173940_fnca,0.4,0.65,0.1,-2.066474732798813
94,173940_fnca,0.35,0.35,0.1,-2.081790700617068
77,173940_fnca,0.25,0.8,0.1,-2.0863838517644098
81,173940_fnca,0.3,0.35,0.1,-2.095367884985632
95,173940_fnca,0.35,0.4,0.1,-2.124846675746721
99,173940_fnca,0.35,0.6,0.1,-2.143072826498778
98,173940_fnca,0.35,0.55,0.1,-2.1602353941284544
80,173940_fnca,0.3,0.3,0.1,-2.1606563688695664
102,173940_fnca,0.35,0.75,0.1,-2.1628141206779925
83,173940_fnca,0.3,0.45,0.1,-2.1639945012865027
78,173940_fnca,0.3,0.2,0.1,-2.1661952369059145
87,173940_fnca,0.3,0.65,0.1,-2.1856282641712474
82,173940_fnca,0.3,0.4,0.1,-2.1945082098557895
79,173940_fnca,0.3,0.25,0.1,-2.213326825649716
71,173940_fnca,0.25,0.5,0.1,-2.2272534287800068
84,173940_fnca,0.3,0.5,0.1,-2.2501773184121854
86,173940_fnca,0.3,0.6,0.1,-2.25693630377281
93,173940_fnca,0.35,0.3,0.1,-2.2619425160007296
96,173940_fnca,0.35,0.45,0.1,-2.266727756238487
85,173940_fnca,0.3,0.55,0.1,-2.2721882027513107
70,173940_fnca,0.25,0.45,0.1,-2.3127975090372503
103,173940_fnca,0.35,0.8,0.1,-2.3147182522315535
76,173940_fnca,0.25,0.75,0.1,-2.325578835326033
88,173940_fnca,0.3,0.7,0.1,-2.3261809498244004
66,173940_fnca,0.25,0.25,0.1,-2.3296251068541234
69,173940_fnca,0.25,0.4,0.1,-2.3351440996381556
65,173940_fnca,0.25,0.2,0.1,-2.3460494304653263
97,173940_fnca,0.35,0.5,0.1,-2.3562374568188673
2,173940_fnca,0.0,0.3,0.1,-2.367198119476041
64,173940_fnca,0.2,0.8,0.1,-2.37890996708666
62,173940_fnca,0.2,0.7,0.1,-2.3846094978298433
68,173940_fnca,0.25,0.35,0.1,-2.3887071829290933
72,173940_fnca,0.25,0.55,0.1,-2.4384372279172215
42,173940_fnca,0.15,0.35,0.1,-2.4477488054167784
89,173940_fnca,0.3,0.75,0.1,-2.4517068346843436
56,173940_fnca,0.2,0.4,0.1,-2.4647143412721677
32,173940_fnca,0.1,0.5,0.1,-2.5018960098763277
52,173940_fnca,0.2,0.2,0.1,-2.5077518796443545
55,173940_fnca,0.2,0.35,0.1,-2.51494505987639
90,173940_fnca,0.3,0.8,0.1,-2.515663526650659
10,173940_fnca,0.0,0.7,0.1,-2.525920223720049
59,173940_fnca,0.2,0.55,0.1,-2.5441415191617556
14,173940_fnca,0.05,0.25,0.1,-2.562999639388571
37,173940_fnca,0.1,0.75,0.1,-2.5660359673115654
61,173940_fnca,0.2,0.65,0.1,-2.5783913963503045
63,173940_fnca,0.2,0.75,0.1,-2.578391396350306
31,173940_fnca,0.1,0.45,0.1,-2.5789504807258226
75,173940_fnca,0.25,0.7,0.1,-2.5845151575447964
74,173940_fnca,0.25,0.65,0.1,-2.606456303648888
73,173940_fnca,0.25,0.6,0.1,-2.6282863461501877
47,173940_fnca,0.15,0.6,0.1,-2.6305260102230337
48,173940_fnca,0.15,0.65,0.1,-2.6338789460862424
25,173940_fnca,0.05,0.8,0.1,-2.6691776225127244
67,173940_fnca,0.25,0.3,0.1,-2.6779079745598016
3,173940_fnca,0.0,0.35,0.1,-2.7234008179453344
38,173940_fnca,0.1,0.8,0.1,-2.741078060220863
16,173940_fnca,0.05,0.35,0.1,-2.7469365150051246
49,173940_fnca,0.15,0.7,0.1,-2.7598083017741812
27,173940_fnca,0.1,0.25,0.1,-2.770457796081062
50,173940_fnca,0.15,0.75,0.1,-2.780552157763694
26,173940_fnca,0.1,0.2,0.1,-2.7828666722019606
43,173940_fnca,0.15,0.4,0.1,-2.788997184728772
40,173940_fnca,0.15,0.25,0.1,-2.7897646449025757
53,173940_fnca,0.2,0.25,0.1,-2.796568442441946
20,173940_fnca,0.05,0.55,0.1,-2.808103600736078
9,173940_fnca,0.0,0.65,0.1,-2.8293922750420495
58,173940_fnca,0.2,0.5,0.1,-2.841313987927456
11,173940_fnca,0.0,0.75,0.1,-2.8421751545887117
23,173940_fnca,0.05,0.7,0.1,-2.864582471970322
60,173940_fnca,0.2,0.6,0.1,-2.8680037950094555
44,173940_fnca,0.15,0.45,0.1,-2.869970271321649
22,173940_fnca,0.05,0.65,0.1,-2.8818244518540723
45,173940_fnca,0.15,0.5,0.1,-2.8842235273397248
46,173940_fnca,0.15,0.55,0.1,-2.9302551662001233
5,173940_fnca,0.0,0.45,0.1,-2.9342090740630864
36,173940_fnca,0.1,0.7,0.1,-2.9974714519925563
35,173940_fnca,0.1,0.65,0.1,-3.002703944761433
54,173940_fnca,0.2,0.3,0.1,-3.0131221343945205
39,173940_fnca,0.15,0.2,0.1,-3.020854770665161
12,173940_fnca,0.0,0.8,0.1,-3.1174134784840533
34,173940_fnca,0.1,0.6,0.1,-3.127822713277011
4,173940_fnca,0.0,0.4,0.1,-3.157425373502626
30,173940_fnca,0.1,0.4,0.1,-3.1778071262204133
41,173940_fnca,0.15,0.3,0.1,-3.234138121936412
57,173940_fnca,0.2,0.45,0.1,-3.242959873378823
33,173940_fnca,0.1,0.55,0.1,-3.2521400137202967
21,173940_fnca,0.05,0.6,0.1,-3.253823557323566
8,173940_fnca,0.0,0.6,0.1,-3.269340494751865
13,173940_fnca,0.05,0.2,0.1,-3.2758115613502476
7,173940_fnca,0.0,0.55,0.1,-3.2931174959845366
17,173940_fnca,0.05,0.4,0.1,-3.2967658213262734
29,173940_fnca,0.1,0.35,0.1,-3.316570478180671
19,173940_fnca,0.05,0.5,0.1,-3.368644155060151
15,173940_fnca,0.05,0.3,0.1,-3.3932671248768287
24,173940_fnca,0.05,0.75,0.1,-3.3932671248768296
28,173940_fnca,0.1,0.3,0.1,-3.556971908002331
18,173940_fnca,0.05,0.45,0.1,-3.6457453196743637
1,173940_fnca,0.0,0.25,0.1,-3.7649227385712214
0,173940_fnca,0.0,0.2,0.1,-3.8631681541520146
6,173940_fnca,0.0,0.5,0.1,-4.213099479367209
51,173940_fnca,0.15,0.8,0.1,-4.696438569952213
