,HCPID,egs,alpha,r,LL
29,106521_fnca,0.1,0.5,1,-2.5065835658545526
58,106521_fnca,0.25,0.45,1,-2.512033862906649
68,106521_fnca,0.3,0.45,1,-2.5247719653216425
47,106521_fnca,0.2,0.4,1,-2.5260146062940736
109,106521_fnca,0.5,0.5,1,-2.534952509991607
99,106521_fnca,0.45,0.5,1,-2.540746903642631
69,106521_fnca,0.3,0.5,1,-2.5473253960061033
49,106521_fnca,0.2,0.5,1,-2.5536386969173455
59,106521_fnca,0.25,0.5,1,-2.5654887973140994
39,106521_fnca,0.15,0.5,1,-2.566655118910724
89,106521_fnca,0.4,0.5,1,-2.5849213212235433
79,106521_fnca,0.35,0.5,1,-2.6096129677827045
0,106521_fnca,0.0,0.05,1,-3.3285413629754004
