,HCPID,egs,alpha,r,LL
82,168341_fnca,0.4,0.15,1,-1.8414914963741493
72,168341_fnca,0.35,0.15,1,-1.843144049702596
92,168341_fnca,0.45,0.15,1,-1.843522354884633
102,168341_fnca,0.5,0.15,1,-1.8438322737311488
91,168341_fnca,0.45,0.1,1,-1.844361029546465
101,168341_fnca,0.5,0.1,1,-1.848261507326749
41,168341_fnca,0.2,0.1,1,-1.8503394569558944
71,168341_fnca,0.35,0.1,1,-1.8522171529737501
81,168341_fnca,0.4,0.1,1,-1.8524885863677918
51,168341_fnca,0.25,0.1,1,-1.8637512170876351
61,168341_fnca,0.3,0.1,1,-1.866316503137603
31,168341_fnca,0.15,0.1,1,-1.8677970021675812
52,168341_fnca,0.25,0.15,1,-1.8680766596160399
90,168341_fnca,0.45,0.05,1,-1.8719036872344714
50,168341_fnca,0.25,0.05,1,-1.8730333291505834
100,168341_fnca,0.5,0.05,1,-1.875120050469433
70,168341_fnca,0.35,0.05,1,-1.8796459889579293
62,168341_fnca,0.3,0.15,1,-1.8812372779738755
21,168341_fnca,0.1,0.1,1,-1.8828913281373454
60,168341_fnca,0.3,0.05,1,-1.8859951976788845
80,168341_fnca,0.4,0.05,1,-1.8916716331130958
40,168341_fnca,0.2,0.05,1,-1.8929854407173161
30,168341_fnca,0.15,0.05,1,-1.903137125924931
93,168341_fnca,0.45,0.2,1,-1.9105080476918768
103,168341_fnca,0.5,0.2,1,-1.9144530006089004
11,168341_fnca,0.05,0.1,1,-1.921333154333308
20,168341_fnca,0.1,0.05,1,-1.924115798231629
42,168341_fnca,0.2,0.15,1,-1.9259917653918408
32,168341_fnca,0.15,0.15,1,-1.9440018963491155
83,168341_fnca,0.4,0.2,1,-1.9597647439681212
73,168341_fnca,0.35,0.2,1,-1.9784490084674298
22,168341_fnca,0.1,0.15,1,-2.035243220959404
10,168341_fnca,0.05,0.05,1,-2.0361751563826043
1,168341_fnca,0.0,0.1,1,-2.048095497191166
2,168341_fnca,0.0,0.15,1,-2.0741719990926275
12,168341_fnca,0.05,0.15,1,-2.0745309344985237
63,168341_fnca,0.3,0.2,1,-2.0984008567758368
104,168341_fnca,0.5,0.25,1,-2.0994970389909984
94,168341_fnca,0.45,0.25,1,-2.11906344175957
53,168341_fnca,0.25,0.2,1,-2.144973401839885
84,168341_fnca,0.4,0.25,1,-2.1504731926702156
43,168341_fnca,0.2,0.2,1,-2.1853256375098224
105,168341_fnca,0.5,0.3,1,-2.215152075457823
95,168341_fnca,0.45,0.3,1,-2.244511383093223
74,168341_fnca,0.35,0.25,1,-2.2641945244287918
3,168341_fnca,0.0,0.2,1,-2.283356327053167
13,168341_fnca,0.05,0.2,1,-2.293094137063747
5,168341_fnca,0.0,0.3,1,-2.298239378701704
33,168341_fnca,0.15,0.2,1,-2.304170449180506
14,168341_fnca,0.05,0.25,1,-2.308409831390059
23,168341_fnca,0.1,0.2,1,-2.3121783893305103
64,168341_fnca,0.3,0.25,1,-2.3166744015823966
4,168341_fnca,0.0,0.25,1,-2.317349768016996
85,168341_fnca,0.4,0.3,1,-2.335724956412771
24,168341_fnca,0.1,0.25,1,-2.3418921901268472
34,168341_fnca,0.15,0.25,1,-2.3581052837967884
44,168341_fnca,0.2,0.25,1,-2.3695338869228015
106,168341_fnca,0.5,0.35,1,-2.372872522492206
54,168341_fnca,0.25,0.25,1,-2.3837489576201607
75,168341_fnca,0.35,0.3,1,-2.3861693871664316
6,168341_fnca,0.0,0.35,1,-2.4037548708648817
9,168341_fnca,0.0,0.5,1,-2.4067672814084986
8,168341_fnca,0.0,0.45,1,-2.412903793751993
7,168341_fnca,0.0,0.4,1,-2.412903793751993
17,168341_fnca,0.05,0.4,1,-2.440258214143685
86,168341_fnca,0.4,0.35,1,-2.4429713356588065
107,168341_fnca,0.5,0.4,1,-2.456477708196731
15,168341_fnca,0.05,0.3,1,-2.468671256811197
16,168341_fnca,0.05,0.35,1,-2.468688801154177
25,168341_fnca,0.1,0.3,1,-2.475301218764475
65,168341_fnca,0.3,0.3,1,-2.475743268533466
96,168341_fnca,0.45,0.35,1,-2.4811575171257902
98,168341_fnca,0.45,0.45,1,-2.482011586852898
18,168341_fnca,0.05,0.45,1,-2.4843715969608753
35,168341_fnca,0.15,0.3,1,-2.486916851763419
108,168341_fnca,0.5,0.45,1,-2.492905441185699
109,168341_fnca,0.5,0.5,1,-2.5142760060703235
45,168341_fnca,0.2,0.3,1,-2.514382390028915
19,168341_fnca,0.05,0.5,1,-2.5147501539504233
97,168341_fnca,0.45,0.4,1,-2.5314695692736806
55,168341_fnca,0.25,0.3,1,-2.554986711554679
27,168341_fnca,0.1,0.4,1,-2.555442840469046
56,168341_fnca,0.25,0.35,1,-2.565552373690009
26,168341_fnca,0.1,0.35,1,-2.5686829700314937
76,168341_fnca,0.35,0.35,1,-2.5768678942493004
66,168341_fnca,0.3,0.35,1,-2.580415288904985
87,168341_fnca,0.4,0.4,1,-2.5859609393716747
29,168341_fnca,0.1,0.5,1,-2.59404825863427
36,168341_fnca,0.15,0.35,1,-2.5951389093850805
28,168341_fnca,0.1,0.45,1,-2.611778066618562
46,168341_fnca,0.2,0.35,1,-2.6117780666185624
77,168341_fnca,0.35,0.4,1,-2.6253546631321805
58,168341_fnca,0.25,0.45,1,-2.640736015960211
57,168341_fnca,0.25,0.4,1,-2.6435655117567256
37,168341_fnca,0.15,0.4,1,-2.662224087587134
67,168341_fnca,0.3,0.4,1,-2.6701093851387636
38,168341_fnca,0.15,0.45,1,-2.674001067484963
47,168341_fnca,0.2,0.4,1,-2.6862992592939055
68,168341_fnca,0.3,0.45,1,-2.6941356086804102
88,168341_fnca,0.4,0.45,1,-2.696707808430636
99,168341_fnca,0.45,0.5,1,-2.7124527568002814
78,168341_fnca,0.35,0.45,1,-2.724874485856557
89,168341_fnca,0.4,0.5,1,-2.739030622536898
79,168341_fnca,0.35,0.5,1,-2.7510504115083494
69,168341_fnca,0.3,0.5,1,-2.757194840152028
39,168341_fnca,0.15,0.5,1,-2.7679130941471417
0,168341_fnca,0.0,0.05,1,-2.774765625335077
49,168341_fnca,0.2,0.5,1,-2.7851667903177315
48,168341_fnca,0.2,0.45,1,-2.814848635688704
59,168341_fnca,0.25,0.5,1,-2.844260472582981
