,HCPID,LL.m1,LL.m2,LL.diff,BestModel
180,159441_fnca,-2.243805029585043,-2.0639077936373416,-0.17989723594770135,model2
11,160123_fnca,-1.849323250993192,-1.8702840558509084,0.020960804857716342,model1
66,160830_fnca,-1.8826976003517248,-1.8555337548046988,-0.027163845547026,model2
175,161327_fnca,-1.9822434145601788,-1.861374860469544,-0.1208685540906349,model2
182,161630_fnca,-1.961874654683942,-1.889053547682432,-0.07282110700151012,model2
194,161731_fnca,-1.9892058161620727,-1.924207320581587,-0.06499849558048565,model2
55,162026_fnca,-1.9837916717864823,-1.948970463840246,-0.03482120794623622,model2
173,162228_fnca,-1.8818392274438351,-1.8453720207462905,-0.03646720669754466,model2
26,162329_fnca,-2.079293962812208,-1.9325440367167064,-0.14674992609550164,model2
49,162733_fnca,-2.073039189700595,-1.8730351292622505,-0.2000040604383444,model2
69,163129_fnca,-1.9072723813910617,-1.869421436195024,-0.0378509451960376,model2
10,163331_fnca,-2.015707526123702,-1.902988450492606,-0.11271907563109584,model2
167,163432_fnca,-1.8395627183004035,-1.838752604619072,-0.0008101136813314369,model2
152,163836_fnca,-1.9058736152561,-1.8544513803073055,-0.0514222349487945,model2
124,164030_fnca,-2.0078902104802587,-2.009899271261196,0.0020090607809373218,model1
61,164131_fnca,-2.8437075647997325,-2.214088124900847,-0.6296194398988857,model2
150,164939_fnca,-1.9720782406901376,-1.845439828567837,-0.12663841212230054,model2
101,165032_fnca,-1.948526962033439,-1.8553184364098256,-0.09320852562361326,model2
40,165234_fnca,-1.8708383510227715,-1.8388870463998563,-0.03195130462291518,model2
33,165840_fnca,-1.923222572939148,-1.849744391320017,-0.073478181619131,model2
95,166438_fnca,-1.8519320792392169,-1.8393749046357664,-0.012557174603450516,model2
185,167036_fnca,-1.9184345422115967,-1.838675273875638,-0.0797592683359587,model2
25,167743_fnca,-1.8831039593177503,-1.8401438404103163,-0.04296011890743401,model2
28,168139_fnca,-2.0033352981409838,-2.083309313307633,0.07997401516664926,model1
48,168341_fnca,-1.8383195205231455,-1.841491496374149,0.0031719758510035945,model1
35,169141_fnca,-2.099873576121136,-2.2000778600845274,0.10020428396339165,model1
142,169343_fnca,-1.9282222016095747,-1.8378877538665883,-0.09033444774298638,model2
98,169444_fnca,-1.9029591625307067,-1.86978607787159,-0.033173084659116725,model2
47,170934_fnca,-1.8401718348429157,-1.856317739358137,0.016145904515221243,model1
161,171431_fnca,-1.9967460938365733,-1.98106646413596,-0.015679629700613207,model2
59,171633_fnca,-1.8440156198934887,-1.848190465055898,0.004174845162409291,model1
2,172029_fnca,-1.8412854114833184,-1.8385714257014567,-0.002713985781861661,model2
9,172130_fnca,-1.9445936593626187,-1.8566205799255613,-0.08797307943705746,model2
193,172332_fnca,-1.893795524585828,-1.9484369106297912,0.05464138604396318,model1
31,172534_fnca,-1.908428263857279,-1.9077778938488577,-0.0006503700084212749,model2
133,172938_fnca,-1.914650610665449,-1.8465547710333492,-0.06809583963209986,model2
135,173132_fnca,-1.9232176459860824,-1.8380204735929144,-0.08519717239316793,model2
190,173334_fnca,-2.979373978213186,-2.339196624975779,-0.6401773532374069,model2
45,173435_fnca,-1.92243450162064,-1.8467057842416803,-0.07572871737895959,model2
62,173536_fnca,-1.8790953317724728,-1.849818635976284,-0.029276695796188745,model2
41,173940_fnca,-1.8793431563092975,-1.837902985121698,-0.04144017118759957,model2
94,175035_fnca,-2.581173487551082,-1.950968339136618,-0.630205148414464,model2
126,175439_fnca,-2.0567651634230866,-1.9501782331568789,-0.10658693026620769,model2
23,176542_fnca,-1.8454190438183549,-1.838897854082894,-0.006521189735460897,model2
139,177645_fnca,-1.907816104901044,-1.957768280111852,0.04995217521080808,model1
81,177746_fnca,-1.838089508072032,-1.8419884283611765,0.003898920289144403,model1
165,178142_fnca,-1.8572352427820515,-1.8849627258561463,0.027727483074094783,model1
118,178748_fnca,-2.0735488107281306,-1.8898473660266089,-0.18370144470152172,model2
113,178849_fnca,-1.844581085173148,-1.8586092638867813,0.014028178713633377,model1
74,178950_fnca,-1.8604412548069529,-1.8627934216072053,0.0023521668002524088,model1
20,992774_fnca,-1.9018776824009376,-1.917754248612104,0.0158765662111664,model1
186,994273_fnca,-1.8693818989893491,-1.889843669893756,0.020461770904406817,model1
