,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
110,Punishment,0.0,0.05,1,0.88,0.3250915988427114,100307_fnca,0.4,1.4765069343801704,0.13412609730662922,-2.0089748968410372
220,Reward,0.0,0.05,1,0.5016,0.5001975590488847,100307_fnca,0.64,-0.2766906745070182,0.38395980825140447,-0.957217397884247
111,Punishment,0.0,0.1,1,0.6,0.4900940253900043,100307_fnca,0.4,0.40808495847474385,0.3670690872996192,-1.0022051998713393
221,Reward,0.0,0.1,1,0.1808,0.3850064206674534,100307_fnca,0.64,-1.192707381876706,0.19588765309329817,-1.6302139825962658
112,Punishment,0.0,0.15,1,0.28,0.4491785937990611,100307_fnca,0.4,-0.2671543160262034,0.3849567658512302,-0.954624247490387
222,Reward,0.0,0.15,1,0.18,0.3843412214941713,100307_fnca,0.64,-1.1968531457846139,0.1949197663914235,-1.6351672594919358
113,Punishment,0.0,0.2,1,0.2,0.4001600960640447,100307_fnca,0.4,-0.49979995998399224,0.3521005350573612,-1.0438385332046727
223,Reward,0.0,0.2,1,0.1424,0.3495997940686039,100307_fnca,0.64,-1.423341799515915,0.14487420391304046,-1.9318894723292743
114,Punishment,0.0,0.25,1,0.2,0.4001600960640447,100307_fnca,0.4,-0.49979995998399224,0.3521005350573612,-1.0438385332046727
224,Reward,0.0,0.25,1,0.1416,0.3487789520683906,100307_fnca,0.64,-1.42898531303079,0.14371285314066964,-1.9399380456335247
115,Punishment,0.0,0.3,1,0.2,0.4001600960640447,100307_fnca,0.4,-0.49979995998399224,0.3521005350573612,-1.0438385332046727
225,Reward,0.0,0.3,1,0.136,0.3429257623200248,100307_fnca,0.64,-1.469705852923519,0.1354766226298913,-1.9989561802634968
116,Punishment,0.0,0.35,1,0.16,0.3667527860628576,100307_fnca,0.4,-0.6543917568464402,0.32204859814203457,-1.133052818918958
226,Reward,0.0,0.35,1,0.14,0.3471259096029773,100307_fnca,0.64,-1.440399538518664,0.14137859041340237,-1.9563139484870629
117,Punishment,0.0,0.4,1,0.16,0.3667527860628576,100307_fnca,0.4,-0.6543917568464402,0.32204859814203457,-1.133052818918958
227,Reward,0.0,0.4,1,0.1416,0.3487789520683907,100307_fnca,0.64,-1.4289853130307895,0.14371285314066973,-1.9399380456335242
118,Punishment,0.0,0.45,1,0.16,0.3667527860628576,100307_fnca,0.4,-0.6543917568464402,0.32204859814203457,-1.133052818918958
228,Reward,0.0,0.45,1,0.1392,0.3462936549178297,100307_fnca,0.64,-1.4461714584947631,0.14020572413158464,-1.9646444768871076
119,Punishment,0.0,0.5,1,0.16,0.3667527860628576,100307_fnca,0.4,-0.6543917568464402,0.32204859814203457,-1.133052818918958
229,Reward,0.0,0.5,1,0.14,0.3471259096029773,100307_fnca,0.64,-1.440399538518664,0.14137859041340237,-1.9563139484870629
120,Punishment,0.05,0.05,1,0.7128,0.4526367904305184,100307_fnca,0.4,0.6910618107345741,0.3142011961076561,-1.1577217463325469
230,Reward,0.05,0.05,1,0.4872,0.5000361876416158,100307_fnca,0.64,-0.3055778837141168,0.3807442250161128,-0.9656274547122718
121,Punishment,0.05,0.1,1,0.5424,0.4983983956320632,100307_fnca,0.4,0.2857152054420438,0.382986659303048,-0.9597551225150673
231,Reward,0.05,0.1,1,0.2616,0.4396818123107455,100307_fnca,0.64,-0.8606223623654587,0.27547071367041076,-1.2892739585064241
122,Punishment,0.05,0.15,1,0.2944,0.4559549933543568,100307_fnca,0.4,-0.23160180618513448,0.38838497350102036,-0.945758231518781
232,Reward,0.05,0.15,1,0.1768,0.3816520491616724,100307_fnca,0.64,-1.2136709367012541,0.19100854676014636,-1.6554371045013225
123,Punishment,0.05,0.2,1,0.2016,0.4013555892811728,100307_fnca,0.4,-0.4943247466799555,0.35306008968651087,-1.0411170107947738
