,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std
0,Neutral,0.0,0.05,1,0.0,0.0
1,Neutral,0.0,0.1,1,0.0,0.0
2,Neutral,0.0,0.15,1,0.0,0.0
3,Neutral,0.0,0.2,1,0.0,0.0
4,Neutral,0.0,0.25,1,0.0,0.0
5,Neutral,0.0,0.3,1,0.0,0.0
6,Neutral,0.0,0.35,1,0.0,0.0
7,Neutral,0.0,0.4,1,0.0,0.0
8,Neutral,0.0,0.45,1,0.0,0.0
9,Neutral,0.0,0.5,1,0.0,0.0
10,Neutral,0.05,0.05,1,0.18333333333333332,0.3875860748793186
11,Neutral,0.05,0.1,1,0.11666666666666667,0.32155905051085143
12,Neutral,0.05,0.15,1,0.013333333333333334,0.11488931224930929
13,Neutral,0.05,0.2,1,0.0,0.0
14,Neutral,0.05,0.25,1,0.006666666666666667,0.08151300584956359
15,Neutral,0.05,0.3,1,0.12333333333333334,0.3293688434044333
16,Neutral,0.05,0.35,1,0.03333333333333333,0.17980541941701317
17,Neutral,0.05,0.4,1,0.02,0.14023391829177734
18,Neutral,0.05,0.45,1,0.023333333333333334,0.15121212222763153
19,Neutral,0.05,0.5,1,0.07333333333333333,0.26111842459139595
20,Neutral,0.1,0.05,1,0.23666666666666666,0.42574611535281853
21,Neutral,0.1,0.1,1,0.20666666666666667,0.40559080597963054
22,Neutral,0.1,0.15,1,0.12333333333333334,0.32936884340443334
23,Neutral,0.1,0.2,1,0.07333333333333333,0.26111842459139595
24,Neutral,0.1,0.25,1,0.043333333333333335,0.2039465687344377
25,Neutral,0.1,0.3,1,0.14333333333333334,0.3509979402633574
26,Neutral,0.1,0.35,1,0.09333333333333334,0.29138503682901823
27,Neutral,0.1,0.4,1,0.08,0.271746488194703
28,Neutral,0.1,0.45,1,0.08333333333333333,0.27684719634237037
29,Neutral,0.1,0.5,1,0.08666666666666667,0.28181605677298166
30,Neutral,0.15,0.05,1,0.33,0.4709983703612392
31,Neutral,0.15,0.1,1,0.25,0.4337361989746802
32,Neutral,0.15,0.15,1,0.2,0.40066833797650675
33,Neutral,0.15,0.2,1,0.12,0.32550449652428015
34,Neutral,0.15,0.25,1,0.10333333333333333,0.3049023456071546
35,Neutral,0.15,0.3,1,0.14333333333333334,0.35099794026335734
36,Neutral,0.15,0.35,1,0.10666666666666667,0.3092047555018715
37,Neutral,0.15,0.4,1,0.13333333333333333,0.34050261230349954
38,Neutral,0.15,0.45,1,0.12333333333333334,0.3293688434044334
39,Neutral,0.15,0.5,1,0.13,0.3368653453081293
40,Neutral,0.2,0.05,1,0.31666666666666665,0.46595342851767957
41,Neutral,0.2,0.1,1,0.3233333333333333,0.46853028109529166
42,Neutral,0.2,0.15,1,0.23,0.4215356541175462
43,Neutral,0.2,0.2,1,0.14666666666666667,0.3543644113182341
44,Neutral,0.2,0.25,1,0.12,0.3255044965242801
45,Neutral,0.2,0.3,1,0.17,0.3762604235825435
46,Neutral,0.2,0.35,1,0.16,0.36721859746989827
47,Neutral,0.2,0.4,1,0.14333333333333334,0.3509979402633571
48,Neutral,0.2,0.45,1,0.15,0.3576680324053049
49,Neutral,0.2,0.5,1,0.12333333333333334,0.32936884340443334
50,Neutral,0.25,0.05,1,0.38333333333333336,0.4870107670057071
51,Neutral,0.25,0.1,1,0.33666666666666667,0.4733593975897285
52,Neutral,0.25,0.15,1,0.26666666666666666,0.4429555141477928
53,Neutral,0.25,0.2,1,0.20666666666666667,0.40559080597963015
54,Neutral,0.25,0.25,1,0.15666666666666668,0.3640935354604675
55,Neutral,0.25,0.3,1,0.22,0.4149384448848746
56,Neutral,0.25,0.35,1,0.17,0.3762604235825435
