,HCPID,egs,alpha,r,LL
91,131924_fnca,0.45,0.1,1,-1.8544795817604651
102,131924_fnca,0.5,0.15,1,-1.8623112837025149
101,131924_fnca,0.5,0.1,1,-1.8631969613646189
71,131924_fnca,0.35,0.1,1,-1.8642300354748675
92,131924_fnca,0.45,0.15,1,-1.865204021963459
100,131924_fnca,0.5,0.05,1,-1.867929352552344
81,131924_fnca,0.4,0.1,1,-1.8684322728536666
61,131924_fnca,0.3,0.1,1,-1.874479931114964
80,131924_fnca,0.4,0.05,1,-1.876789129114576
70,131924_fnca,0.35,0.05,1,-1.8791969970551385
60,131924_fnca,0.3,0.05,1,-1.8856286092016812
50,131924_fnca,0.25,0.05,1,-1.887174088351928
82,131924_fnca,0.4,0.15,1,-1.8896996140855995
72,131924_fnca,0.35,0.15,1,-1.8915211071602829
51,131924_fnca,0.25,0.1,1,-1.892323318951159
90,131924_fnca,0.45,0.05,1,-1.8932950969291613
40,131924_fnca,0.2,0.05,1,-1.9004050814087816
41,131924_fnca,0.2,0.1,1,-1.9018382942966854
62,131924_fnca,0.3,0.15,1,-1.9063408410056546
30,131924_fnca,0.15,0.05,1,-1.909460031278512
31,131924_fnca,0.15,0.1,1,-1.9145717317781132
93,131924_fnca,0.45,0.2,1,-1.9365591627691838
103,131924_fnca,0.5,0.2,1,-1.947680214034183
52,131924_fnca,0.25,0.15,1,-1.9518019345224986
21,131924_fnca,0.1,0.1,1,-1.9572219270441507
20,131924_fnca,0.1,0.05,1,-1.977315632200676
42,131924_fnca,0.2,0.15,1,-1.9812482449330635
32,131924_fnca,0.15,0.15,1,-1.9943740734687467
11,131924_fnca,0.05,0.1,1,-2.017597400007394
10,131924_fnca,0.05,0.05,1,-2.059703843704266
83,131924_fnca,0.4,0.2,1,-2.0691977675649613
63,131924_fnca,0.3,0.2,1,-2.0878251499869966
73,131924_fnca,0.35,0.2,1,-2.092740952920145
22,131924_fnca,0.1,0.15,1,-2.1428496824767795
104,131924_fnca,0.5,0.25,1,-2.1687797847266417
2,131924_fnca,0.0,0.15,1,-2.175528219024706
1,131924_fnca,0.0,0.1,1,-2.2152532138915495
12,131924_fnca,0.05,0.15,1,-2.216298872908914
94,131924_fnca,0.45,0.25,1,-2.2494231452128726
84,131924_fnca,0.4,0.25,1,-2.2742062464083457
53,131924_fnca,0.25,0.2,1,-2.2823015268028497
105,131924_fnca,0.5,0.3,1,-2.3815606372774405
64,131924_fnca,0.3,0.25,1,-2.3878105424600724
74,131924_fnca,0.35,0.25,1,-2.3882592245261365
43,131924_fnca,0.2,0.2,1,-2.4119021153982185
33,131924_fnca,0.15,0.2,1,-2.4163104378599147
23,131924_fnca,0.1,0.2,1,-2.4176331140929035
5,131924_fnca,0.0,0.3,1,-2.4334618690378065
13,131924_fnca,0.05,0.2,1,-2.443840003593576
3,131924_fnca,0.0,0.2,1,-2.4611098501759905
14,131924_fnca,0.05,0.25,1,-2.462490395333645
24,131924_fnca,0.1,0.25,1,-2.4692834605990424
96,131924_fnca,0.45,0.35,1,-2.473328361915976
34,131924_fnca,0.15,0.25,1,-2.478835016292967
4,131924_fnca,0.0,0.25,1,-2.480685871513817
95,131924_fnca,0.45,0.3,1,-2.48467306446901
106,131924_fnca,0.5,0.35,1,-2.4856226075523047
44,131924_fnca,0.2,0.25,1,-2.4883907475974603
97,131924_fnca,0.45,0.4,1,-2.488537932750199
54,131924_fnca,0.25,0.25,1,-2.498736211871295
85,131924_fnca,0.4,0.3,1,-2.5076070280746725
9,131924_fnca,0.0,0.5,1,-2.5226761547520913
8,131924_fnca,0.0,0.45,1,-2.52714842000919
6,131924_fnca,0.0,0.35,1,-2.5271484200091905
7,131924_fnca,0.0,0.4,1,-2.5408872275214667
16,131924_fnca,0.05,0.35,1,-2.5486742730424066
15,131924_fnca,0.05,0.3,1,-2.5503690912715755
17,131924_fnca,0.05,0.4,1,-2.5525753788139895
86,131924_fnca,0.4,0.35,1,-2.561410470321605
25,131924_fnca,0.1,0.3,1,-2.587762011452602
75,131924_fnca,0.35,0.3,1,-2.6047381070653395
18,131924_fnca,0.05,0.45,1,-2.6059074546045085
65,131924_fnca,0.3,0.3,1,-2.6107180990646173
45,131924_fnca,0.2,0.3,1,-2.617497440654466
77,131924_fnca,0.35,0.4,1,-2.63254122272501
35,131924_fnca,0.15,0.3,1,-2.6464482299794585
107,131924_fnca,0.5,0.4,1,-2.646952178836209
109,131924_fnca,0.5,0.5,1,-2.6576994064447925
78,131924_fnca,0.35,0.45,1,-2.6614800429698957
55,131924_fnca,0.25,0.3,1,-2.6670299447138412
27,131924_fnca,0.1,0.4,1,-2.6697042242645166
26,131924_fnca,0.1,0.35,1,-2.671105350812991
36,131924_fnca,0.15,0.35,1,-2.672171419910174
28,131924_fnca,0.1,0.45,1,-2.675910039813231
56,131924_fnca,0.25,0.35,1,-2.715550756492699
47,131924_fnca,0.2,0.4,1,-2.7291703120265134
46,131924_fnca,0.2,0.35,1,-2.729528500146192
66,131924_fnca,0.3,0.35,1,-2.73520318292507
108,131924_fnca,0.5,0.45,1,-2.738797073869378
76,131924_fnca,0.35,0.35,1,-2.7422626369569407
19,131924_fnca,0.05,0.5,1,-2.750891544189731
