,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
143,Punishment,0.0,0.2,0.1,0.1448,0.3520399205836574,133827_fnca,0.625,-1.364049847539626,0.15735442615735032,-1.8492545264911113
286,Reward,0.0,0.2,0.1,0.1384,0.3454575411395502,133827_fnca,0.4583333333333333,-0.9261147760097493,0.25981568001866906,-1.3477828223764667
144,Punishment,0.0,0.25,0.1,0.0864,0.281066253027418,133827_fnca,0.625,-1.9162741673845118,0.0636095364625248,-2.7549918754972746
287,Reward,0.0,0.25,0.1,0.0968,0.2958035831558606,133827_fnca,0.4583333333333333,-1.2222074170847328,0.18903293527437692,-1.6658340183931397
145,Punishment,0.0,0.3,0.1,0.1944,0.3958964854880342,133827_fnca,0.625,-1.0876580514959249,0.2208131187541787,-1.5104385516966286
288,Reward,0.0,0.3,0.1,0.2048,0.4037169180006008,133827_fnca,0.4583333333333333,-0.6279977925843474,0.32754522332541375,-1.1161291469500791
146,Punishment,0.0,0.35,0.1,0.2016,0.4013555892811735,133827_fnca,0.625,-1.0549248878240565,0.22869368459923287,-1.4753717926799716
289,Reward,0.0,0.35,0.1,0.1904,0.3927737987768588,133827_fnca,0.4583333333333333,-0.6821568398088351,0.3161281814152933,-1.1516075102536611
147,Punishment,0.0,0.4,0.1,0.1808,0.3850064206674533,133827_fnca,0.625,-1.1537469926603505,0.20504935048526277,-1.584504594741074
290,Reward,0.0,0.4,0.1,0.1592,0.3660089206891265,133827_fnca,0.4583333333333333,-0.8172842693837108,0.2856707595442348,-1.2529153216957056
148,Punishment,0.0,0.45,0.1,0.2,0.4001600960640449,133827_fnca,0.625,-1.0620749149659827,0.22696939469907315,-1.4829400957046723
291,Reward,0.0,0.45,0.1,0.1768,0.3816520491616723,133827_fnca,0.4583333333333333,-0.7376701735304255,0.30391197492812516,-1.1910171756628767
149,Punishment,0.0,0.5,0.1,0.1672,0.3733036893945904,133827_fnca,0.625,-1.2263473761602584,0.18807725368305206,-1.6709024767122478
292,Reward,0.0,0.5,0.1,0.1704,0.3761343132676062,133827_fnca,0.4583333333333333,-0.7655066905009513,0.2976197006464249,-1.2119387798055323
150,Punishment,0.0,0.55,0.1,0.1328,0.3394942784379049,133827_fnca,0.625,-1.4498035202971047,0.13947029256288884,-1.9699036569376114
293,Reward,0.0,0.55,0.1,0.1344,0.3412180883644094,133827_fnca,0.4583333333333333,-0.9493439661597993,0.25421738888646955,-1.3695655162466818
151,Punishment,0.0,0.6,0.1,0.1664,0.3725883756615903,133827_fnca,0.625,-1.230848920570005,0.18703994677207697,-1.676433065838846
294,Reward,0.0,0.6,0.1,0.176,0.3809725870580087,133827_fnca,0.4583333333333333,-0.7410856920535963,0.3031454563540802,-1.1935425346879516
152,Punishment,0.0,0.65,0.1,0.1736,0.3789167485370073,133827_fnca,0.625,-1.1912907036779177,0.19621872392809608,-1.6285253035393867
295,Reward,0.0,0.65,0.1,0.1656,0.3718699635838484,133827_fnca,0.4583333333333333,-0.7871927340195854,0.2926509334945916,-1.2287747334512875
153,Punishment,0.0,0.7,0.1,0.176,0.3809725870580086,133827_fnca,0.625,-1.1785624878349403,0.19920052424750587,-1.6134433020705146
296,Reward,0.0,0.7,0.1,0.1624,0.3689649686874008,133827_fnca,0.4583333333333333,-0.8020634977518901,0.28921310923564186,-1.2405914604176707
154,Punishment,0.0,0.75,0.1,0.1976,0.3983480700944316,133827_fnca,0.625,-1.0729310170843338,0.2243542469059757,-1.4945290169154841
