,HCPID,ans,bll,lf,LL
20,137633_fnca,0.05,0.55,0.1,-1.867728096238036
19,137633_fnca,0.05,0.5,0.1,-1.8714656589207177
40,137633_fnca,0.15,0.25,0.1,-1.8717420196602768
43,137633_fnca,0.15,0.4,0.1,-1.8718549600590744
11,137633_fnca,0.0,0.75,0.1,-1.8733865853693468
10,137633_fnca,0.0,0.7,0.1,-1.8742836395256128
1,137633_fnca,0.0,0.25,0.1,-1.8743288274554823
31,137633_fnca,0.1,0.45,0.1,-1.875209804362696
47,137633_fnca,0.15,0.6,0.1,-1.8754803472554489
38,137633_fnca,0.1,0.8,0.1,-1.8768332477662972
22,137633_fnca,0.05,0.65,0.1,-1.8770081456378196
4,137633_fnca,0.0,0.4,0.1,-1.8775732659417663
14,137633_fnca,0.05,0.25,0.1,-1.8777026001560835
64,137633_fnca,0.2,0.8,0.1,-1.877810486256041
32,137633_fnca,0.1,0.5,0.1,-1.8784787196385284
23,137633_fnca,0.05,0.7,0.1,-1.8788095853915427
30,137633_fnca,0.1,0.4,0.1,-1.8796565640401206
36,137633_fnca,0.1,0.7,0.1,-1.880264567442586
42,137633_fnca,0.15,0.35,0.1,-1.8808190569514656
0,137633_fnca,0.0,0.2,0.1,-1.8826748928630765
29,137633_fnca,0.1,0.35,0.1,-1.8830232576677184
17,137633_fnca,0.05,0.4,0.1,-1.8835864236696458
34,137633_fnca,0.1,0.6,0.1,-1.8837013475804225
9,137633_fnca,0.0,0.65,0.1,-1.8843434019778411
15,137633_fnca,0.05,0.3,0.1,-1.8844257353695602
58,137633_fnca,0.2,0.5,0.1,-1.884960199674162
35,137633_fnca,0.1,0.65,0.1,-1.8850185423216528
39,137633_fnca,0.15,0.2,0.1,-1.885929454467904
46,137633_fnca,0.15,0.55,0.1,-1.8863021133159537
6,137633_fnca,0.0,0.5,0.1,-1.887382027907925
8,137633_fnca,0.0,0.6,0.1,-1.8888975995944501
3,137633_fnca,0.0,0.35,0.1,-1.889480997738798
33,137633_fnca,0.1,0.55,0.1,-1.8902611707887835
69,137633_fnca,0.25,0.4,0.1,-1.8906814804397947
51,137633_fnca,0.15,0.8,0.1,-1.8914426271219895
37,137633_fnca,0.1,0.75,0.1,-1.8932671945716193
24,137633_fnca,0.05,0.75,0.1,-1.8946866027453073
48,137633_fnca,0.15,0.65,0.1,-1.8951912778569229
55,137633_fnca,0.2,0.35,0.1,-1.895607804361
16,137633_fnca,0.05,0.35,0.1,-1.8990177054558783
61,137633_fnca,0.2,0.65,0.1,-1.900557536691016
5,137633_fnca,0.0,0.45,0.1,-1.901405717540238
52,137633_fnca,0.2,0.2,0.1,-1.9050028713125755
72,137633_fnca,0.25,0.55,0.1,-1.9052567650336711
57,137633_fnca,0.2,0.45,0.1,-1.9064060458985579
25,137633_fnca,0.05,0.8,0.1,-1.9084558091768187
13,137633_fnca,0.05,0.2,0.1,-1.9094066131767065
59,137633_fnca,0.2,0.55,0.1,-1.910202450710994
49,137633_fnca,0.15,0.7,0.1,-1.9106875122807394
54,137633_fnca,0.2,0.3,0.1,-1.9106961947928356
45,137633_fnca,0.15,0.5,0.1,-1.9108334870220773
53,137633_fnca,0.2,0.25,0.1,-1.912974527741625
50,137633_fnca,0.15,0.75,0.1,-1.913220206432366
27,137633_fnca,0.1,0.25,0.1,-1.9137540802518658
28,137633_fnca,0.1,0.3,0.1,-1.9141948779670566
44,137633_fnca,0.15,0.45,0.1,-1.9157022167934417
56,137633_fnca,0.2,0.4,0.1,-1.9169683932364119
41,137633_fnca,0.15,0.3,0.1,-1.918278242471895
62,137633_fnca,0.2,0.7,0.1,-1.9210944086080404
12,137633_fnca,0.0,0.8,0.1,-1.9239296939445447
18,137633_fnca,0.05,0.45,0.1,-1.9253791279390329
7,137633_fnca,0.0,0.55,0.1,-1.9255574057449152
21,137633_fnca,0.05,0.6,0.1,-1.9262558528901548
67,137633_fnca,0.25,0.3,0.1,-1.9269526343616616
70,137633_fnca,0.25,0.45,0.1,-1.9282564228731423
26,137633_fnca,0.1,0.2,0.1,-1.9294133273477674
63,137633_fnca,0.2,0.75,0.1,-1.9334864505798226
2,137633_fnca,0.0,0.3,0.1,-1.942115588033663
65,137633_fnca,0.25,0.2,0.1,-1.9425754582903803
89,137633_fnca,0.3,0.75,0.1,-1.9451841153353904
78,137633_fnca,0.3,0.2,0.1,-1.950050788953193
74,137633_fnca,0.25,0.65,0.1,-1.950225209168572
