,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std,HCPID,LL,ResponseSwitch
0,Neutral,0.45,0.15,1,0.3466666666666667,0.4767036572248991,137128_fnca,-1.8501830063566747,0.1666666666666666
1,Punishment,0.45,0.15,1,0.4296,0.4952171564330348,137128_fnca,-1.8501830063566747,0.36
2,Reward,0.45,0.15,1,0.3664,0.4820133914401364,137128_fnca,-1.8501830063566747,0.4
