,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
110,Punishment,0.0,0.05,1,0.88,0.3250915988427114,135528_fnca,0.5833333333333334,0.9125633136099665,0.263072811876786,-1.3353244338780736
220,Reward,0.0,0.05,1,0.4992,0.5001994798234924,135528_fnca,0.52,-0.04158340989746696,0.3985975079643448,-0.919803123194023
111,Punishment,0.0,0.1,1,0.6,0.4900940253900043,135528_fnca,0.5833333333333334,0.03400707987289521,0.39871166240448713,-0.9195167739454133
221,Reward,0.0,0.1,1,0.1808,0.3850064206674536,135528_fnca,0.52,-0.8810242681458591,0.2706197949813406,-1.307040413735646
112,Punishment,0.0,0.15,1,0.28,0.4491785937990611,135528_fnca,0.5833333333333334,-0.6753067432884585,0.3176014030452619,-1.1469581319701045
222,Reward,0.0,0.15,1,0.1832,0.3869852271764935,135528_fnca,0.52,-0.8703174600677835,0.2731689600777126,-1.2976647738540916
113,Punishment,0.0,0.2,1,0.2,0.4001600960640447,135528_fnca,0.5833333333333334,-0.9579499233026517,0.2521395535100167,-1.3777725609824507
223,Reward,0.0,0.2,1,0.1384,0.3454575411395503,135528_fnca,0.52,-1.1046219999749542,0.21674506871235918,-1.5290334146190065
114,Punishment,0.0,0.25,1,0.2,0.4001600960640447,135528_fnca,0.5833333333333334,-0.9579499233026517,0.2521395535100167,-1.3777725609824507
224,Reward,0.0,0.25,1,0.14,0.3471259096029773,135528_fnca,0.52,-1.0947036492741848,0.21912201174021123,-1.5181265730717812
115,Punishment,0.0,0.3,1,0.2,0.4001600960640447,135528_fnca,0.5833333333333334,-0.9579499233026517,0.2521395535100167,-1.3777725609824507
225,Reward,0.0,0.3,1,0.1408,0.347954332886112,135528_fnca,0.52,-1.0897981837292279,0.22029921823145804,-1.5127685738344345
116,Punishment,0.0,0.35,1,0.16,0.3667527860628576,135528_fnca,0.5833333333333334,-1.1542743488819154,0.20492460060053655,-1.5851131694480576
226,Reward,0.0,0.35,1,0.14,0.347125909602977,135528_fnca,0.52,-1.0947036492741855,0.21912201174021104,-1.5181265730717821
117,Punishment,0.0,0.4,1,0.16,0.3667527860628576,135528_fnca,0.5833333333333334,-1.1542743488819154,0.20492460060053655,-1.5851131694480576
227,Reward,0.0,0.4,1,0.1392,0.3462936549178301,135528_fnca,0.52,-1.09964475118771,0.21793731081600365,-1.523547822612013
118,Punishment,0.0,0.45,1,0.16,0.3667527860628576,135528_fnca,0.5833333333333334,-1.1542743488819154,0.20492460060053655,-1.5851131694480576
228,Reward,0.0,0.45,1,0.1392,0.3462936549178297,135528_fnca,0.52,-1.0996447511877114,0.2179373108160033,-1.5235478226120145
119,Punishment,0.0,0.5,1,0.16,0.3667527860628576,135528_fnca,0.5833333333333334,-1.1542743488819154,0.20492460060053655,-1.5851131694480576
229,Reward,0.0,0.5,1,0.1384,0.3454575411395504,135528_fnca,0.52,-1.1046219999749538,0.21674506871235927,-1.529033414619006
120,Punishment,0.05,0.05,1,0.7064,0.4555931211878193,135528_fnca,0.5833333333333334,0.27012406672385236,0.3846497731184204,-0.9554220389163888
230,Reward,0.05,0.05,1,0.4392,0.4964882279051121,135528_fnca,0.52,-0.16274303288303218,0.3936940553527501,-0.9321811805806565
121,Punishment,0.05,0.1,1,0.5584,0.496776478404117,135528_fnca,0.5833333333333334,-0.05019024534621914,0.3984401167973412,-0.9201980635686294
231,Reward,0.05,0.1,1,0.2472,0.431556662470107,135528_fnca,0.52,-0.6321302014863375,0.3266935089781173,-1.1187328290202514
122,Punishment,0.05,0.15,1,0.2992,0.458090861937053,135528_fnca,0.5833333333333334,-0.620255405514674,0.3291318274154268,-1.111296917239759
