,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
7745,150726_fnca,1,1,Reward,2,5,2.0,0,680,27,1,0,1,0,3.0,,1.0,,MostlyReward,MostlyReward
7746,150726_fnca,2,1,Reward,3,5,3.0,0,449,13,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
7747,150726_fnca,3,1,Punishment,4,5,2.0,0,623,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
7748,150726_fnca,4,1,Reward,5,5,3.0,0,550,14,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyReward,MostlyReward
7749,150726_fnca,5,1,Reward,6,5,2.0,0,483,14,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
7750,150726_fnca,6,1,Reward,7,5,3.0,0,420,14,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
7751,150726_fnca,7,1,Neutral,8,5,2.0,0,321,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
7753,150726_fnca,10,1,Reward,10,5,2.0,0,706,13,1,0,1,0,3.0,,1.0,,MostlyPunishment,MostlyPunishment
7754,150726_fnca,11,1,Punishment,11,5,3.0,0,296,14,1,1,0,0,2.0,2.0,1.0,Reward,MostlyPunishment,MostlyPunishment
7755,150726_fnca,12,1,Punishment,12,5,2.0,0,347,14,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
7756,150726_fnca,13,1,Punishment,13,5,3.0,0,281,13,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
7757,150726_fnca,14,1,Neutral,14,5,2.0,0,331,13,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
7758,150726_fnca,15,1,Punishment,15,5,3.0,0,267,13,1,1,0,0,2.0,2.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
7759,150726_fnca,16,1,Punishment,16,5,2.0,0,309,13,1,0,1,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
7761,150726_fnca,19,1,Punishment,18,5,3.0,0,1003,14,1,1,0,0,3.0,,0.0,,MostlyPunishment,MostlyPunishment
7762,150726_fnca,20,1,Punishment,19,5,3.0,0,314,13,2,2,0,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
7763,150726_fnca,21,1,Punishment,20,5,2.0,0,400,13,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
7764,150726_fnca,22,1,Neutral,21,5,3.0,0,296,13,1,1,0,0,3.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
7765,150726_fnca,23,1,Punishment,22,5,3.0,0,282,13,2,2,0,0,2.0,3.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
7766,150726_fnca,24,1,Neutral,23,5,2.0,0,317,13,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
7767,150726_fnca,25,1,Punishment,24,5,3.0,0,276,13,1,1,0,0,3.0,2.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
7769,150726_fnca,28,1,Reward,26,5,3.0,0,740,13,3,3,0,0,3.0,,0.0,,MostlyReward,MostlyReward
7770,150726_fnca,29,1,Reward,27,5,3.0,0,293,13,4,4,0,0,2.0,3.0,1.0,Reward,MostlyReward,MostlyReward
7771,150726_fnca,30,1,Punishment,28,5,2.0,0,434,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
7772,150726_fnca,31,1,Reward,29,5,3.0,0,271,13,1,1,0,0,3.0,2.0,0.0,Punishment,MostlyReward,MostlyReward
7773,150726_fnca,32,1,Punishment,30,5,3.0,0,354,13,2,2,0,0,2.0,3.0,1.0,Reward,MostlyReward,MostlyReward
7774,150726_fnca,33,1,Reward,31,5,2.0,0,301,14,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyReward,MostlyReward
7775,150726_fnca,34,1,Reward,32,5,3.0,0,300,14,1,1,0,0,3.0,2.0,0.0,Reward,MostlyReward,MostlyReward
7777,150726_fnca,1,2,Punishment,2,5,3.0,0,567,27,1,1,0,0,3.0,,0.0,,,MostlyPunishment
7778,150726_fnca,2,2,Punishment,3,5,3.0,0,279,14,2,2,0,0,2.0,3.0,1.0,Punishment,,MostlyPunishment
7779,150726_fnca,3,2,Reward,4,5,2.0,0,344,14,1,0,1,0,3.0,3.0,1.0,Punishment,,MostlyPunishment
7780,150726_fnca,4,2,Punishment,5,5,3.0,0,281,13,1,1,0,0,3.0,2.0,0.0,Reward,,MostlyPunishment
7781,150726_fnca,5,2,Reward,6,5,3.0,0,345,13,2,2,0,0,2.0,3.0,1.0,Punishment,,MostlyPunishment
7782,150726_fnca,6,2,Punishment,7,5,2.0,0,531,13,1,0,1,0,3.0,3.0,1.0,Reward,,MostlyPunishment
7783,150726_fnca,7,2,Punishment,8,5,3.0,0,327,13,1,1,0,0,3.0,2.0,0.0,Punishment,,MostlyPunishment
7785,150726_fnca,10,2,Reward,10,5,3.0,0,637,13,3,3,0,0,3.0,,0.0,,,MostlyReward
7786,150726_fnca,11,2,Neutral,11,5,3.0,0,298,14,4,4,0,0,2.0,3.0,1.0,Reward,,MostlyReward
7787,150726_fnca,12,2,Reward,12,5,2.0,0,385,13,1,0,1,0,3.0,3.0,1.0,Neutral,,MostlyReward
7788,150726_fnca,13,2,Reward,13,5,3.0,0,317,14,1,1,0,0,3.0,2.0,0.0,Reward,,MostlyReward
7789,150726_fnca,14,2,Reward,14,5,3.0,0,321,13,2,2,0,0,2.0,3.0,1.0,Reward,,MostlyReward
7790,150726_fnca,15,2,Reward,15,5,2.0,0,349,13,1,0,1,0,3.0,3.0,1.0,Reward,,MostlyReward
7791,150726_fnca,16,2,Neutral,16,5,3.0,0,346,13,1,1,0,0,3.0,2.0,0.0,Reward,,MostlyReward
7793,150726_fnca,19,2,Punishment,18,5,3.0,0,738,13,3,3,0,0,3.0,,0.0,,,MostlyPunishment
7794,150726_fnca,20,2,Punishment,19,5,3.0,0,311,13,4,4,0,0,2.0,3.0,1.0,Punishment,,MostlyPunishment
7795,150726_fnca,21,2,Reward,20,5,2.0,0,294,13,1,0,1,0,3.0,3.0,1.0,Punishment,,MostlyPunishment
7796,150726_fnca,22,2,Punishment,21,5,3.0,0,365,13,1,1,0,0,3.0,2.0,0.0,Reward,,MostlyPunishment
7797,150726_fnca,23,2,Reward,22,5,3.0,0,305,13,2,2,0,0,2.0,3.0,1.0,Punishment,,MostlyPunishment
7798,150726_fnca,24,2,Punishment,23,5,2.0,0,301,14,1,0,1,0,3.0,3.0,1.0,Reward,,MostlyPunishment
7799,150726_fnca,25,2,Punishment,24,5,3.0,0,341,13,1,1,0,0,3.0,2.0,0.0,Punishment,,MostlyPunishment
7801,150726_fnca,28,2,Reward,26,5,2.0,0,836,13,1,0,1,0,3.0,,1.0,,MostlyReward,MostlyReward
7802,150726_fnca,29,2,Reward,27,5,3.0,0,304,13,1,1,0,0,3.0,2.0,0.0,Reward,MostlyReward,MostlyReward
7803,150726_fnca,30,2,Punishment,28,5,3.0,0,501,14,2,2,0,0,2.0,3.0,1.0,Reward,MostlyReward,MostlyReward
7804,150726_fnca,31,2,Reward,29,5,2.0,0,320,13,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyReward,MostlyReward
