,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
143,Punishment,0.0,0.2,0.1,0.1112,0.3145054704655582,146331_fnca,0.64,-1.6813698000776411,0.0970585634735019,-2.332440735511236
286,Reward,0.0,0.2,0.1,0.1152,0.3193909335825983,146331_fnca,0.64,-1.6431274179054947,0.10342874174564404,-2.268872388941062
144,Punishment,0.0,0.25,0.1,0.1088,0.3115127479794735,146331_fnca,0.64,-1.7052271646841315,0.09321576914266812,-2.3728383747930137
287,Reward,0.0,0.25,0.1,0.1208,0.3260251430720214,146331_fnca,0.64,-1.592515212500972,0.11225402626997825,-2.1869908842281807
145,Punishment,0.0,0.3,0.1,0.116,0.3203530878276414,146331_fnca,0.64,-1.6356951748251174,0.10469667848998686,-2.256687885677758
288,Reward,0.0,0.3,0.1,0.1168,0.3213103675293181,146331_fnca,0.64,-1.6283321450941368,0.10596236229858928,-2.2446713205781093
146,Punishment,0.0,0.35,0.1,0.232,0.4222779356347418,146331_fnca,0.64,-0.9661882982039304,0.25014902292855246,-1.385698446997776
289,Reward,0.0,0.35,0.1,0.2232,0.4165580109194501,146331_fnca,0.64,-1.0005809252834095,0.24183015762323556,-1.4195196272251747
147,Punishment,0.0,0.4,0.1,0.2344,0.4237927798537925,146331_fnca,0.64,-0.9570715200479136,0.25235171238926246,-1.3769314804480846
290,Reward,0.0,0.4,0.1,0.228,0.4197105258871076,146331_fnca,0.64,-0.9816289432560442,0.24641548007322808,-1.4007362243236616
148,Punishment,0.0,0.45,0.1,0.1248,0.3306242730471288,146331_fnca,0.64,-1.5582642957571382,0.11847748447145064,-2.1330323409204177
291,Reward,0.0,0.45,0.1,0.1352,0.3420739271814289,146331_fnca,0.64,-1.4757044015583933,0.13428508034843367,-2.0077902735940802
