,HCPID,ans,bll,lf,LL
134,127933_fnca,0.5,0.4,0.1,-1.887384786911937
124,127933_fnca,0.45,0.55,0.1,-1.896947193127816
138,127933_fnca,0.5,0.6,0.1,-1.8976883246751848
123,127933_fnca,0.45,0.5,0.1,-1.8984972979619483
130,127933_fnca,0.5,0.2,0.1,-1.898626389360854
141,127933_fnca,0.5,0.75,0.1,-1.9026417863170282
142,127933_fnca,0.5,0.8,0.1,-1.9026531803483289
131,127933_fnca,0.5,0.25,0.1,-1.9044606062349214
120,127933_fnca,0.45,0.35,0.1,-1.9052561136533033
135,127933_fnca,0.5,0.45,0.1,-1.9077857216397451
140,127933_fnca,0.5,0.7,0.1,-1.909927583605385
129,127933_fnca,0.45,0.8,0.1,-1.9105808383377552
139,127933_fnca,0.5,0.65,0.1,-1.9109209067035162
105,127933_fnca,0.4,0.25,0.1,-1.9117889658186082
117,127933_fnca,0.45,0.2,0.1,-1.9118285385559797
106,127933_fnca,0.4,0.3,0.1,-1.9121304707645868
127,127933_fnca,0.45,0.7,0.1,-1.9129075548353915
116,127933_fnca,0.4,0.8,0.1,-1.9130299923007845
136,127933_fnca,0.5,0.5,0.1,-1.9133467646706295
125,127933_fnca,0.45,0.6,0.1,-1.9133661940710565
128,127933_fnca,0.45,0.75,0.1,-1.9151541792737543
119,127933_fnca,0.45,0.3,0.1,-1.9153228833932925
126,127933_fnca,0.45,0.65,0.1,-1.9154796595884673
107,127933_fnca,0.4,0.35,0.1,-1.9160314747409832
137,127933_fnca,0.5,0.55,0.1,-1.9162158139103473
133,127933_fnca,0.5,0.35,0.1,-1.9180851919039381
111,127933_fnca,0.4,0.55,0.1,-1.918422264349158
122,127933_fnca,0.45,0.45,0.1,-1.9212624431836267
96,127933_fnca,0.35,0.45,0.1,-1.9230107796250735
108,127933_fnca,0.4,0.4,0.1,-1.9262997326650861
114,127933_fnca,0.4,0.7,0.1,-1.9269861171047795
113,127933_fnca,0.4,0.65,0.1,-1.9273928891720913
118,127933_fnca,0.45,0.25,0.1,-1.928602526776511
109,127933_fnca,0.4,0.45,0.1,-1.928958503402824
103,127933_fnca,0.35,0.8,0.1,-1.9292454602679376
121,127933_fnca,0.45,0.4,0.1,-1.9306813797970894
110,127933_fnca,0.4,0.5,0.1,-1.935630438310551
132,127933_fnca,0.5,0.3,0.1,-1.9407670900437675
100,127933_fnca,0.35,0.65,0.1,-1.9410535780446956
93,127933_fnca,0.35,0.3,0.1,-1.9479469827614069
112,127933_fnca,0.4,0.6,0.1,-1.960495689806454
92,127933_fnca,0.35,0.25,0.1,-1.96389735102585
98,127933_fnca,0.35,0.55,0.1,-1.9651607843858976
90,127933_fnca,0.3,0.8,0.1,-1.9661831734117188
115,127933_fnca,0.4,0.75,0.1,-1.9664170215441008
91,127933_fnca,0.35,0.2,0.1,-1.9670490748035108
95,127933_fnca,0.35,0.4,0.1,-1.9735869149894343
89,127933_fnca,0.3,0.75,0.1,-1.97382358659043
104,127933_fnca,0.4,0.2,0.1,-1.9775530070145848
94,127933_fnca,0.35,0.35,0.1,-1.9797737000087283
97,127933_fnca,0.35,0.5,0.1,-1.9978024898778401
65,127933_fnca,0.25,0.2,0.1,-2.010596929594293
86,127933_fnca,0.3,0.6,0.1,-2.0237319268329776
64,127933_fnca,0.2,0.8,0.1,-2.0241541145037267
80,127933_fnca,0.3,0.3,0.1,-2.027268915752748
66,127933_fnca,0.25,0.25,0.1,-2.034547982716969
82,127933_fnca,0.3,0.4,0.1,-2.03564887981023
60,127933_fnca,0.2,0.6,0.1,-2.038149119900778
99,127933_fnca,0.35,0.6,0.1,-2.0409072473068206
53,127933_fnca,0.2,0.25,0.1,-2.0416154250882004
54,127933_fnca,0.2,0.3,0.1,-2.046324311278962
78,127933_fnca,0.3,0.2,0.1,-2.051640333270469
102,127933_fnca,0.35,0.75,0.1,-2.0552163526747185
101,127933_fnca,0.35,0.7,0.1,-2.0585534379875923
34,127933_fnca,0.1,0.6,0.1,-2.063925358791761
88,127933_fnca,0.3,0.7,0.1,-2.080303593303947
63,127933_fnca,0.2,0.75,0.1,-2.0816475033059785
83,127933_fnca,0.3,0.45,0.1,-2.1011391909612867
87,127933_fnca,0.3,0.65,0.1,-2.10831283814884
62,127933_fnca,0.2,0.7,0.1,-2.114420201251682
74,127933_fnca,0.25,0.65,0.1,-2.1203058678412736
51,127933_fnca,0.15,0.8,0.1,-2.1302159998127843
79,127933_fnca,0.3,0.25,0.1,-2.1306984345961837
77,127933_fnca,0.25,0.8,0.1,-2.1366087507177016
67,127933_fnca,0.25,0.3,0.1,-2.1406319220625383
85,127933_fnca,0.3,0.55,0.1,-2.1421800278519942
58,127933_fnca,0.2,0.5,0.1,-2.145040887188588
