,HCPID,egs,alpha,r,LL
100,127630_fnca,0.5,0.05,1,-1.8630798355996085
101,127630_fnca,0.5,0.1,1,-1.867693653937132
90,127630_fnca,0.45,0.05,1,-1.875380374155733
60,127630_fnca,0.3,0.05,1,-1.8776334042741436
91,127630_fnca,0.45,0.1,1,-1.88453804486269
71,127630_fnca,0.35,0.1,1,-1.8854864334472559
70,127630_fnca,0.35,0.05,1,-1.8878281504303958
81,127630_fnca,0.4,0.1,1,-1.8934557350213082
102,127630_fnca,0.5,0.15,1,-1.8950154644285142
80,127630_fnca,0.4,0.05,1,-1.8981998307826724
50,127630_fnca,0.25,0.05,1,-1.900455931317374
61,127630_fnca,0.3,0.1,1,-1.9122750932160981
40,127630_fnca,0.2,0.05,1,-1.914879726268658
92,127630_fnca,0.45,0.15,1,-1.9216768317684503
30,127630_fnca,0.15,0.05,1,-1.9285545110103135
82,127630_fnca,0.4,0.15,1,-1.9301429783288788
72,127630_fnca,0.35,0.15,1,-1.9357994242017973
41,127630_fnca,0.2,0.1,1,-1.9364752866400612
51,127630_fnca,0.25,0.1,1,-1.9465027434422661
31,127630_fnca,0.15,0.1,1,-1.9737119111757235
42,127630_fnca,0.2,0.15,1,-1.9932589515579817
20,127630_fnca,0.1,0.05,1,-1.9938095231953283
62,127630_fnca,0.3,0.15,1,-1.999879042606767
52,127630_fnca,0.25,0.15,1,-2.0130684663063825
93,127630_fnca,0.45,0.2,1,-2.0284089803927183
21,127630_fnca,0.1,0.1,1,-2.0302693304892565
103,127630_fnca,0.5,0.2,1,-2.0333823560081834
83,127630_fnca,0.4,0.2,1,-2.040005490020503
10,127630_fnca,0.05,0.05,1,-2.113967840621258
32,127630_fnca,0.15,0.15,1,-2.1193968998505106
11,127630_fnca,0.05,0.1,1,-2.1335913110189217
73,127630_fnca,0.35,0.2,1,-2.1750318686155734
63,127630_fnca,0.3,0.2,1,-2.2752872461689586
2,127630_fnca,0.0,0.15,1,-2.3113226852862816
22,127630_fnca,0.1,0.15,1,-2.328897856885581
12,127630_fnca,0.05,0.15,1,-2.3482072463189727
53,127630_fnca,0.25,0.2,1,-2.3646663584906866
84,127630_fnca,0.4,0.25,1,-2.366222779113895
1,127630_fnca,0.0,0.1,1,-2.37128607833096
94,127630_fnca,0.45,0.25,1,-2.3802805840381227
104,127630_fnca,0.5,0.25,1,-2.4111852277876
105,127630_fnca,0.5,0.3,1,-2.429225321328751
74,127630_fnca,0.35,0.25,1,-2.4578895385484794
43,127630_fnca,0.2,0.2,1,-2.4755169276338993
33,127630_fnca,0.15,0.2,1,-2.5705953079185373
107,127630_fnca,0.5,0.4,1,-2.5871759690262612
13,127630_fnca,0.05,0.2,1,-2.605787160513093
106,127630_fnca,0.5,0.35,1,-2.6121093905956214
3,127630_fnca,0.0,0.2,1,-2.615781363931622
24,127630_fnca,0.1,0.25,1,-2.636117286096458
14,127630_fnca,0.05,0.25,1,-2.653151705351799
64,127630_fnca,0.3,0.25,1,-2.6550869021631716
23,127630_fnca,0.1,0.2,1,-2.6618815005889545
4,127630_fnca,0.0,0.25,1,-2.664453452486268
5,127630_fnca,0.0,0.3,1,-2.664453452486268
95,127630_fnca,0.45,0.3,1,-2.6881836865416906
6,127630_fnca,0.0,0.35,1,-2.6889163291258384
17,127630_fnca,0.05,0.4,1,-2.689932962506872
7,127630_fnca,0.0,0.4,1,-2.6946179964160644
34,127630_fnca,0.15,0.25,1,-2.6990349825593456
85,127630_fnca,0.4,0.3,1,-2.6994661613355655
96,127630_fnca,0.45,0.35,1,-2.7084142762035337
9,127630_fnca,0.0,0.5,1,-2.71212535428728
8,127630_fnca,0.0,0.45,1,-2.7180991209510488
44,127630_fnca,0.2,0.25,1,-2.719143809121441
16,127630_fnca,0.05,0.35,1,-2.7485160141547325
25,127630_fnca,0.1,0.3,1,-2.757790235215473
108,127630_fnca,0.5,0.45,1,-2.769529625697156
18,127630_fnca,0.05,0.45,1,-2.771164880077432
15,127630_fnca,0.05,0.3,1,-2.775546981893547
55,127630_fnca,0.25,0.3,1,-2.779265699538074
54,127630_fnca,0.25,0.25,1,-2.7796299277883625
56,127630_fnca,0.25,0.35,1,-2.781548147798934
26,127630_fnca,0.1,0.35,1,-2.802568907862627
35,127630_fnca,0.15,0.3,1,-2.810979610015508
45,127630_fnca,0.2,0.3,1,-2.8175577375891656
27,127630_fnca,0.1,0.4,1,-2.8217908778606393
86,127630_fnca,0.4,0.35,1,-2.8337288269368965
65,127630_fnca,0.3,0.3,1,-2.834083565128264
109,127630_fnca,0.5,0.5,1,-2.8473381362537022
37,127630_fnca,0.15,0.4,1,-2.857708342970821
46,127630_fnca,0.2,0.35,1,-2.857708342970821
98,127630_fnca,0.45,0.45,1,-2.8629739661733025
36,127630_fnca,0.15,0.35,1,-2.8629757660592388
57,127630_fnca,0.25,0.4,1,-2.8634016137380867
75,127630_fnca,0.35,0.3,1,-2.8801538088565617
28,127630_fnca,0.1,0.45,1,-2.884066654879712
88,127630_fnca,0.4,0.45,1,-2.889880663419851
87,127630_fnca,0.4,0.4,1,-2.8937161274619543
77,127630_fnca,0.35,0.4,1,-2.8970105560334733
76,127630_fnca,0.35,0.35,1,-2.900347922032085
19,127630_fnca,0.05,0.5,1,-2.912016093676387
66,127630_fnca,0.3,0.35,1,-2.9286907284559556
97,127630_fnca,0.45,0.4,1,-2.92972335822951
78,127630_fnca,0.35,0.45,1,-2.944050941646048
29,127630_fnca,0.1,0.5,1,-2.951143062701731
47,127630_fnca,0.2,0.4,1,-2.9540044233483647
38,127630_fnca,0.15,0.45,1,-2.962301017976382
89,127630_fnca,0.4,0.5,1,-2.966083781673686
0,127630_fnca,0.0,0.05,1,-2.9712346817880864
99,127630_fnca,0.45,0.5,1,-2.9725348170295858
58,127630_fnca,0.25,0.45,1,-3.0335574553425992
48,127630_fnca,0.2,0.45,1,-3.036754247760394
79,127630_fnca,0.35,0.5,1,-3.0473216417346176
67,127630_fnca,0.3,0.4,1,-3.04803605365191
39,127630_fnca,0.15,0.5,1,-3.054049032801287
68,127630_fnca,0.3,0.45,1,-3.0716839276711148
69,127630_fnca,0.3,0.5,1,-3.1057704009882965
49,127630_fnca,0.2,0.5,1,-3.149230195965962
59,127630_fnca,0.25,0.5,1,-3.2689421850355913
