,HCPID,egs,alpha,r,LL
100,135225_fnca,0.5,0.05,1,-1.8671313283910922
80,135225_fnca,0.4,0.05,1,-1.8674755604140931
101,135225_fnca,0.5,0.1,1,-1.8746554649998979
90,135225_fnca,0.45,0.05,1,-1.8841683229086055
70,135225_fnca,0.35,0.05,1,-1.8906339360963142
60,135225_fnca,0.3,0.05,1,-1.8981371556563489
91,135225_fnca,0.45,0.1,1,-1.8994635028083104
81,135225_fnca,0.4,0.1,1,-1.904889377507239
71,135225_fnca,0.35,0.1,1,-1.9104252845282206
61,135225_fnca,0.3,0.1,1,-1.914026890125663
50,135225_fnca,0.25,0.05,1,-1.9143939039038216
40,135225_fnca,0.2,0.05,1,-1.914514686902034
102,135225_fnca,0.5,0.15,1,-1.916128623389599
51,135225_fnca,0.25,0.1,1,-1.9252430826076568
30,135225_fnca,0.15,0.05,1,-1.9281675649110759
92,135225_fnca,0.45,0.15,1,-1.9283686946470189
82,135225_fnca,0.4,0.15,1,-1.9394420028336268
41,135225_fnca,0.2,0.1,1,-1.950098162844979
20,135225_fnca,0.1,0.05,1,-1.9632589562069291
72,135225_fnca,0.35,0.15,1,-1.9665853522130532
62,135225_fnca,0.3,0.15,1,-1.9755747146240448
31,135225_fnca,0.15,0.1,1,-1.9855170539096134
52,135225_fnca,0.25,0.15,1,-1.9928819475981796
21,135225_fnca,0.1,0.1,1,-2.0213725739675277
103,135225_fnca,0.5,0.2,1,-2.0533045911710883
93,135225_fnca,0.45,0.2,1,-2.094378482093214
42,135225_fnca,0.2,0.15,1,-2.1043559833572716
10,135225_fnca,0.05,0.05,1,-2.1069955845791966
11,135225_fnca,0.05,0.1,1,-2.164094100671363
83,135225_fnca,0.4,0.2,1,-2.165106005066784
32,135225_fnca,0.15,0.15,1,-2.181578191509989
73,135225_fnca,0.35,0.2,1,-2.289376525770001
104,135225_fnca,0.5,0.25,1,-2.3021222590948587
22,135225_fnca,0.1,0.15,1,-2.3396307326643053
94,135225_fnca,0.45,0.25,1,-2.3502453707355953
63,135225_fnca,0.3,0.2,1,-2.367741013658758
2,135225_fnca,0.0,0.15,1,-2.377626927672532
12,135225_fnca,0.05,0.15,1,-2.4031760517424825
53,135225_fnca,0.25,0.2,1,-2.4196697684703548
1,135225_fnca,0.0,0.1,1,-2.4252078800534838
84,135225_fnca,0.4,0.25,1,-2.5198068962752327
74,135225_fnca,0.35,0.25,1,-2.5807340529943428
95,135225_fnca,0.45,0.3,1,-2.6226385690427687
107,135225_fnca,0.5,0.4,1,-2.6298326968958534
3,135225_fnca,0.0,0.2,1,-2.658283041426013
105,135225_fnca,0.5,0.3,1,-2.6777059693334175
4,135225_fnca,0.0,0.25,1,-2.6823135494733563
33,135225_fnca,0.15,0.2,1,-2.6981765316881923
106,135225_fnca,0.5,0.35,1,-2.7118674581747664
24,135225_fnca,0.1,0.25,1,-2.718137394547597
5,135225_fnca,0.0,0.3,1,-2.7205100962344484
13,135225_fnca,0.05,0.2,1,-2.7217520156840838
64,135225_fnca,0.3,0.25,1,-2.723431338718804
14,135225_fnca,0.05,0.25,1,-2.7246920665179313
23,135225_fnca,0.1,0.2,1,-2.738226750806139
43,135225_fnca,0.2,0.2,1,-2.7739085812464603
44,135225_fnca,0.2,0.25,1,-2.776092487682349
15,135225_fnca,0.05,0.3,1,-2.7785259448050406
34,135225_fnca,0.15,0.25,1,-2.778670069180907
7,135225_fnca,0.0,0.4,1,-2.7839634451468855
6,135225_fnca,0.0,0.35,1,-2.7839634451468864
54,135225_fnca,0.25,0.25,1,-2.7843829078592455
85,135225_fnca,0.4,0.3,1,-2.7952628559649586
