,HCPID,ans,bll,lf,LL
123,108525_fnca,0.45,0.5,0.1,-2.0625223600217737
126,108525_fnca,0.45,0.65,0.1,-2.0647297078707316
135,108525_fnca,0.5,0.45,0.1,-2.0692030230071516
137,108525_fnca,0.5,0.55,0.1,-2.077206721264532
128,108525_fnca,0.45,0.75,0.1,-2.0823926521373046
105,108525_fnca,0.4,0.25,0.1,-2.082392652137305
118,108525_fnca,0.45,0.25,0.1,-2.0836896529118443
125,108525_fnca,0.45,0.6,0.1,-2.0858631155978795
134,108525_fnca,0.5,0.4,0.1,-2.086006133592575
133,108525_fnca,0.5,0.35,0.1,-2.086342307949595
140,108525_fnca,0.5,0.7,0.1,-2.09087064995316
114,108525_fnca,0.4,0.7,0.1,-2.092658847763644
110,108525_fnca,0.4,0.5,0.1,-2.093606738289629
130,108525_fnca,0.5,0.2,0.1,-2.0950784659132573
113,108525_fnca,0.4,0.65,0.1,-2.0966929347702257
141,108525_fnca,0.5,0.75,0.1,-2.0978852248017024
132,108525_fnca,0.5,0.3,0.1,-2.098247384705544
124,108525_fnca,0.45,0.55,0.1,-2.0989217449992514
127,108525_fnca,0.45,0.7,0.1,-2.099115721428007
142,108525_fnca,0.5,0.8,0.1,-2.1020537017428556
136,108525_fnca,0.5,0.5,0.1,-2.103443574971714
111,108525_fnca,0.4,0.55,0.1,-2.1040526836420965
112,108525_fnca,0.4,0.6,0.1,-2.1061424034215435
96,108525_fnca,0.35,0.45,0.1,-2.1100712209845005
131,108525_fnca,0.5,0.25,0.1,-2.1127172666496
139,108525_fnca,0.5,0.65,0.1,-2.1132722298314417
109,108525_fnca,0.4,0.45,0.1,-2.1144436498570407
120,108525_fnca,0.45,0.35,0.1,-2.1149329514173476
106,108525_fnca,0.4,0.3,0.1,-2.1158942061447767
117,108525_fnca,0.45,0.2,0.1,-2.1194948913538267
121,108525_fnca,0.45,0.4,0.1,-2.1195739410306045
129,108525_fnca,0.45,0.8,0.1,-2.1219324672661064
103,108525_fnca,0.35,0.8,0.1,-2.129781062167851
