,HCPID,egs,alpha,r,LL
20,115320_fnca,0.1,0.05,1,-1.8409680027196615
30,115320_fnca,0.15,0.05,1,-1.8424368122065065
40,115320_fnca,0.2,0.05,1,-1.850927919215653
50,115320_fnca,0.25,0.05,1,-1.8522080337948097
10,115320_fnca,0.05,0.05,1,-1.8550722183440769
70,115320_fnca,0.35,0.05,1,-1.8560410700561538
60,115320_fnca,0.3,0.05,1,-1.8612937967943552
100,115320_fnca,0.5,0.05,1,-1.861571224882451
90,115320_fnca,0.45,0.05,1,-1.8630251375357574
80,115320_fnca,0.4,0.05,1,-1.8668087265917728
81,115320_fnca,0.4,0.1,1,-1.8800764321358328
101,115320_fnca,0.5,0.1,1,-1.8804618468085788
91,115320_fnca,0.45,0.1,1,-1.8824865163901174
51,115320_fnca,0.25,0.1,1,-1.8849803411824326
71,115320_fnca,0.35,0.1,1,-1.8917080650171885
61,115320_fnca,0.3,0.1,1,-1.8960206548548602
41,115320_fnca,0.2,0.1,1,-1.9052140730345601
31,115320_fnca,0.15,0.1,1,-1.9228151326737706
102,115320_fnca,0.5,0.15,1,-1.9375636528524
21,115320_fnca,0.1,0.1,1,-1.9435657096525816
92,115320_fnca,0.45,0.15,1,-1.980386609388502
72,115320_fnca,0.35,0.15,1,-2.03061420769521
82,115320_fnca,0.4,0.15,1,-2.035177422519736
62,115320_fnca,0.3,0.15,1,-2.038530204399499
11,115320_fnca,0.05,0.1,1,-2.059036708674473
0,115320_fnca,0.0,0.05,1,-2.111250747307787
103,115320_fnca,0.5,0.2,1,-2.146644079235627
52,115320_fnca,0.25,0.15,1,-2.1646987103841773
42,115320_fnca,0.2,0.15,1,-2.1979855773578088
1,115320_fnca,0.0,0.1,1,-2.226155383805274
83,115320_fnca,0.4,0.2,1,-2.2770587494315966
32,115320_fnca,0.15,0.15,1,-2.285524722326204
93,115320_fnca,0.45,0.2,1,-2.288335043192662
73,115320_fnca,0.35,0.2,1,-2.3876103854296398
22,115320_fnca,0.1,0.15,1,-2.5058988691143695
2,115320_fnca,0.0,0.15,1,-2.543996145710036
104,115320_fnca,0.5,0.25,1,-2.5456497706255465
12,115320_fnca,0.05,0.15,1,-2.560670212388054
63,115320_fnca,0.3,0.2,1,-2.56953452229066
94,115320_fnca,0.45,0.25,1,-2.6989330447213336
53,115320_fnca,0.25,0.2,1,-2.7579365564804093
84,115320_fnca,0.4,0.25,1,-2.813271427119239
43,115320_fnca,0.2,0.2,1,-2.9304535283403554
74,115320_fnca,0.35,0.25,1,-2.954298807187678
105,115320_fnca,0.5,0.3,1,-2.974471518443465
64,115320_fnca,0.3,0.25,1,-3.0013556212742882
95,115320_fnca,0.45,0.3,1,-3.0192661595024877
3,115320_fnca,0.0,0.2,1,-3.0256926136171276
13,115320_fnca,0.05,0.2,1,-3.0269318893257573
5,115320_fnca,0.0,0.3,1,-3.0470023558166863
14,115320_fnca,0.05,0.25,1,-3.0470023558166868
23,115320_fnca,0.1,0.2,1,-3.0478686132186406
33,115320_fnca,0.15,0.2,1,-3.0505980911616586
4,115320_fnca,0.0,0.25,1,-3.063656655719353
24,115320_fnca,0.1,0.25,1,-3.0704928421663777
96,115320_fnca,0.45,0.35,1,-3.103852629063855
34,115320_fnca,0.15,0.25,1,-3.1694657833658266
44,115320_fnca,0.2,0.25,1,-3.1890957987367736
54,115320_fnca,0.25,0.25,1,-3.221658156447472
106,115320_fnca,0.5,0.35,1,-3.2812990107536404
6,115320_fnca,0.0,0.35,1,-3.288164249896247
7,115320_fnca,0.0,0.4,1,-3.2935222491335954
8,115320_fnca,0.0,0.45,1,-3.298943498673828
9,115320_fnca,0.0,0.5,1,-3.309980142735011
17,115320_fnca,0.05,0.4,1,-3.318336458128802
16,115320_fnca,0.05,0.35,1,-3.3477750541788067
