,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
11777,173435_fnca,1,1,Reward,2,5,2.0,0,562,26,1,0,1,0,3.0,,1.0,,MostlyReward,MostlyReward
11778,173435_fnca,2,1,Reward,3,5,3.0,0,501,13,1,1,0,0,3.0,2.0,0.0,Reward,MostlyReward,MostlyReward
11779,173435_fnca,3,1,Punishment,4,5,3.0,0,557,14,2,2,0,0,2.0,3.0,1.0,Reward,MostlyReward,MostlyReward
11780,173435_fnca,4,1,Reward,5,5,2.0,0,544,13,1,0,1,0,2.0,3.0,0.0,Punishment,MostlyReward,MostlyReward
11781,173435_fnca,5,1,Reward,6,5,2.0,0,466,13,2,0,2,0,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
11782,173435_fnca,6,1,Reward,7,5,3.0,0,422,13,1,1,0,0,3.0,2.0,0.0,Reward,MostlyReward,MostlyReward
11783,173435_fnca,7,1,Neutral,8,5,3.0,0,421,14,2,2,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
11785,173435_fnca,10,1,Reward,10,5,2.0,0,1119,14,1,0,1,0,3.0,,1.0,,MostlyPunishment,MostlyPunishment
11786,173435_fnca,11,1,Punishment,11,5,3.0,0,533,14,1,1,0,0,3.0,2.0,0.0,Reward,MostlyPunishment,MostlyPunishment
11787,173435_fnca,12,1,Punishment,12,5,3.0,0,519,13,2,2,0,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
11788,173435_fnca,13,1,Punishment,13,5,2.0,0,338,13,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
11789,173435_fnca,14,1,Neutral,14,5,3.0,0,593,13,1,1,0,0,3.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
11790,173435_fnca,15,1,Punishment,15,5,3.0,0,549,13,2,2,0,0,3.0,3.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
11791,173435_fnca,16,1,Punishment,16,5,3.0,0,766,14,3,3,0,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
11793,173435_fnca,19,1,Punishment,18,5,2.0,0,1131,13,2,0,2,0,3.0,,1.0,,MostlyPunishment,MostlyPunishment
11794,173435_fnca,20,1,Punishment,19,5,3.0,0,423,13,1,1,0,0,2.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
11795,173435_fnca,21,1,Punishment,20,5,2.0,0,375,14,1,0,1,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
11796,173435_fnca,22,1,Neutral,21,5,2.0,0,411,14,2,0,2,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
11797,173435_fnca,23,1,Punishment,22,5,2.0,0,546,13,3,0,3,0,3.0,2.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
11798,173435_fnca,24,1,Neutral,23,5,3.0,0,369,13,1,1,0,0,3.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
11799,173435_fnca,25,1,Punishment,24,5,3.0,0,614,14,2,2,0,0,2.0,3.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
11801,173435_fnca,28,1,Reward,26,5,2.0,0,707,13,2,0,2,0,2.0,,0.0,,MostlyReward,MostlyReward
11802,173435_fnca,29,1,Reward,27,5,2.0,0,594,13,3,0,3,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
11803,173435_fnca,30,1,Punishment,28,5,2.0,0,536,14,4,0,4,0,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
11804,173435_fnca,31,1,Reward,29,5,3.0,0,416,14,1,1,0,0,3.0,2.0,0.0,Punishment,MostlyReward,MostlyReward
11805,173435_fnca,32,1,Punishment,30,5,3.0,0,415,13,2,2,0,0,2.0,3.0,1.0,Reward,MostlyReward,MostlyReward
11806,173435_fnca,33,1,Reward,31,5,2.0,0,353,13,1,0,1,0,3.0,3.0,1.0,Punishment,MostlyReward,MostlyReward
11807,173435_fnca,34,1,Reward,32,5,3.0,0,777,14,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
11809,173435_fnca,1,2,Punishment,2,5,2.0,0,524,27,1,0,1,0,2.0,,0.0,,,MostlyPunishment
11810,173435_fnca,2,2,Punishment,3,5,2.0,0,510,13,2,0,2,0,3.0,2.0,1.0,Punishment,,MostlyPunishment
11811,173435_fnca,3,2,Reward,4,5,3.0,0,316,13,1,1,0,0,3.0,2.0,0.0,Punishment,,MostlyPunishment
11812,173435_fnca,4,2,Punishment,5,5,3.0,0,398,14,2,2,0,0,3.0,3.0,0.0,Reward,,MostlyPunishment
11813,173435_fnca,5,2,Reward,6,5,3.0,0,707,13,3,3,0,0,3.0,3.0,0.0,Punishment,,MostlyPunishment
11814,173435_fnca,6,2,Punishment,7,5,3.0,0,392,13,4,4,0,0,2.0,3.0,1.0,Reward,,MostlyPunishment
11815,173435_fnca,7,2,Punishment,8,5,2.0,0,321,14,1,0,1,0,2.0,3.0,0.0,Punishment,,MostlyPunishment
11817,173435_fnca,10,2,Reward,10,5,2.0,0,609,13,3,0,3,0,2.0,,0.0,,,MostlyReward
11818,173435_fnca,11,2,Neutral,11,5,2.0,0,395,13,4,0,4,0,2.0,2.0,0.0,Reward,,MostlyReward
11819,173435_fnca,12,2,Reward,12,5,2.0,0,393,13,5,0,5,0,2.0,2.0,0.0,Neutral,,MostlyReward
11820,173435_fnca,13,2,Reward,13,5,2.0,0,352,13,6,0,6,0,2.0,2.0,0.0,Reward,,MostlyReward
11821,173435_fnca,14,2,Reward,14,5,2.0,0,418,14,7,0,7,0,3.0,2.0,1.0,Reward,,MostlyReward
11822,173435_fnca,15,2,Reward,15,5,3.0,0,468,13,1,1,0,0,3.0,2.0,0.0,Reward,,MostlyReward
11823,173435_fnca,16,2,Neutral,16,5,3.0,0,413,14,2,2,0,0,3.0,3.0,0.0,Reward,,MostlyReward
11825,173435_fnca,19,2,Punishment,18,5,3.0,0,532,14,4,4,0,0,2.0,,1.0,,,MostlyPunishment
11826,173435_fnca,20,2,Punishment,19,5,2.0,0,451,13,1,0,1,0,3.0,3.0,1.0,Punishment,,MostlyPunishment
11827,173435_fnca,21,2,Reward,20,5,3.0,0,343,13,1,1,0,0,3.0,2.0,0.0,Punishment,,MostlyPunishment
11828,173435_fnca,22,2,Punishment,21,5,3.0,0,368,13,2,2,0,0,3.0,3.0,0.0,Reward,,MostlyPunishment
11829,173435_fnca,23,2,Reward,22,5,3.0,0,512,13,3,3,0,0,3.0,3.0,0.0,Punishment,,MostlyPunishment
11830,173435_fnca,24,2,Punishment,23,5,3.0,0,349,13,4,4,0,0,2.0,3.0,1.0,Reward,,MostlyPunishment
11831,173435_fnca,25,2,Punishment,24,5,2.0,0,475,14,1,0,1,0,2.0,3.0,0.0,Punishment,,MostlyPunishment
11833,173435_fnca,28,2,Reward,26,5,2.0,0,762,13,3,0,3,0,2.0,,0.0,,MostlyReward,MostlyReward
11834,173435_fnca,29,2,Reward,27,5,2.0,0,318,13,4,0,4,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
11835,173435_fnca,30,2,Punishment,28,5,2.0,0,361,13,5,0,5,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
11836,173435_fnca,31,2,Reward,29,5,2.0,0,412,14,6,0,6,0,3.0,2.0,1.0,Punishment,MostlyReward,MostlyReward
11837,173435_fnca,32,2,Punishment,30,5,3.0,0,274,14,1,1,0,0,3.0,2.0,0.0,Reward,MostlyReward,MostlyReward
11838,173435_fnca,33,2,Reward,31,5,3.0,0,294,13,2,2,0,0,3.0,3.0,0.0,Punishment,MostlyReward,MostlyReward
11839,173435_fnca,34,2,Reward,32,5,3.0,0,434,13,3,3,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
