,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
3137,120212_fnca,1,1,Reward,2,5,2.0,0,915,27,1,0,1,0,2.0,,0.0,,MostlyReward,MostlyReward
3138,120212_fnca,2,1,Reward,3,5,2.0,0,804,13,2,0,2,0,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
3139,120212_fnca,3,1,Punishment,4,5,3.0,0,749,13,1,1,0,0,3.0,2.0,0.0,Reward,MostlyReward,MostlyReward
3140,120212_fnca,4,1,Reward,5,5,3.0,0,684,14,2,2,0,0,2.0,3.0,1.0,Punishment,MostlyReward,MostlyReward
3141,120212_fnca,5,1,Reward,6,5,2.0,0,527,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
3142,120212_fnca,6,1,Reward,7,5,3.0,0,708,13,1,1,0,0,3.0,2.0,0.0,Reward,MostlyReward,MostlyReward
3143,120212_fnca,7,1,Neutral,8,5,3.0,0,1128,13,2,2,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
3145,120212_fnca,10,1,Reward,10,5,2.0,0,724,13,1,0,1,0,2.0,,0.0,,MostlyPunishment,MostlyPunishment
3146,120212_fnca,11,1,Punishment,11,5,2.0,0,585,14,2,0,2,0,2.0,2.0,0.0,Reward,MostlyPunishment,MostlyPunishment
3147,120212_fnca,12,1,Punishment,12,5,2.0,0,905,14,3,0,3,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
3148,120212_fnca,13,1,Punishment,13,5,2.0,0,572,13,4,0,4,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
3149,120212_fnca,14,1,Neutral,14,5,2.0,0,98,13,5,0,5,1,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
3150,120212_fnca,15,1,Punishment,15,5,2.0,0,437,13,6,0,6,0,2.0,2.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
3151,120212_fnca,16,1,Punishment,16,5,2.0,0,987,14,7,0,7,0,3.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
3153,120212_fnca,19,1,Punishment,18,5,2.0,0,757,13,1,0,1,0,3.0,,1.0,,MostlyPunishment,MostlyPunishment
3154,120212_fnca,20,1,Punishment,19,5,3.0,0,819,13,1,1,0,0,3.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
3155,120212_fnca,21,1,Punishment,20,5,3.0,0,854,13,2,2,0,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
3156,120212_fnca,22,1,Neutral,21,5,2.0,0,304,13,1,0,1,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
3157,120212_fnca,23,1,Punishment,22,5,2.0,0,889,13,2,0,2,0,2.0,2.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
3158,120212_fnca,24,1,Neutral,23,5,2.0,0,557,13,3,0,3,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
3159,120212_fnca,25,1,Punishment,24,5,2.0,0,844,13,4,0,4,0,3.0,2.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
