,HCPID,egs,alpha,r,LL
50,113922_fnca,0.25,0.05,1,-2.0555556265927724
90,113922_fnca,0.45,0.05,1,-2.063438807590004
30,113922_fnca,0.15,0.05,1,-2.0724159722632507
100,113922_fnca,0.5,0.05,1,-2.075243728722011
60,113922_fnca,0.3,0.05,1,-2.0893080964583803
80,113922_fnca,0.4,0.05,1,-2.090514257532009
70,113922_fnca,0.35,0.05,1,-2.091791261280071
40,113922_fnca,0.2,0.05,1,-2.094013572503948
91,113922_fnca,0.45,0.1,1,-2.138871949784465
20,113922_fnca,0.1,0.05,1,-2.1521889199607207
101,113922_fnca,0.5,0.1,1,-2.1878188791627506
81,113922_fnca,0.4,0.1,1,-2.1953467462031533
71,113922_fnca,0.35,0.1,1,-2.20456015750636
51,113922_fnca,0.25,0.1,1,-2.2294664040908723
61,113922_fnca,0.3,0.1,1,-2.2335395846460386
102,113922_fnca,0.5,0.15,1,-2.2380870161808972
41,113922_fnca,0.2,0.1,1,-2.286961475771363
10,113922_fnca,0.05,0.05,1,-2.312571326418184
92,113922_fnca,0.45,0.15,1,-2.3153265139496946
31,113922_fnca,0.15,0.1,1,-2.3426093770392367
82,113922_fnca,0.4,0.15,1,-2.396650696984501
72,113922_fnca,0.35,0.15,1,-2.461764913549609
62,113922_fnca,0.3,0.15,1,-2.4984575786930856
21,113922_fnca,0.1,0.1,1,-2.504295938760851
103,113922_fnca,0.5,0.2,1,-2.5991803308026173
93,113922_fnca,0.45,0.2,1,-2.6196465337501644
52,113922_fnca,0.25,0.15,1,-2.6526456767084863
42,113922_fnca,0.2,0.15,1,-2.6590500900654073
11,113922_fnca,0.05,0.1,1,-2.7520648345123684
0,113922_fnca,0.0,0.05,1,-2.832452521861745
83,113922_fnca,0.4,0.2,1,-2.9415705336848577
73,113922_fnca,0.35,0.2,1,-2.9720750890178707
32,113922_fnca,0.15,0.15,1,-3.0329796876370754
63,113922_fnca,0.3,0.2,1,-3.321751031063876
1,113922_fnca,0.0,0.1,1,-3.351010132686147
2,113922_fnca,0.0,0.15,1,-3.3857102612686387
53,113922_fnca,0.25,0.2,1,-3.3883780938778694
22,113922_fnca,0.1,0.15,1,-3.3984442924241938
104,113922_fnca,0.5,0.25,1,-3.4506143374303226
12,113922_fnca,0.05,0.15,1,-3.537482179922524
84,113922_fnca,0.4,0.25,1,-3.677733709633592
94,113922_fnca,0.45,0.25,1,-3.8435195651866296
43,113922_fnca,0.2,0.2,1,-3.8869128847187993
105,113922_fnca,0.5,0.3,1,-3.9396679913211
74,113922_fnca,0.35,0.25,1,-3.9811724271905713
106,113922_fnca,0.5,0.35,1,-3.99076044683658
95,113922_fnca,0.45,0.3,1,-4.039564423431958
3,113922_fnca,0.0,0.2,1,-4.059724625136371
64,113922_fnca,0.3,0.25,1,-4.063748267251364
13,113922_fnca,0.05,0.2,1,-4.0710284399749925
85,113922_fnca,0.4,0.3,1,-4.088102456049638
14,113922_fnca,0.05,0.25,1,-4.1224221558561895
4,113922_fnca,0.0,0.25,1,-4.159813818706877
8,113922_fnca,0.0,0.45,1,-4.1819059938681775
75,113922_fnca,0.35,0.3,1,-4.188752149586525
23,113922_fnca,0.1,0.2,1,-4.20828677177648
9,113922_fnca,0.0,0.5,1,-4.209384185708513
5,113922_fnca,0.0,0.3,1,-4.236449011958688
6,113922_fnca,0.0,0.35,1,-4.23748761926431
44,113922_fnca,0.2,0.25,1,-4.243065538435842
33,113922_fnca,0.15,0.2,1,-4.245134604806811
54,113922_fnca,0.25,0.25,1,-4.246918299098613
24,113922_fnca,0.1,0.25,1,-4.25185449373441
17,113922_fnca,0.05,0.4,1,-4.270020406507324
107,113922_fnca,0.5,0.4,1,-4.276808540776262
34,113922_fnca,0.15,0.25,1,-4.293998692549295
7,113922_fnca,0.0,0.4,1,-4.2956574377545
15,113922_fnca,0.05,0.3,1,-4.343158365339359
16,113922_fnca,0.05,0.35,1,-4.346972795195697
65,113922_fnca,0.3,0.3,1,-4.360747299273752
25,113922_fnca,0.1,0.3,1,-4.372587388800337
27,113922_fnca,0.1,0.4,1,-4.3791761484611555
96,113922_fnca,0.45,0.35,1,-4.389133073439347
35,113922_fnca,0.15,0.3,1,-4.402699952406942
86,113922_fnca,0.4,0.35,1,-4.411441835079078
28,113922_fnca,0.1,0.45,1,-4.432918623811354
36,113922_fnca,0.15,0.35,1,-4.462684085979673
45,113922_fnca,0.2,0.3,1,-4.4888770928154695
26,113922_fnca,0.1,0.35,1,-4.494971706844219
18,113922_fnca,0.05,0.45,1,-4.514600251366505
87,113922_fnca,0.4,0.4,1,-4.530781563688741
55,113922_fnca,0.25,0.3,1,-4.552698020527422
76,113922_fnca,0.35,0.35,1,-4.559479230085527
38,113922_fnca,0.15,0.45,1,-4.570709469122008
56,113922_fnca,0.25,0.35,1,-4.635054073650403
37,113922_fnca,0.15,0.4,1,-4.643044726134826
67,113922_fnca,0.3,0.4,1,-4.646804025194399
47,113922_fnca,0.2,0.4,1,-4.669888539841315
46,113922_fnca,0.2,0.35,1,-4.672800282752017
66,113922_fnca,0.3,0.35,1,-4.684653623243505
108,113922_fnca,0.5,0.45,1,-4.7080547573846125
19,113922_fnca,0.05,0.5,1,-4.725275414925594
98,113922_fnca,0.45,0.45,1,-4.748364634292884
58,113922_fnca,0.25,0.45,1,-4.756600899818739
77,113922_fnca,0.35,0.4,1,-4.778355737847276
88,113922_fnca,0.4,0.45,1,-4.784044801664126
57,113922_fnca,0.25,0.4,1,-4.797112843750475
97,113922_fnca,0.45,0.4,1,-4.8064339295528145
109,113922_fnca,0.5,0.5,1,-4.825619321521324
99,113922_fnca,0.45,0.5,1,-4.82765449147235
39,113922_fnca,0.15,0.5,1,-4.89980198526686
29,113922_fnca,0.1,0.5,1,-4.903604339136621
68,113922_fnca,0.3,0.45,1,-4.910962235371793
48,113922_fnca,0.2,0.45,1,-4.988679071113353
89,113922_fnca,0.4,0.5,1,-5.072607185344447
78,113922_fnca,0.35,0.45,1,-5.079695721590769
49,113922_fnca,0.2,0.5,1,-5.083789037685946
59,113922_fnca,0.25,0.5,1,-5.108349651417269
69,113922_fnca,0.3,0.5,1,-5.119895362765135
79,113922_fnca,0.35,0.5,1,-5.180438971171247
