,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std,HCPID,LL,ResponseSwitch
0,Neutral,0.45,0.3,0.1,0.4766666666666667,0.5002897711051703,165234_fnca,-1.8708383510227713,0.5
1,Punishment,0.45,0.3,0.1,0.4376,0.4962895149266207,165234_fnca,-1.8708383510227713,0.52
2,Reward,0.45,0.3,0.1,0.4232,0.4942642994979573,165234_fnca,-1.8708383510227713,0.52
