,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std,HCPID,LL,ResponseSwitch
0,Neutral,0.35,0.15,1,0.33,0.4709983703612394,151728_fnca,-1.8380951416373708,0.1666666666666666
1,Punishment,0.35,0.15,1,0.4136,0.492675576194622,151728_fnca,-1.8380951416373708,0.4166666666666667
2,Reward,0.35,0.15,1,0.324,0.4681873123949325,151728_fnca,-1.8380951416373708,0.3333333333333333
