,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std
0,Neutral,0.0,0.05,1,0.0,0.0
1,Neutral,0.0,0.1,1,0.0,0.0
2,Neutral,0.0,0.15,1,0.0,0.0
3,Neutral,0.0,0.2,1,0.0,0.0
4,Neutral,0.0,0.25,1,0.0,0.0
5,Neutral,0.0,0.3,1,0.0,0.0
6,Neutral,0.0,0.35,1,0.0,0.0
7,Neutral,0.0,0.4,1,0.0,0.0
8,Neutral,0.0,0.45,1,0.0,0.0
9,Neutral,0.0,0.5,1,0.0,0.0
10,Neutral,0.05,0.05,1,0.16666666666666666,0.3733006833947207
11,Neutral,0.05,0.1,1,0.14,0.3475667929841462
12,Neutral,0.05,0.15,1,0.006666666666666667,0.08151300584956361
13,Neutral,0.05,0.2,1,0.01,0.09966499068325334
14,Neutral,0.05,0.25,1,0.01,0.09966499068325334
15,Neutral,0.05,0.3,1,0.10666666666666667,0.3092047555018716
16,Neutral,0.05,0.35,1,0.02666666666666667,0.16137646493112862
17,Neutral,0.05,0.4,1,0.02,0.14023391829177737
18,Neutral,0.05,0.45,1,0.03666666666666667,0.18825609351281192
19,Neutral,0.05,0.5,1,0.05333333333333334,0.22507276167731266
20,Neutral,0.1,0.05,1,0.2633333333333333,0.4411776072733297
21,Neutral,0.1,0.1,1,0.15666666666666668,0.36409353546046763
22,Neutral,0.1,0.15,1,0.08666666666666667,0.2818160567729816
23,Neutral,0.1,0.2,1,0.07333333333333333,0.261118424591396
24,Neutral,0.1,0.25,1,0.06666666666666667,0.2498606077393725
25,Neutral,0.1,0.3,1,0.13666666666666666,0.34406903458087257
26,Neutral,0.1,0.35,1,0.08333333333333333,0.2768471963423703
27,Neutral,0.1,0.4,1,0.07333333333333333,0.26111842459139584
28,Neutral,0.1,0.45,1,0.06333333333333334,0.2439684903901179
29,Neutral,0.1,0.5,1,0.09333333333333334,0.29138503682901834
30,Neutral,0.15,0.05,1,0.29,0.45452021821096356
31,Neutral,0.15,0.1,1,0.25333333333333335,0.4356468556430324
32,Neutral,0.15,0.15,1,0.21666666666666667,0.4126619137653289
33,Neutral,0.15,0.2,1,0.13333333333333333,0.34050261230349943
34,Neutral,0.15,0.25,1,0.09,0.28665992577177274
35,Neutral,0.15,0.3,1,0.14333333333333334,0.3509979402633573
36,Neutral,0.15,0.35,1,0.11666666666666667,0.3215590505108515
37,Neutral,0.15,0.4,1,0.12666666666666668,0.33315491323044827
38,Neutral,0.15,0.45,1,0.10333333333333333,0.30490234560715457
39,Neutral,0.15,0.5,1,0.11666666666666667,0.32155905051085154
40,Neutral,0.2,0.05,1,0.3433333333333333,0.47561495720165836
41,Neutral,0.2,0.1,1,0.27,0.444701245022335
42,Neutral,0.2,0.15,1,0.18666666666666668,0.3902947461236546
43,Neutral,0.2,0.2,1,0.19333333333333333,0.39557192271742875
44,Neutral,0.2,0.25,1,0.14666666666666667,0.35436441131823415
45,Neutral,0.2,0.3,1,0.16666666666666666,0.37330068339472056
46,Neutral,0.2,0.35,1,0.14333333333333334,0.35099794026335707
47,Neutral,0.2,0.4,1,0.13,0.3368653453081294
48,Neutral,0.2,0.45,1,0.14666666666666667,0.3543644113182342
49,Neutral,0.2,0.5,1,0.13333333333333333,0.34050261230349943
50,Neutral,0.25,0.05,1,0.34,0.47450026519722904
51,Neutral,0.25,0.1,1,0.31,0.46326599768964744
52,Neutral,0.25,0.15,1,0.2966666666666667,0.4575515273966042
53,Neutral,0.25,0.2,1,0.18,0.38482937191039585
54,Neutral,0.25,0.25,1,0.2,0.40066833797650664
55,Neutral,0.25,0.3,1,0.21666666666666667,0.4126619137653289
