,HCPID,egs,alpha,r,LL
81,153429_fnca,0.4,0.1,1,-1.931797296713341
101,153429_fnca,0.5,0.1,1,-1.9415559986764643
80,153429_fnca,0.4,0.05,1,-1.9421950212175574
90,153429_fnca,0.45,0.05,1,-1.9519953224319735
102,153429_fnca,0.5,0.15,1,-1.956882305233815
100,153429_fnca,0.5,0.05,1,-1.969383763731002
91,153429_fnca,0.45,0.1,1,-1.9736059756921889
72,153429_fnca,0.35,0.15,1,-1.9826598987904194
92,153429_fnca,0.45,0.15,1,-1.9868997882480524
70,153429_fnca,0.35,0.05,1,-1.9886592191557833
50,153429_fnca,0.25,0.05,1,-1.9936107025098817
82,153429_fnca,0.4,0.15,1,-1.9937040947250093
71,153429_fnca,0.35,0.1,1,-1.995402000063764
40,153429_fnca,0.2,0.05,1,-1.9956381179461538
61,153429_fnca,0.3,0.1,1,-1.9962234630005358
51,153429_fnca,0.25,0.1,1,-1.9967475496837546
60,153429_fnca,0.3,0.05,1,-2.0023200726269
62,153429_fnca,0.3,0.15,1,-2.0216160260285276
103,153429_fnca,0.5,0.2,1,-2.0343341726632462
41,153429_fnca,0.2,0.1,1,-2.0384544133705935
52,153429_fnca,0.25,0.15,1,-2.068896056160045
30,153429_fnca,0.15,0.05,1,-2.071010877754842
83,153429_fnca,0.4,0.2,1,-2.0934519685132824
42,153429_fnca,0.2,0.15,1,-2.1006171020641733
31,153429_fnca,0.15,0.1,1,-2.1085978322477823
93,153429_fnca,0.45,0.2,1,-2.133759863033302
21,153429_fnca,0.1,0.1,1,-2.14068330374898
73,153429_fnca,0.35,0.2,1,-2.1470139709536187
20,153429_fnca,0.1,0.05,1,-2.156273404726985
32,153429_fnca,0.15,0.15,1,-2.157190887546584
104,153429_fnca,0.5,0.25,1,-2.2289260444771095
11,153429_fnca,0.05,0.1,1,-2.2525802435646893
63,153429_fnca,0.3,0.2,1,-2.2644403955551224
94,153429_fnca,0.45,0.25,1,-2.2682995102166754
10,153429_fnca,0.05,0.05,1,-2.2990246166414665
53,153429_fnca,0.25,0.2,1,-2.3145061112795173
2,153429_fnca,0.0,0.15,1,-2.3266456300949816
22,153429_fnca,0.1,0.15,1,-2.338871682168154
12,153429_fnca,0.05,0.15,1,-2.4052254218560156
74,153429_fnca,0.35,0.25,1,-2.423501692553982
105,153429_fnca,0.5,0.3,1,-2.4347961773770574
84,153429_fnca,0.4,0.25,1,-2.5053685045990757
95,153429_fnca,0.45,0.3,1,-2.517404866806805
1,153429_fnca,0.0,0.1,1,-2.5323700537619103
13,153429_fnca,0.05,0.2,1,-2.5613800639112894
14,153429_fnca,0.05,0.25,1,-2.566178489141861
7,153429_fnca,0.0,0.4,1,-2.5752983988091294
54,153429_fnca,0.25,0.25,1,-2.576492017520561
85,153429_fnca,0.4,0.3,1,-2.5804460554478976
75,153429_fnca,0.35,0.3,1,-2.5820092275438267
64,153429_fnca,0.3,0.25,1,-2.5839853831461586
107,153429_fnca,0.5,0.4,1,-2.58494089173298
43,153429_fnca,0.2,0.2,1,-2.5863532218050795
