,HCPID,egs,alpha,r,LL
59,157336_fnca,0.25,0.5,1,-1.966996798741645
69,157336_fnca,0.3,0.5,1,-1.9679949028251396
89,157336_fnca,0.4,0.5,1,-1.9695057273051415
49,157336_fnca,0.2,0.5,1,-1.969516851048843
48,157336_fnca,0.2,0.45,1,-1.9721642327202527
78,157336_fnca,0.35,0.45,1,-1.9736215876438656
68,157336_fnca,0.3,0.45,1,-1.9746594733817036
57,157336_fnca,0.25,0.4,1,-1.9757011539485645
38,157336_fnca,0.15,0.45,1,-1.976276266092802
39,157336_fnca,0.15,0.5,1,-1.9772452897764718
58,157336_fnca,0.25,0.45,1,-1.9777751390905243
29,157336_fnca,0.1,0.5,1,-1.978336326852653
79,157336_fnca,0.35,0.5,1,-1.9788073713485672
67,157336_fnca,0.3,0.4,1,-1.9788073713485674
99,157336_fnca,0.45,0.5,1,-1.9803828161058303
56,157336_fnca,0.25,0.35,1,-1.9809213584558454
88,157336_fnca,0.4,0.45,1,-1.9814044639356458
45,157336_fnca,0.2,0.3,1,-1.986133739372295
37,157336_fnca,0.15,0.4,1,-1.9866792527390402
46,157336_fnca,0.2,0.35,1,-1.9898379408792812
19,157336_fnca,0.05,0.5,1,-1.9908999136656678
87,157336_fnca,0.4,0.4,1,-1.9919559813611567
36,157336_fnca,0.15,0.35,1,-1.9930366505242572
26,157336_fnca,0.1,0.35,1,-1.9930366505242572
66,157336_fnca,0.3,0.35,1,-1.9930691906111946
28,157336_fnca,0.1,0.45,1,-1.9931194834450459
47,157336_fnca,0.2,0.4,1,-1.9935844203010633
76,157336_fnca,0.35,0.35,1,-1.9935962695557201
77,157336_fnca,0.35,0.4,1,-1.9936258937561475
109,157336_fnca,0.5,0.5,1,-1.9936851467164827
97,157336_fnca,0.45,0.4,1,-1.9951833358338442
27,157336_fnca,0.1,0.4,1,-1.99731312690458
35,157336_fnca,0.15,0.3,1,-2.0017645381867695
25,157336_fnca,0.1,0.3,1,-2.0021612498800443
86,157336_fnca,0.4,0.35,1,-2.002163269116738
65,157336_fnca,0.3,0.3,1,-2.0033797419469392
108,157336_fnca,0.5,0.45,1,-2.0037930621628393
96,157336_fnca,0.45,0.35,1,-2.004926700234167
18,157336_fnca,0.05,0.45,1,-2.0070955397953303
17,157336_fnca,0.05,0.4,1,-2.0071415534048294
16,157336_fnca,0.05,0.35,1,-2.0082029634349685
98,157336_fnca,0.45,0.45,1,-2.008235776602648
15,157336_fnca,0.05,0.3,1,-2.009855473360142
7,157336_fnca,0.0,0.4,1,-2.0100779370068915
106,157336_fnca,0.5,0.35,1,-2.010909330224904
55,157336_fnca,0.25,0.3,1,-2.0111778549430954
85,157336_fnca,0.4,0.3,1,-2.01164971525695
9,157336_fnca,0.0,0.5,1,-2.014369203729389
8,157336_fnca,0.0,0.45,1,-2.014369203729389
107,157336_fnca,0.5,0.4,1,-2.0153266932187206
75,157336_fnca,0.35,0.3,1,-2.015360871857562
6,157336_fnca,0.0,0.35,1,-2.017083830984334
34,157336_fnca,0.15,0.25,1,-2.018976716609231
54,157336_fnca,0.25,0.25,1,-2.022215935063257
44,157336_fnca,0.2,0.25,1,-2.0228658691055514
95,157336_fnca,0.45,0.3,1,-2.0325894692107465
43,157336_fnca,0.2,0.2,1,-2.0374161811683895
23,157336_fnca,0.1,0.2,1,-2.0398427488943605
64,157336_fnca,0.3,0.25,1,-2.0423445274249987
4,157336_fnca,0.0,0.25,1,-2.043028505592261
33,157336_fnca,0.15,0.2,1,-2.0440243262258786
24,157336_fnca,0.1,0.25,1,-2.044648202349755
5,157336_fnca,0.0,0.3,1,-2.0451901139396345
3,157336_fnca,0.0,0.2,1,-2.0451901139396345
14,157336_fnca,0.05,0.25,1,-2.0468219262224294
13,157336_fnca,0.05,0.2,1,-2.048959731645872
105,157336_fnca,0.5,0.3,1,-2.0566924641852227
84,157336_fnca,0.4,0.25,1,-2.0665890649646084
74,157336_fnca,0.35,0.25,1,-2.0704863752369635
53,157336_fnca,0.25,0.2,1,-2.1016242857519134
94,157336_fnca,0.45,0.25,1,-2.1084814800115836
104,157336_fnca,0.5,0.25,1,-2.1161295962356452
63,157336_fnca,0.3,0.2,1,-2.123640203067773
2,157336_fnca,0.0,0.15,1,-2.1394658581165045
22,157336_fnca,0.1,0.15,1,-2.1588012755076336
12,157336_fnca,0.05,0.15,1,-2.1672005917533115
83,157336_fnca,0.4,0.2,1,-2.2203766538264835
73,157336_fnca,0.35,0.2,1,-2.23440750276099
32,157336_fnca,0.15,0.15,1,-2.2397403861843213
93,157336_fnca,0.45,0.2,1,-2.2470743087910816
103,157336_fnca,0.5,0.2,1,-2.26344677822124
42,157336_fnca,0.2,0.15,1,-2.270030519270824
52,157336_fnca,0.25,0.15,1,-2.3813090130533006
62,157336_fnca,0.3,0.15,1,-2.384471501666435
72,157336_fnca,0.35,0.15,1,-2.4376156049726814
82,157336_fnca,0.4,0.15,1,-2.4887618901084245
102,157336_fnca,0.5,0.15,1,-2.5305189712828215
92,157336_fnca,0.45,0.15,1,-2.540214502033962
11,157336_fnca,0.05,0.1,1,-2.602525460196746
1,157336_fnca,0.0,0.1,1,-2.701134826723688
21,157336_fnca,0.1,0.1,1,-2.707552573601469
91,157336_fnca,0.45,0.1,1,-2.7145078141947674
81,157336_fnca,0.4,0.1,1,-2.7147876722187716
31,157336_fnca,0.15,0.1,1,-2.7177503351339625
41,157336_fnca,0.2,0.1,1,-2.7464431532711373
101,157336_fnca,0.5,0.1,1,-2.749580119310767
71,157336_fnca,0.35,0.1,1,-2.7512051373400768
51,157336_fnca,0.25,0.1,1,-2.761721607451248
61,157336_fnca,0.3,0.1,1,-2.780533074256797
60,157336_fnca,0.3,0.05,1,-2.829225090813318
80,157336_fnca,0.4,0.05,1,-2.911947418289972
90,157336_fnca,0.45,0.05,1,-2.9229816539528355
70,157336_fnca,0.35,0.05,1,-2.937612191517368
50,157336_fnca,0.25,0.05,1,-2.940235902071842
100,157336_fnca,0.5,0.05,1,-2.9596116302209463
40,157336_fnca,0.2,0.05,1,-3.0244423115025993
30,157336_fnca,0.15,0.05,1,-3.1053831903531544
20,157336_fnca,0.1,0.05,1,-3.2021057185164827
10,157336_fnca,0.05,0.05,1,-3.4567930544675276
0,157336_fnca,0.0,0.05,1,-5.999614233608495
