,HCPID,egs,alpha,r,LL
1,117324_fnca,0.0,0.1,1,-1.8709156732572758
11,117324_fnca,0.05,0.1,1,-1.9077759860818944
21,117324_fnca,0.1,0.1,1,-1.9518311760375364
31,117324_fnca,0.15,0.1,1,-1.9948675909994447
82,117324_fnca,0.4,0.15,1,-2.0116424445501133
42,117324_fnca,0.2,0.15,1,-2.0268419607332646
52,117324_fnca,0.25,0.15,1,-2.029850638576521
62,117324_fnca,0.3,0.15,1,-2.0328820880597442
41,117324_fnca,0.2,0.1,1,-2.0348981443996284
32,117324_fnca,0.15,0.15,1,-2.036343714471582
12,117324_fnca,0.05,0.15,1,-2.0392869199440615
92,117324_fnca,0.45,0.15,1,-2.059608143426782
72,117324_fnca,0.35,0.15,1,-2.0628490108056043
102,117324_fnca,0.5,0.15,1,-2.0645803085126855
103,117324_fnca,0.5,0.2,1,-2.0648686522596247
71,117324_fnca,0.35,0.1,1,-2.0649823567924086
51,117324_fnca,0.25,0.1,1,-2.066558398670799
93,117324_fnca,0.45,0.2,1,-2.070071929844392
73,117324_fnca,0.35,0.2,1,-2.076229432944314
22,117324_fnca,0.1,0.15,1,-2.082587430137971
61,117324_fnca,0.3,0.1,1,-2.0898125731651906
83,117324_fnca,0.4,0.2,1,-2.0922798362869024
81,117324_fnca,0.4,0.1,1,-2.095731220135764
2,117324_fnca,0.0,0.15,1,-2.097113030209664
91,117324_fnca,0.45,0.1,1,-2.121295162885467
40,117324_fnca,0.2,0.05,1,-2.1243915975420458
101,117324_fnca,0.5,0.1,1,-2.1348175856250338
20,117324_fnca,0.1,0.05,1,-2.1420871940081856
63,117324_fnca,0.3,0.2,1,-2.1531933913409422
50,117324_fnca,0.25,0.05,1,-2.160461612488557
10,117324_fnca,0.05,0.05,1,-2.1615145663106112
30,117324_fnca,0.15,0.05,1,-2.1656904086232682
60,117324_fnca,0.3,0.05,1,-2.1750848511207055
53,117324_fnca,0.25,0.2,1,-2.1819202844487204
104,117324_fnca,0.5,0.25,1,-2.1828017489689007
100,117324_fnca,0.5,0.05,1,-2.198401159047734
70,117324_fnca,0.35,0.05,1,-2.205600559599667
90,117324_fnca,0.45,0.05,1,-2.2181704997051406
94,117324_fnca,0.45,0.25,1,-2.230875961356511
80,117324_fnca,0.4,0.05,1,-2.234267122854272
84,117324_fnca,0.4,0.25,1,-2.247511688364205
33,117324_fnca,0.15,0.2,1,-2.2522231973300935
23,117324_fnca,0.1,0.2,1,-2.303506737928874
13,117324_fnca,0.05,0.2,1,-2.3091093770273914
3,117324_fnca,0.0,0.2,1,-2.3094156131505135
4,117324_fnca,0.0,0.25,1,-2.3103493087936164
5,117324_fnca,0.0,0.3,1,-2.3106654507061206
85,117324_fnca,0.4,0.3,1,-2.3106779003697135
74,117324_fnca,0.35,0.25,1,-2.3145512593622946
24,117324_fnca,0.1,0.25,1,-2.316362907878905
14,117324_fnca,0.05,0.25,1,-2.3243734176725193
43,117324_fnca,0.2,0.2,1,-2.3290743030657475
54,117324_fnca,0.25,0.25,1,-2.352560208350682
64,117324_fnca,0.3,0.25,1,-2.3673972103953664
105,117324_fnca,0.5,0.3,1,-2.387939294159774
44,117324_fnca,0.2,0.25,1,-2.3991279419062197
34,117324_fnca,0.15,0.25,1,-2.409175473449772
95,117324_fnca,0.45,0.3,1,-2.4270972404082363
106,117324_fnca,0.5,0.35,1,-2.5001813513919138
7,117324_fnca,0.0,0.4,1,-2.5170649730905184
6,117324_fnca,0.0,0.35,1,-2.517689917259223
8,117324_fnca,0.0,0.45,1,-2.518968872665422
9,117324_fnca,0.0,0.5,1,-2.5196225070615963
17,117324_fnca,0.05,0.4,1,-2.5602470049821493
108,117324_fnca,0.5,0.45,1,-2.5910590884841365
25,117324_fnca,0.1,0.3,1,-2.596621835844594
107,117324_fnca,0.5,0.4,1,-2.597677669736091
35,117324_fnca,0.15,0.3,1,-2.597677669736094
0,117324_fnca,0.0,0.05,1,-2.598551519612635
96,117324_fnca,0.45,0.35,1,-2.601145713980541
