,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
110,Punishment,0.0,0.05,1,0.88,0.3250915988427114,147737_fnca,0.56,0.9843379562534469,0.24576016951487412,-1.403399139265279
220,Reward,0.0,0.05,1,0.496,0.500184113420103,147737_fnca,0.4583333333333333,0.0753056037888004,0.39781269494597127,-0.9217740001856705
111,Punishment,0.0,0.1,1,0.6,0.4900940253900043,147737_fnca,0.56,0.08161699169494863,0.3976157469927859,-0.9222691998713393
221,Reward,0.0,0.1,1,0.1792,0.3836731996103968,147737_fnca,0.4583333333333333,-0.7275288803512492,0.3061782993588244,-1.1835876690772438
112,Punishment,0.0,0.15,1,0.28,0.4491785937990611,147737_fnca,0.56,-0.6233600707278079,0.3284970497428928,-1.1132274220935614
222,Reward,0.0,0.15,1,0.1776,0.3823286284652453,147737_fnca,0.4583333333333333,-0.7342723312671122,0.30467292298754,-1.1885164614368926
113,Punishment,0.0,0.2,1,0.2,0.4001600960640447,147737_fnca,0.56,-0.8996399279711861,0.266171475487513,-1.323614533204673
223,Reward,0.0,0.2,1,0.1456,0.3528459156517953,147737_fnca,0.4583333333333333,-0.886316999746578,0.2693570529227077,-1.3117174452245604
114,Punishment,0.0,0.25,1,0.2,0.4001600960640447,147737_fnca,0.56,-0.8996399279711861,0.266171475487513,-1.323614533204673
224,Reward,0.0,0.25,1,0.1376,0.3446175401792535,147737_fnca,0.4583333333333333,-0.930693583288022,0.25871355199193985,-1.3520338061914219
115,Punishment,0.0,0.3,1,0.2,0.4001600960640447,147737_fnca,0.56,-0.8996399279711861,0.266171475487513,-1.323614533204673
225,Reward,0.0,0.3,1,0.136,0.3429257623200248,147737_fnca,0.4583333333333333,-0.9399507670483087,0.25648316361794754,-1.3606922554420247
116,Punishment,0.0,0.35,1,0.16,0.3667527860628576,147737_fnca,0.56,-1.0906529280774002,0.22009402491264496,-1.5137004379665762
226,Reward,0.0,0.35,1,0.14,0.347125909602977,147737_fnca,0.4583333333333333,-0.9170543728568834,0.2619942047887347,-1.3394328945926386
117,Punishment,0.0,0.4,1,0.16,0.3667527860628576,147737_fnca,0.56,-1.0906529280774002,0.22009402491264496,-1.5137004379665762
227,Reward,0.0,0.4,1,0.14,0.3471259096029771,147737_fnca,0.4583333333333333,-0.9170543728568832,0.26199420478873475,-1.3394328945926384
118,Punishment,0.0,0.45,1,0.16,0.3667527860628576,147737_fnca,0.56,-1.0906529280774002,0.22009402491264496,-1.5137004379665762
228,Reward,0.0,0.45,1,0.1416,0.3487789520683907,147737_fnca,0.4583333333333333,-0.9081205487171322,0.26413894731456267,-1.3312799987058253
119,Punishment,0.0,0.5,1,0.16,0.3667527860628576,147737_fnca,0.56,-1.0906529280774002,0.22009402491264496,-1.5137004379665762
229,Reward,0.0,0.5,1,0.1424,0.349599794068604,147737_fnca,0.4583333333333333,-0.9036999983796783,0.2651988447727632,-1.327275376740388
120,Punishment,0.05,0.05,1,0.7288,0.4447570202319873,147737_fnca,0.56,0.37953307608714776,0.37121969897204254,-0.990961211126759
230,Reward,0.05,0.05,1,0.4456,0.49723076206586,147737_fnca,0.4583333333333333,-0.025608498718843836,0.3988114896279899,-0.9192664308079891
121,Punishment,0.05,0.1,1,0.5368,0.498843498372681,147737_fnca,0.56,-0.04650757216578477,0.3985110666631697,-0.9200200103390505
231,Reward,0.05,0.1,1,0.2448,0.4301406476740197,147737_fnca,0.4583333333333333,-0.49642677223836484,0.3526926422038154,-1.0421583033021733
122,Punishment,0.05,0.15,1,0.2968,0.4570304820131711,147737_fnca,0.56,-0.575891566008096,0.3379815127150579,-1.0847640811043011
232,Reward,0.05,0.15,1,0.1648,0.3711484351694655,147737_fnca,0.4583333333333333,-0.7908785421641524,0.2918010725014708,-1.2316829674325203
123,Punishment,0.05,0.2,1,0.2032,0.4025411674763347,147737_fnca,0.56,-0.8863689700034872,0.26934464568723404,-1.3117635086971942
233,Reward,0.05,0.2,1,0.136,0.3429257623200247,147737_fnca,0.4583333333333333,-0.9399507670483089,0.2564831636179475,-1.3606922554420249
124,Punishment,0.05,0.25,1,0.1976,0.3983480700944318,147737_fnca,0.56,-0.9097571375558317,0.26374631710519203,-1.3327675578715628
234,Reward,0.05,0.25,1,0.1392,0.3462936549178298,147737_fnca,0.4583333333333333,-0.9215685265993648,0.2609092044601193,-1.3435828078139347
125,Punishment,0.05,0.3,1,0.1504,0.3576061321014689,147737_fnca,0.56,-1.145394229100574,0.2070277362321579,-1.5749025032331219
235,Reward,0.05,0.3,1,0.1376,0.3446175401792535,147737_fnca,0.4583333333333333,-0.930693583288022,0.25871355199193985,-1.3520338061914219
126,Punishment,0.05,0.35,1,0.1512,0.3583870994475671,147737_fnca,0.56,-1.1406660580979102,0.20814963450727292,-1.5694980612529852
236,Reward,0.05,0.35,1,0.1424,0.349599794068604,147737_fnca,0.4583333333333333,-0.9036999983796783,0.2651988447727632,-1.327275376740388
127,Punishment,0.05,0.4,1,0.1552,0.3622401611465493,147737_fnca,0.56,-1.1174906689494117,0.2136681366835194,-1.5433312307991747
237,Reward,0.05,0.4,1,0.1368,0.3437736235422882,147737_fnca,0.4583333333333333,-0.9353054199452884,0.2576027401721703,-1.3563366474941887
128,Punishment,0.05,0.45,1,0.1424,0.3495997940686037,147737_fnca,0.56,-1.1945087127770229,0.19546693082499858,-1.6323640656547826
238,Reward,0.05,0.45,1,0.1392,0.3462936549178301,147737_fnca,0.4583333333333333,-0.9215685265993642,0.26090920446011945,-1.3435828078139342
129,Punishment,0.05,0.5,1,0.1336,0.3403582156669318,147737_fnca,0.56,-1.2527977300752662,0.1820107351242724,-1.7036896094455423
239,Reward,0.05,0.5,1,0.1376,0.3446175401792533,147737_fnca,0.4583333333333333,-0.9306935832880225,0.25871355199193974,-1.3520338061914223
130,Punishment,0.1,0.05,1,0.6296,0.4831051153133795,147737_fnca,0.56,0.1440680253506569,0.3948235466744051,-0.9293163311688915
240,Reward,0.1,0.05,1,0.48,0.4997997997917748,147737_fnca,0.4583333333333333,0.04335069096805035,0.3985675938598928,-0.9198781744083764
131,Punishment,0.1,0.1,1,0.5448,0.4981882307025811,147737_fnca,0.56,-0.030510556177860648,0.39875663711311954,-0.9194039802238139
241,Reward,0.1,0.1,1,0.3232,0.4678855560014779,147737_fnca,0.4583333333333333,-0.288817065626421,0.38264554744277873,-0.9606461819032008
132,Punishment,0.1,0.15,1,0.32,0.4666628540772241,147737_fnca,0.56,-0.5142899159492229,0.3495231115495049,-1.051185592028202
242,Reward,0.1,0.15,1,0.1872,0.3902281158321486,147737_fnca,0.4583333333333333,-0.694807273830463,0.31338678795242464,-1.1603171070885328
133,Punishment,0.1,0.2,1,0.2032,0.4025411674763346,147737_fnca,0.56,-0.8863689700034875,0.269344645687234,-1.3117635086971944
243,Reward,0.1,0.2,1,0.1344,0.3412180883644093,147737_fnca,0.4583333333333333,-0.9493439661597995,0.2542173888864695,-1.369565516246682
134,Punishment,0.1,0.25,1,0.1992,0.3995586035391174,147737_fnca,0.56,-0.9029964485914949,0.26536744558972736,-1.3266398262890988
244,Reward,0.1,0.25,1,0.14,0.3471259096029772,147737_fnca,0.4583333333333333,-0.917054372856883,0.2619942047887348,-1.3394328945926381
135,Punishment,0.1,0.3,1,0.1376,0.3446175401792536,147737_fnca,0.56,-1.225706618938455,0.18822506252581606,-1.670116891059442
245,Reward,0.1,0.3,1,0.1368,0.3437736235422878,147737_fnca,0.4583333333333333,-0.9353054199452895,0.25760274017217,-1.3563366474941898
136,Punishment,0.1,0.35,1,0.1248,0.3306242730471289,147737_fnca,0.56,-1.3162977902047874,0.16775369618998157,-1.785258469453676
246,Reward,0.1,0.35,1,0.1424,0.3495997940686039,147737_fnca,0.4583333333333333,-0.9036999983796785,0.2651988447727631,-1.3272753767403882
137,Punishment,0.1,0.4,1,0.1312,0.3377540854790747,147737_fnca,0.56,-1.2695627334656356,0.17820275564166665,-1.724833300307041
247,Reward,0.1,0.4,1,0.1384,0.3454575411395502,147737_fnca,0.4583333333333333,-0.9261147760097493,0.25981568001866906,-1.3477828223764667
138,Punishment,0.1,0.45,1,0.1208,0.3260251430720217,147737_fnca,0.56,-1.3471353646579862,0.16100411125783184,-1.8263253785607754
248,Reward,0.1,0.45,1,0.132,0.338626245567809,147737_fnca,0.4583333333333333,-0.963697697991888,0.2507509258654897,-1.3832951597621046
139,Punishment,0.1,0.5,1,0.12,0.3250915988427114,147737_fnca,0.56,-1.3534646898484899,0.15963395490901827,-1.834871866538007
249,Reward,0.1,0.5,1,0.1184,0.3232104763302198,147737_fnca,0.4583333333333333,-1.0517398358895644,0.22946222169019473,-1.4720168744031765
140,Punishment,0.15,0.05,1,0.5928,0.4915093337263409,147737_fnca,0.56,0.0667332189835119,0.3980549593298441,-0.9211651944626232
250,Reward,0.15,0.05,1,0.4904,0.5001079146954913,147737_fnca,0.4583333333333333,0.06411949446189355,0.39812303512500474,-0.9209941879896971
141,Punishment,0.15,0.1,1,0.5392,0.4986604955597197,147737_fnca,0.56,-0.04171174613832835,0.3985953775087675,-0.9198084680876268
251,Reward,0.15,0.1,1,0.3448,0.4754932544926946,147737_fnca,0.4583333333333333,-0.2387695982237696,0.3877308003372604,-0.9474439937226429
142,Punishment,0.15,0.15,1,0.3408,0.4741679324696533,147737_fnca,0.56,-0.46228347593714353,0.35851257628426064,-1.0257915392669363
252,Reward,0.15,0.15,1,0.2264,0.4186684447307802,147737_fnca,0.4583333333333333,-0.5539785389903825,0.3421915386923443,-1.072384644035632
143,Punishment,0.15,0.2,1,0.2016,0.4013555892811734,147737_fnca,0.56,-0.8929737359379829,0.26776659831342003,-1.3176395797421916
253,Reward,0.15,0.2,1,0.1408,0.3479543328861119,147737_fnca,0.4583333333333333,-0.9125718616565249,0.26307075974053895,-1.3353322345483005
144,Punishment,0.15,0.25,1,0.1896,0.3921413774238957,147737_fnca,0.56,-0.9445572982715524,0.25537230524120164,-1.3650327780637
254,Reward,0.15,0.25,1,0.1272,0.3333302375089759,147737_fnca,0.4583333333333333,-0.9934092262614386,0.24356547568648082,-1.4123694786153478
145,Punishment,0.15,0.3,1,0.1312,0.3377540854790752,147737_fnca,0.56,-1.2695627334656339,0.17820275564166704,-1.7248333003070389
255,Reward,0.15,0.3,1,0.1304,0.3368777661162024,147737_fnca,0.4583333333333333,-0.9734490260785456,0.2483937633831193,-1.3927400363913072
146,Punishment,0.15,0.35,1,0.1384,0.3454575411395503,147737_fnca,0.56,-1.2204104695740061,0.18944824782103534,-1.6636393903275957
256,Reward,0.15,0.35,1,0.1336,0.3403582156669316,147737_fnca,0.4583333333333333,-0.9540928303934685,0.2530710251817493,-1.3740850977087826
147,Punishment,0.15,0.4,1,0.1144,0.318423860607215,147737_fnca,0.56,-1.3993926182236087,0.14985481056872163,-1.898088383174036
257,Reward,0.15,0.4,1,0.1344,0.3412180883644093,147737_fnca,0.4583333333333333,-0.9493439661597995,0.2542173888864695,-1.369565516246682
148,Punishment,0.15,0.45,1,0.1144,0.3184238606072151,147737_fnca,0.56,-1.3993926182236083,0.14985481056872174,-1.8980883831740354
258,Reward,0.15,0.45,1,0.1304,0.3368777661162025,147737_fnca,0.4583333333333333,-0.9734490260785453,0.24839376338311936,-1.392740036391307
149,Punishment,0.15,0.5,1,0.1176,0.322262816127034,147737_fnca,0.56,-1.3727925713452735,0.15548309685397024,-1.8612182551750567
259,Reward,0.15,0.5,1,0.1256,0.3315306472349801,147737_fnca,0.4583333333333333,-1.003627676983663,0.24109293673817636,-1.4225727902084844
150,Punishment,0.2,0.05,1,0.56,0.4965856198303144,147737_fnca,0.56,0.0,0.3989422804014327,-0.9189385332046727
260,Reward,0.2,0.05,1,0.4912,0.5001226430851751,147737_fnca,0.4583333333333333,0.06571721380963197,0.3980817434235425,-0.9210979093001231
151,Punishment,0.2,0.1,1,0.5464,0.4980416412119621,147737_fnca,0.56,-0.02730695362521307,0.39879356853711734,-0.9193113680628174
261,Reward,0.2,0.1,1,0.3744,0.4841613054920734,147737_fnca,0.4583333333333333,-0.17335820186627335,0.39299237620055033,-0.9339650662818264
152,Punishment,0.2,0.15,1,0.3376,0.4730806318455467,147737_fnca,0.56,-0.47011013562823284,0.35720683221720995,-1.0294403030148704
262,Reward,0.2,0.15,1,0.2432,0.4291865805179807,147737_fnca,0.4583333333333333,-0.5012582944082064,0.35184361697407757,-1.0445684720611847
153,Punishment,0.2,0.2,1,0.2144,0.4105697187996165,147737_fnca,0.56,-0.8417571588339038,0.2799298926858769,-1.2732160904287357
263,Reward,0.2,0.2,1,0.1464,0.3536482626494014,147737_fnca,0.4583333333333333,-0.8820440145709882,0.27037663298448983,-1.3079393550249254
154,Punishment,0.2,0.25,1,0.192,0.3940307198259205,147737_fnca,0.56,-0.9339373340296396,0.2579323326137731,-1.3550580051518681
264,Reward,0.2,0.25,1,0.1304,0.3368777661162026,147737_fnca,0.4583333333333333,-0.973449026078545,0.24839376338311944,-1.3927400363913065
155,Punishment,0.2,0.3,1,0.1504,0.3576061321014688,147737_fnca,0.56,-1.1453942291005745,0.20702773623215776,-1.5749025032331225
