,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std,HCPID,LL,ResponseSwitch
0,Neutral,0.35,0.15,1,0.32,0.4672555609057255,130922_fnca,-1.8393043456616094,0.6666666666666666
1,Punishment,0.35,0.15,1,0.408,0.4916598249875671,130922_fnca,-1.8393043456616094,0.4
2,Reward,0.35,0.15,1,0.324,0.4681873123949324,130922_fnca,-1.8393043456616094,0.3478260869565217
