,HCPID,ans,bll,lf,LL
95,169141_fnca,0.35,0.4,0.1,-2.0998735761211353
129,169141_fnca,0.45,0.8,0.1,-2.1406093435163074
116,169141_fnca,0.4,0.8,0.1,-2.1407355161688537
109,169141_fnca,0.4,0.45,0.1,-2.1420984086528327
131,169141_fnca,0.5,0.25,0.1,-2.142822103460004
104,169141_fnca,0.4,0.2,0.1,-2.1464394684399832
114,169141_fnca,0.4,0.7,0.1,-2.150958772623934
115,169141_fnca,0.4,0.75,0.1,-2.151302491583424
127,169141_fnca,0.45,0.7,0.1,-2.1518743994630674
100,169141_fnca,0.35,0.65,0.1,-2.1521649993645564
93,169141_fnca,0.35,0.3,0.1,-2.1543153811637774
96,169141_fnca,0.35,0.45,0.1,-2.1551081868116118
117,169141_fnca,0.45,0.2,0.1,-2.1552839021770964
121,169141_fnca,0.45,0.4,0.1,-2.155792103715225
134,169141_fnca,0.5,0.4,0.1,-2.157406724143848
120,169141_fnca,0.45,0.35,0.1,-2.1586201793996063
123,169141_fnca,0.45,0.5,0.1,-2.1595834373085205
78,169141_fnca,0.3,0.2,0.1,-2.16338979049819
125,169141_fnca,0.45,0.6,0.1,-2.164767858262895
124,169141_fnca,0.45,0.55,0.1,-2.165982712820922
106,169141_fnca,0.4,0.3,0.1,-2.16647964932392
107,169141_fnca,0.4,0.35,0.1,-2.1687416781779687
105,169141_fnca,0.4,0.25,0.1,-2.1705799529034087
98,169141_fnca,0.35,0.55,0.1,-2.1717645350490313
111,169141_fnca,0.4,0.55,0.1,-2.172463689425996
140,169141_fnca,0.5,0.7,0.1,-2.1727596357477905
133,169141_fnca,0.5,0.35,0.1,-2.1762715605680416
85,169141_fnca,0.3,0.55,0.1,-2.1772915025451365
126,169141_fnca,0.45,0.65,0.1,-2.177922569778741
112,169141_fnca,0.4,0.6,0.1,-2.1792967012107027
137,169141_fnca,0.5,0.55,0.1,-2.180274847920023
122,169141_fnca,0.45,0.45,0.1,-2.1804091691699545
82,169141_fnca,0.3,0.4,0.1,-2.1808522205274183
110,169141_fnca,0.4,0.5,0.1,-2.1818967290962323
97,169141_fnca,0.35,0.5,0.1,-2.1842831244472327
103,169141_fnca,0.35,0.8,0.1,-2.184683020088443
141,169141_fnca,0.5,0.75,0.1,-2.1868635792070332
79,169141_fnca,0.3,0.25,0.1,-2.1896417166193762
88,169141_fnca,0.3,0.7,0.1,-2.1914432970048257
132,169141_fnca,0.5,0.3,0.1,-2.1914647823071776
118,169141_fnca,0.45,0.25,0.1,-2.191682058676747
80,169141_fnca,0.3,0.3,0.1,-2.193006973277107
138,169141_fnca,0.5,0.6,0.1,-2.1932267845704665
75,169141_fnca,0.25,0.7,0.1,-2.193499866823452
119,169141_fnca,0.45,0.3,0.1,-2.1949059105045987
101,169141_fnca,0.35,0.7,0.1,-2.1959821602487204
