,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
143,Punishment,0.0,0.2,0.1,0.152,0.3591645853358705,106016_fnca,0.32,-0.46775213052505127,0.3576020292687306,-1.028334561010035
286,Reward,0.0,0.2,0.1,0.1472,0.3544469863504366,106016_fnca,0.52,-1.0517792909978874,0.22945269982797675,-1.4720583716906819
144,Punishment,0.0,0.25,0.1,0.1544,0.3614763783952008,106016_fnca,0.32,-0.4581212214618077,0.35919995782007696,-1.023876059981502
287,Reward,0.0,0.25,0.1,0.1664,0.3725883756615906,106016_fnca,0.52,-0.9490365859432044,0.25429157076097647,-1.3692737539340392
145,Punishment,0.0,0.3,0.1,0.1208,0.3260251430720217,106016_fnca,0.32,-0.6109958211290318,0.33101338050912915,-1.1055964799232425
288,Reward,0.0,0.3,0.1,0.1456,0.3528459156517948,106016_fnca,0.52,-1.0610863932161136,0.22720770039204435,-1.4818907001388633
146,Punishment,0.0,0.35,0.1,0.1568,0.36375763317428,106016_fnca,0.32,-0.4486503790335837,0.3607456590564309,-1.0195821145081618
289,Reward,0.0,0.35,0.1,0.1608,0.3674934028263594,106016_fnca,0.52,-0.9774325123592,0.24743046367104182,-1.3966256913130815
147,Punishment,0.0,0.4,0.1,0.1336,0.3403582156669312,106016_fnca,0.32,-0.5476582947608584,0.3433848884674065,-1.0689033371148582
290,Reward,0.0,0.4,0.1,0.14,0.3471259096029768,106016_fnca,0.52,-1.0947036492741864,0.21912201174021081,-1.5181265730717832
148,Punishment,0.0,0.45,0.1,0.1648,0.3711484351694655,106016_fnca,0.32,-0.4181615367154547,0.3655442030239384,-1.006368068598788
291,Reward,0.0,0.45,0.1,0.1664,0.3725883756615904,106016_fnca,0.52,-0.9490365859432047,0.25429157076097636,-1.3692737539340396
149,Punishment,0.0,0.5,0.1,0.1712,0.3768343977540592,106016_fnca,0.32,-0.39486841139463674,0.3690219821981232,-0.9968990643633345
292,Reward,0.0,0.5,0.1,0.1776,0.382328628465245,106016_fnca,0.52,-0.8955646386577755,0.2671469107931899,-1.3199565442117887
150,Punishment,0.0,0.55,0.1,0.1736,0.3789167485370069,106016_fnca,0.32,-0.3863645525441899,0.37024981816961067,-0.9935773169360087
293,Reward,0.0,0.55,0.1,0.1624,0.3689649686874013,106016_fnca,0.52,-0.9691977026224675,0.2494216037509459,-1.388610626589007
151,Punishment,0.0,0.6,0.1,0.0768,0.2663804174887058,106016_fnca,0.32,-0.9129800241803113,0.2629727681080335,-1.3357047954808137
294,Reward,0.0,0.6,0.1,0.0744,0.2625257622037435,106016_fnca,0.52,-1.697357227951497,0.09447223351985212,-2.3594493128442675
152,Punishment,0.0,0.65,0.1,0.168,0.3740159225598056,106016_fnca,0.32,-0.40639981036019934,0.3673210799597587,-1.0015189361350756
295,Reward,0.0,0.65,0.1,0.1848,0.3882905814728559,106016_fnca,0.52,-0.86327100371203,0.27484253477569875,-1.2915569461296605
153,Punishment,0.0,0.7,0.1,0.1512,0.3583870994475669,106016_fnca,0.32,-0.4709990963965932,0.35705744220608265,-1.0298586076078764
