,HCPID,ans,bll,lf,LL
105,140824_fnca,0.4,0.25,0.1,-1.8537742462293743
79,140824_fnca,0.3,0.25,0.1,-1.855592835911766
80,140824_fnca,0.3,0.3,0.1,-1.856778196824591
56,140824_fnca,0.2,0.4,0.1,-1.8575120494579038
76,140824_fnca,0.25,0.75,0.1,-1.8581248260167813
95,140824_fnca,0.35,0.4,0.1,-1.8582473188293496
98,140824_fnca,0.35,0.55,0.1,-1.859564921687948
86,140824_fnca,0.3,0.6,0.1,-1.859618043051944
66,140824_fnca,0.25,0.25,0.1,-1.859936320841919
69,140824_fnca,0.25,0.4,0.1,-1.860325574829154
59,140824_fnca,0.2,0.55,0.1,-1.8609538863239008
84,140824_fnca,0.3,0.5,0.1,-1.8615527375879641
87,140824_fnca,0.3,0.65,0.1,-1.861852880905045
92,140824_fnca,0.35,0.25,0.1,-1.8620303160229335
90,140824_fnca,0.3,0.8,0.1,-1.8623396076169185
93,140824_fnca,0.35,0.3,0.1,-1.8626325066865683
97,140824_fnca,0.35,0.5,0.1,-1.8629509755014322
85,140824_fnca,0.3,0.55,0.1,-1.863166957835902
70,140824_fnca,0.25,0.45,0.1,-1.863273223241934
82,140824_fnca,0.3,0.4,0.1,-1.8633765680243333
103,140824_fnca,0.35,0.8,0.1,-1.8646300327662966
72,140824_fnca,0.25,0.55,0.1,-1.865093217436842
63,140824_fnca,0.2,0.75,0.1,-1.8651174927886864
44,140824_fnca,0.15,0.45,0.1,-1.8670509021179127
83,140824_fnca,0.3,0.45,0.1,-1.8679658181250338
81,140824_fnca,0.3,0.35,0.1,-1.8690119788572348
52,140824_fnca,0.2,0.2,0.1,-1.869221467687855
101,140824_fnca,0.35,0.7,0.1,-1.869261396307865
100,140824_fnca,0.35,0.65,0.1,-1.8696608566410438
89,140824_fnca,0.3,0.75,0.1,-1.8697433912209842
65,140824_fnca,0.25,0.2,0.1,-1.8703982164689064
88,140824_fnca,0.3,0.7,0.1,-1.8706924788898294
71,140824_fnca,0.25,0.5,0.1,-1.87104283698525
78,140824_fnca,0.3,0.2,0.1,-1.871239042735629
21,140824_fnca,0.05,0.6,0.1,-1.87391429848068
99,140824_fnca,0.35,0.6,0.1,-1.8744402138891465
94,140824_fnca,0.35,0.35,0.1,-1.8748494244599474
112,140824_fnca,0.4,0.6,0.1,-1.8754454668239144
96,140824_fnca,0.35,0.45,0.1,-1.8788579003816994
43,140824_fnca,0.15,0.4,0.1,-1.8807275608467586
110,140824_fnca,0.4,0.5,0.1,-1.8811032355108925
91,140824_fnca,0.35,0.2,0.1,-1.8812130809097471
108,140824_fnca,0.4,0.4,0.1,-1.882422009653029
111,140824_fnca,0.4,0.55,0.1,-1.8829072456051799
12,140824_fnca,0.0,0.8,0.1,-1.8843767726199157
67,140824_fnca,0.25,0.3,0.1,-1.8844965892370333
74,140824_fnca,0.25,0.65,0.1,-1.8852782702407005
104,140824_fnca,0.4,0.2,0.1,-1.8857562406387895
62,140824_fnca,0.2,0.7,0.1,-1.8858680142470714
42,140824_fnca,0.15,0.35,0.1,-1.886656313172072
68,140824_fnca,0.25,0.35,0.1,-1.8878810382690805
55,140824_fnca,0.2,0.35,0.1,-1.8897714925346616
77,140824_fnca,0.25,0.8,0.1,-1.8898359962895102
107,140824_fnca,0.4,0.35,0.1,-1.8903567724269545
113,140824_fnca,0.4,0.65,0.1,-1.8907878614430924
20,140824_fnca,0.05,0.55,0.1,-1.8927156447528835
60,140824_fnca,0.2,0.6,0.1,-1.8931978052458907
19,140824_fnca,0.05,0.5,0.1,-1.895382341517457
118,140824_fnca,0.45,0.25,0.1,-1.8956166562633403
29,140824_fnca,0.1,0.35,0.1,-1.895989901947896
115,140824_fnca,0.4,0.75,0.1,-1.8961209651052773
7,140824_fnca,0.0,0.55,0.1,-1.8975470537586778
73,140824_fnca,0.25,0.6,0.1,-1.8978592384948891
37,140824_fnca,0.1,0.75,0.1,-1.8995656035859525
33,140824_fnca,0.1,0.55,0.1,-1.9001881962744882
116,140824_fnca,0.4,0.8,0.1,-1.9003201108142798
75,140824_fnca,0.25,0.7,0.1,-1.9013561277952515
121,140824_fnca,0.45,0.4,0.1,-1.9049392625198998
31,140824_fnca,0.1,0.45,0.1,-1.9049858161637303
114,140824_fnca,0.4,0.7,0.1,-1.9049963178259022
132,140824_fnca,0.5,0.3,0.1,-1.9051625629285107
127,140824_fnca,0.45,0.7,0.1,-1.9056838736023463
48,140824_fnca,0.15,0.65,0.1,-1.9062515772679225
122,140824_fnca,0.45,0.45,0.1,-1.9083277753709993
125,140824_fnca,0.45,0.6,0.1,-1.9088255423020204
64,140824_fnca,0.2,0.8,0.1,-1.9098494518219264
53,140824_fnca,0.2,0.25,0.1,-1.910665544004012
124,140824_fnca,0.45,0.55,0.1,-1.911061951830041
129,140824_fnca,0.45,0.8,0.1,-1.9122039963419626
51,140824_fnca,0.15,0.8,0.1,-1.912377237364812
0,140824_fnca,0.0,0.2,0.1,-1.9127660524098398
106,140824_fnca,0.4,0.3,0.1,-1.9148454221348143
142,140824_fnca,0.5,0.8,0.1,-1.9155169566239953
136,140824_fnca,0.5,0.5,0.1,-1.9155320526960988
126,140824_fnca,0.45,0.65,0.1,-1.9155614807633865
11,140824_fnca,0.0,0.75,0.1,-1.9161574724156871
54,140824_fnca,0.2,0.3,0.1,-1.9182860695273782
119,140824_fnca,0.45,0.3,0.1,-1.9186885792106758
26,140824_fnca,0.1,0.2,0.1,-1.9188193601728951
30,140824_fnca,0.1,0.4,0.1,-1.9188193601728956
61,140824_fnca,0.2,0.65,0.1,-1.9190981387292432
139,140824_fnca,0.5,0.65,0.1,-1.9196792117512542
40,140824_fnca,0.15,0.25,0.1,-1.9198922259151803
