,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std,HCPID,LL,ResponseSwitch
0,Neutral,0.0,0.05,1,0.0,0.0,173334_fnca,-2.339196624975779,0.8333333333333334
1,Punishment,0.0,0.05,1,0.88,0.3250915988427114,173334_fnca,-2.339196624975779,0.875
2,Reward,0.0,0.05,1,0.4992,0.5001994798234926,173334_fnca,-2.339196624975779,1.0
