,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std,HCPID,LL,ResponseSwitch
0,Neutral,0.05,0.3,0.1,0.04,0.1962865968262874,109325_fnca,-1.8717894039526888,0.0
1,Punishment,0.05,0.3,0.1,0.0616,0.240523847834475,109325_fnca,-1.8717894039526888,0.08
2,Reward,0.05,0.3,0.1,0.0584,0.2345921285410462,109325_fnca,-1.8717894039526888,0.0
