,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std,HCPID,LL,ResponseSwitch
0,Neutral,0.25,0.05,1,0.3666666666666666,0.4826995806635823,162329_fnca,-1.9325440367167062,0.6666666666666666
1,Punishment,0.25,0.05,1,0.5736,0.4947513143898378,162329_fnca,-1.9325440367167062,0.6
2,Reward,0.25,0.05,1,0.504,0.5001841134201024,162329_fnca,-1.9325440367167062,0.72
