,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std
0,Neutral,0.0,0.05,1,0.0,0.0
1,Neutral,0.0,0.1,1,0.0,0.0
2,Neutral,0.0,0.15,1,0.0,0.0
3,Neutral,0.0,0.2,1,0.0,0.0
4,Neutral,0.0,0.25,1,0.0,0.0
5,Neutral,0.0,0.3,1,0.0,0.0
6,Neutral,0.0,0.35,1,0.0,0.0
7,Neutral,0.0,0.4,1,0.0,0.0
8,Neutral,0.0,0.45,1,0.0,0.0
9,Neutral,0.0,0.5,1,0.0,0.0
10,Neutral,0.05,0.05,1,0.21666666666666667,0.4126619137653289
11,Neutral,0.05,0.1,1,0.13,0.3368653453081294
12,Neutral,0.05,0.15,1,0.013333333333333334,0.11488931224930932
13,Neutral,0.05,0.2,1,0.006666666666666667,0.08151300584956361
14,Neutral,0.05,0.25,1,0.006666666666666667,0.0815130058495636
15,Neutral,0.05,0.3,1,0.09666666666666666,0.2959970773304743
16,Neutral,0.05,0.35,1,0.02666666666666667,0.16137646493112864
17,Neutral,0.05,0.4,1,0.016666666666666666,0.12823299585640943
18,Neutral,0.05,0.45,1,0.06666666666666667,0.24986060773937227
19,Neutral,0.05,0.5,1,0.09,0.2866599257717728
20,Neutral,0.1,0.05,1,0.27,0.4447012450223349
21,Neutral,0.1,0.1,1,0.22333333333333333,0.4171758315991674
22,Neutral,0.1,0.15,1,0.11333333333333333,0.3175294822993921
23,Neutral,0.1,0.2,1,0.04,0.19628659682628738
24,Neutral,0.1,0.25,1,0.06333333333333334,0.2439684903901177
25,Neutral,0.1,0.3,1,0.14333333333333334,0.35099794026335723
26,Neutral,0.1,0.35,1,0.10333333333333333,0.30490234560715457
27,Neutral,0.1,0.4,1,0.06666666666666667,0.24986060773937235
28,Neutral,0.1,0.45,1,0.06,0.23788364542889825
29,Neutral,0.1,0.5,1,0.08666666666666667,0.28181605677298177
30,Neutral,0.15,0.05,1,0.3233333333333333,0.4685302810952916
31,Neutral,0.15,0.1,1,0.24,0.4277967197686492
32,Neutral,0.15,0.15,1,0.18666666666666668,0.3902947461236546
33,Neutral,0.15,0.2,1,0.16666666666666666,0.37330068339472067
34,Neutral,0.15,0.25,1,0.1,0.30050125348238
35,Neutral,0.15,0.3,1,0.17,0.37626042358254347
36,Neutral,0.15,0.35,1,0.13,0.3368653453081295
37,Neutral,0.15,0.4,1,0.11666666666666667,0.3215590505108515
38,Neutral,0.15,0.45,1,0.12333333333333334,0.32936884340443323
39,Neutral,0.15,0.5,1,0.12666666666666668,0.3331549132304483
40,Neutral,0.2,0.05,1,0.39,0.48856489044334006
41,Neutral,0.2,0.1,1,0.23666666666666666,0.42574611535281887
42,Neutral,0.2,0.15,1,0.19666666666666666,0.39814228589993755
43,Neutral,0.2,0.2,1,0.2,0.40066833797650653
44,Neutral,0.2,0.25,1,0.13666666666666666,0.3440690345808725
45,Neutral,0.2,0.3,1,0.19666666666666666,0.39814228589993766
46,Neutral,0.2,0.35,1,0.17666666666666667,0.3820235974197238
47,Neutral,0.2,0.4,1,0.13,0.3368653453081295
48,Neutral,0.2,0.45,1,0.15333333333333332,0.36091052943411106
49,Neutral,0.2,0.5,1,0.14,0.34756679298414617
50,Neutral,0.25,0.05,1,0.3933333333333333,0.4893059266502627
51,Neutral,0.25,0.1,1,0.28,0.44974909393087026
52,Neutral,0.25,0.15,1,0.27666666666666667,0.4480976760855454
53,Neutral,0.25,0.2,1,0.15333333333333332,0.3609105294341111
54,Neutral,0.25,0.25,1,0.19,0.39295637890109847
55,Neutral,0.25,0.3,1,0.20333333333333334,0.40315091187798274
