,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std
0,Neutral,0.0,0.05,1,0.0,0.0
1,Neutral,0.0,0.1,1,0.0,0.0
2,Neutral,0.0,0.15,1,0.0,0.0
3,Neutral,0.0,0.2,1,0.0,0.0
4,Neutral,0.0,0.25,1,0.0,0.0
5,Neutral,0.0,0.3,1,0.0,0.0
6,Neutral,0.0,0.35,1,0.0,0.0
7,Neutral,0.0,0.4,1,0.0,0.0
8,Neutral,0.0,0.45,1,0.0,0.0
9,Neutral,0.0,0.5,1,0.0,0.0
10,Neutral,0.05,0.05,1,0.19,0.39295637890109825
11,Neutral,0.05,0.1,1,0.10666666666666667,0.3092047555018716
12,Neutral,0.05,0.15,1,0.01,0.09966499068325334
13,Neutral,0.05,0.2,1,0.01,0.09966499068325335
14,Neutral,0.05,0.25,1,0.0033333333333333335,0.05773502691896259
15,Neutral,0.05,0.3,1,0.1,0.30050125348238005
16,Neutral,0.05,0.35,1,0.03333333333333333,0.17980541941701306
17,Neutral,0.05,0.4,1,0.01,0.09966499068325335
18,Neutral,0.05,0.45,1,0.043333333333333335,0.20394656873443762
19,Neutral,0.05,0.5,1,0.07666666666666666,0.26650636207348033
20,Neutral,0.1,0.05,1,0.26666666666666666,0.4429555141477927
21,Neutral,0.1,0.1,1,0.20333333333333334,0.4031509118779826
22,Neutral,0.1,0.15,1,0.15,0.3576680324053049
23,Neutral,0.1,0.2,1,0.043333333333333335,0.20394656873443764
24,Neutral,0.1,0.25,1,0.05,0.21830909938949905
25,Neutral,0.1,0.3,1,0.13333333333333333,0.34050261230349954
26,Neutral,0.1,0.35,1,0.09666666666666666,0.29599707733047437
27,Neutral,0.1,0.4,1,0.08333333333333333,0.2768471963423704
28,Neutral,0.1,0.45,1,0.09333333333333334,0.2913850368290183
29,Neutral,0.1,0.5,1,0.1,0.3005012534823801
30,Neutral,0.15,0.05,1,0.3466666666666667,0.47670365722489916
31,Neutral,0.15,0.1,1,0.19,0.39295637890109836
32,Neutral,0.15,0.15,1,0.18333333333333332,0.3875860748793186
33,Neutral,0.15,0.2,1,0.09666666666666666,0.29599707733047437
34,Neutral,0.15,0.25,1,0.09,0.28665992577177274
35,Neutral,0.15,0.3,1,0.15,0.3576680324053049
36,Neutral,0.15,0.35,1,0.12,0.32550449652428004
37,Neutral,0.15,0.4,1,0.12333333333333334,0.3293688434044333
38,Neutral,0.15,0.45,1,0.11,0.3134125472108031
39,Neutral,0.15,0.5,1,0.10333333333333333,0.3049023456071547
40,Neutral,0.2,0.05,1,0.37,0.4836109993188816
41,Neutral,0.2,0.1,1,0.2966666666666667,0.4575515273966041
42,Neutral,0.2,0.15,1,0.20333333333333334,0.4031509118779829
43,Neutral,0.2,0.2,1,0.19666666666666666,0.3981422858999375
44,Neutral,0.2,0.25,1,0.15666666666666668,0.36409353546046735
45,Neutral,0.2,0.3,1,0.14666666666666667,0.35436441131823415
46,Neutral,0.2,0.35,1,0.14,0.3475667929841461
47,Neutral,0.2,0.4,1,0.13333333333333333,0.34050261230349954
48,Neutral,0.2,0.45,1,0.13666666666666666,0.3440690345808727
49,Neutral,0.2,0.5,1,0.15,0.35766803240530487
50,Neutral,0.25,0.05,1,0.41,0.4926550822840807
51,Neutral,0.25,0.1,1,0.31333333333333335,0.46462365345879697
52,Neutral,0.25,0.15,1,0.24666666666666667,0.4317912704378237
53,Neutral,0.25,0.2,1,0.19333333333333333,0.39557192271742875
54,Neutral,0.25,0.25,1,0.15666666666666668,0.36409353546046735
55,Neutral,0.25,0.3,1,0.17,0.3762604235825435
56,Neutral,0.25,0.35,1,0.19666666666666666,0.3981422858999378
