,HCPID,egs,alpha,r,LL
1,108828_fnca,0.0,0.1,1,-1.8630213660959236
11,108828_fnca,0.05,0.1,1,-1.8765366609349128
21,108828_fnca,0.1,0.1,1,-1.8810176415189201
31,108828_fnca,0.15,0.1,1,-1.9116683523940767
10,108828_fnca,0.05,0.05,1,-1.9248035549496347
51,108828_fnca,0.25,0.1,1,-1.9355468561506481
41,108828_fnca,0.2,0.1,1,-1.9398866812632627
61,108828_fnca,0.3,0.1,1,-1.9466228138460182
20,108828_fnca,0.1,0.05,1,-1.9527544840702755
81,108828_fnca,0.4,0.1,1,-1.9605976357713097
91,108828_fnca,0.45,0.1,1,-1.9743380874255023
30,108828_fnca,0.15,0.05,1,-1.9820759139830602
102,108828_fnca,0.5,0.15,1,-1.985932458291044
72,108828_fnca,0.35,0.15,1,-1.9922600285036665
101,108828_fnca,0.5,0.1,1,-1.993031952406961
40,108828_fnca,0.2,0.05,1,-1.9945075284644012
92,108828_fnca,0.45,0.15,1,-1.996230313057632
71,108828_fnca,0.35,0.1,1,-1.9963391778050386
50,108828_fnca,0.25,0.05,1,-2.0035561945596028
100,108828_fnca,0.5,0.05,1,-2.012001773001702
70,108828_fnca,0.35,0.05,1,-2.0121756499680608
90,108828_fnca,0.45,0.05,1,-2.01391140528717
60,108828_fnca,0.3,0.05,1,-2.0179656366319585
62,108828_fnca,0.3,0.15,1,-2.020229956075507
80,108828_fnca,0.4,0.05,1,-2.022856494696056
82,108828_fnca,0.4,0.15,1,-2.0240900593317726
42,108828_fnca,0.2,0.15,1,-2.039987550627842
52,108828_fnca,0.25,0.15,1,-2.0681162488683134
32,108828_fnca,0.15,0.15,1,-2.1099233291720023
93,108828_fnca,0.45,0.2,1,-2.133313926153418
103,108828_fnca,0.5,0.2,1,-2.1362421637976263
0,108828_fnca,0.0,0.05,1,-2.160555144136861
83,108828_fnca,0.4,0.2,1,-2.164210334617116
22,108828_fnca,0.1,0.15,1,-2.1777628667019115
12,108828_fnca,0.05,0.15,1,-2.188318499687851
73,108828_fnca,0.35,0.2,1,-2.205474240427416
2,108828_fnca,0.0,0.15,1,-2.246206635937193
63,108828_fnca,0.3,0.2,1,-2.3087026027902695
53,108828_fnca,0.25,0.2,1,-2.358891625944546
104,108828_fnca,0.5,0.25,1,-2.401383515799958
94,108828_fnca,0.45,0.25,1,-2.4464361033596256
43,108828_fnca,0.2,0.2,1,-2.488893618726156
74,108828_fnca,0.35,0.25,1,-2.523224696770048
84,108828_fnca,0.4,0.25,1,-2.5256998528373247
13,108828_fnca,0.05,0.2,1,-2.573863203095211
33,108828_fnca,0.15,0.2,1,-2.581951876856941
5,108828_fnca,0.0,0.3,1,-2.595455997059446
4,108828_fnca,0.0,0.25,1,-2.596270788025982
14,108828_fnca,0.05,0.25,1,-2.597940612710345
3,108828_fnca,0.0,0.2,1,-2.602360351322277
23,108828_fnca,0.1,0.2,1,-2.6200021211206845
24,108828_fnca,0.1,0.25,1,-2.689934631017671
34,108828_fnca,0.15,0.25,1,-2.7051578924516346
64,108828_fnca,0.3,0.25,1,-2.715818390534728
44,108828_fnca,0.2,0.25,1,-2.7227507489516825
85,108828_fnca,0.4,0.3,1,-2.7273312313017097
105,108828_fnca,0.5,0.3,1,-2.7558688648690746
54,108828_fnca,0.25,0.25,1,-2.777793719765737
8,108828_fnca,0.0,0.45,1,-2.878049725787596
6,108828_fnca,0.0,0.35,1,-2.8819944070735977
9,108828_fnca,0.0,0.5,1,-2.885389177188791
7,108828_fnca,0.0,0.4,1,-2.889011831426461
75,108828_fnca,0.35,0.3,1,-2.8943686211903685
106,108828_fnca,0.5,0.35,1,-2.8964629035538825
25,108828_fnca,0.1,0.3,1,-2.9137547728707758
65,108828_fnca,0.3,0.3,1,-2.915698634575284
107,108828_fnca,0.5,0.4,1,-2.9266879072328775
45,108828_fnca,0.2,0.3,1,-2.9306176753595845
17,108828_fnca,0.05,0.4,1,-2.945088824996878
95,108828_fnca,0.45,0.3,1,-2.9489692230514226
35,108828_fnca,0.15,0.3,1,-2.961690115319548
16,108828_fnca,0.05,0.35,1,-2.990542821484654
86,108828_fnca,0.4,0.35,1,-2.994147954988715
97,108828_fnca,0.45,0.4,1,-3.0176227549444437
96,108828_fnca,0.45,0.35,1,-3.033010076485544
15,108828_fnca,0.05,0.3,1,-3.0429529574663143
98,108828_fnca,0.45,0.45,1,-3.0529232509364297
55,108828_fnca,0.25,0.3,1,-3.0641432553490024
76,108828_fnca,0.35,0.35,1,-3.0707553361255036
87,108828_fnca,0.4,0.4,1,-3.0836108138243925
18,108828_fnca,0.05,0.45,1,-3.089411520532744
66,108828_fnca,0.3,0.35,1,-3.096938963417882
19,108828_fnca,0.05,0.5,1,-3.130467619223142
109,108828_fnca,0.5,0.5,1,-3.162272973872479
