,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
143,Punishment,0.0,0.2,0.1,0.168,0.3740159225598057,112819_fnca,0.4782608695652174,-0.8295392010098346,0.2828025929341125,-1.26300617621069
286,Reward,0.0,0.2,0.1,0.1792,0.3836731996103969,112819_fnca,0.32,-0.3669789814429993,0.3729632761246966,-0.9862753196151434
144,Punishment,0.0,0.25,0.1,0.1848,0.3882905814728555,112819_fnca,0.4782608695652174,-0.7557764302499123,0.2998306272880464,-1.204537539465323
287,Reward,0.0,0.25,0.1,0.1832,0.3869852271764936,112819_fnca,0.32,-0.3535018662033039,0.3747784161550839,-0.981420317909282
145,Punishment,0.0,0.3,0.1,0.1584,0.3652617868575231,112819_fnca,0.4782608695652174,-0.875703073998225,0.2718876172039189,-1.302366470109643
288,Reward,0.0,0.3,0.1,0.1448,0.3520399205836574,112819_fnca,0.32,-0.4976708315055029,0.3524746192427351,-1.042776661470362
146,Punishment,0.0,0.35,0.1,0.1584,0.3652617868575228,112819_fnca,0.4782608695652174,-0.8757030739982257,0.27188761720391874,-1.3023664701096436
289,Reward,0.0,0.35,0.1,0.148,0.355242111194679,112819_fnca,0.32,-0.4841768320246834,0.3548173476630801,-1.0361521355394019
147,Punishment,0.0,0.4,0.1,0.2072,0.4054623037272328,112819_fnca,0.4782608695652174,-0.6685229849322036,0.3190523688822296,-1.1424000238960044
290,Reward,0.0,0.4,0.1,0.2152,0.411125503153812,112819_fnca,0.32,-0.2549099951135646,0.3861891181876645,-0.9514280860090714
148,Punishment,0.0,0.45,0.1,0.1552,0.3622401611465492,112819_fnca,0.4782608695652174,-0.8918416680874838,0.26803725051445176,-1.3166293136732052
291,Reward,0.0,0.45,0.1,0.1744,0.3796049524649921,112819_fnca,0.32,-0.38355663975018217,0.37065025082876585,-0.9924963811528982
149,Punishment,0.0,0.5,0.1,0.1824,0.3863284091440458,112819_fnca,0.4782608695652174,-0.7658273700883933,0.297546633924664,-1.2121843135929251
292,Reward,0.0,0.5,0.1,0.1648,0.3711484351694657,112819_fnca,0.32,-0.4181615367154545,0.3655442030239385,-1.0063680685987877
150,Punishment,0.0,0.55,0.1,0.1488,0.3560336612939564,112819_fnca,0.4782608695652174,-0.9253643837153943,0.25999622832109437,-1.3470881545291584
293,Reward,0.0,0.55,0.1,0.1424,0.349599794068604,112819_fnca,0.32,-0.5080094525603426,0.35064697350003854,-1.047975335150002
