,HCPID,egs,alpha,r,LL
31,121618_fnca,0.15,0.1,1,-1.840806608131091
21,121618_fnca,0.1,0.1,1,-1.8408794615940487
41,121618_fnca,0.2,0.1,1,-1.841530770113671
51,121618_fnca,0.25,0.1,1,-1.843985976903077
61,121618_fnca,0.3,0.1,1,-1.8492266819759247
91,121618_fnca,0.45,0.1,1,-1.8572598163789276
71,121618_fnca,0.35,0.1,1,-1.8572757890099747
81,121618_fnca,0.4,0.1,1,-1.8590511782148307
30,121618_fnca,0.15,0.05,1,-1.8603212592410872
20,121618_fnca,0.1,0.05,1,-1.8609245514392736
40,121618_fnca,0.2,0.05,1,-1.86191208185671
50,121618_fnca,0.25,0.05,1,-1.8685082116725797
101,121618_fnca,0.5,0.1,1,-1.8687535473290797
100,121618_fnca,0.5,0.05,1,-1.873659749090633
11,121618_fnca,0.05,0.1,1,-1.876050954416859
70,121618_fnca,0.35,0.05,1,-1.8760998431134523
92,121618_fnca,0.45,0.15,1,-1.8769483005581855
102,121618_fnca,0.5,0.15,1,-1.8797232592723248
80,121618_fnca,0.4,0.05,1,-1.8831319491897802
90,121618_fnca,0.45,0.05,1,-1.8892173309897877
60,121618_fnca,0.3,0.05,1,-1.890309764649871
82,121618_fnca,0.4,0.15,1,-1.8995799038305723
10,121618_fnca,0.05,0.05,1,-1.9030792254270983
72,121618_fnca,0.35,0.15,1,-1.9203874522147548
52,121618_fnca,0.25,0.15,1,-1.94214276700794
62,121618_fnca,0.3,0.15,1,-1.9439800587604903
1,121618_fnca,0.0,0.1,1,-1.9641896465293838
103,121618_fnca,0.5,0.2,1,-1.9763723801153175
93,121618_fnca,0.45,0.2,1,-1.986784041767671
42,121618_fnca,0.2,0.15,1,-1.9903676314874277
32,121618_fnca,0.15,0.15,1,-2.054297890982645
83,121618_fnca,0.4,0.2,1,-2.0570675263479243
22,121618_fnca,0.1,0.15,1,-2.104217579450377
104,121618_fnca,0.5,0.25,1,-2.1646049317810383
