,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std,HCPID,LL,ResponseSwitch
0,Neutral,0.35,0.05,1,0.4033333333333333,0.4913862265411358,108121_fnca,-1.952766700995241,1.0
1,Punishment,0.35,0.05,1,0.5352,0.4989590445141582,108121_fnca,-1.952766700995241,0.6
2,Reward,0.35,0.05,1,0.5296,0.4993228400933722,108121_fnca,-1.952766700995241,0.76
