,HCPID,egs,alpha,r,LL
20,103515_fnca,0.1,0.05,1,-1.8410159577129188
30,103515_fnca,0.15,0.05,1,-1.8485529042528221
40,103515_fnca,0.2,0.05,1,-1.848727376914041
50,103515_fnca,0.25,0.05,1,-1.8555010975404505
10,103515_fnca,0.05,0.05,1,-1.855993233763968
60,103515_fnca,0.3,0.05,1,-1.8580465982192464
41,103515_fnca,0.2,0.1,1,-1.8604847054872864
51,103515_fnca,0.25,0.1,1,-1.8621476327260906
90,103515_fnca,0.45,0.05,1,-1.8636096180546908
31,103515_fnca,0.15,0.1,1,-1.8641888819545436
100,103515_fnca,0.5,0.05,1,-1.8655475410306228
80,103515_fnca,0.4,0.05,1,-1.8701161788447562
71,103515_fnca,0.35,0.1,1,-1.8703898055953543
61,103515_fnca,0.3,0.1,1,-1.8731692360482022
101,103515_fnca,0.5,0.1,1,-1.8735106130997137
91,103515_fnca,0.45,0.1,1,-1.8761481804697913
70,103515_fnca,0.35,0.05,1,-1.8784334304603352
81,103515_fnca,0.4,0.1,1,-1.883230055798277
21,103515_fnca,0.1,0.1,1,-1.887283737045415
102,103515_fnca,0.5,0.15,1,-1.9174299520270848
82,103515_fnca,0.4,0.15,1,-1.9513654825056324
92,103515_fnca,0.45,0.15,1,-1.9569064717608482
11,103515_fnca,0.05,0.1,1,-1.957340131738614
62,103515_fnca,0.3,0.15,1,-1.980443166782659
72,103515_fnca,0.35,0.15,1,-1.9840322581765717
52,103515_fnca,0.25,0.15,1,-2.0008719578196468
1,103515_fnca,0.0,0.1,1,-2.0613843883801275
103,103515_fnca,0.5,0.2,1,-2.099742275830096
93,103515_fnca,0.45,0.2,1,-2.1048738230121824
0,103515_fnca,0.0,0.05,1,-2.117580397318436
42,103515_fnca,0.2,0.15,1,-2.1619448501044425
32,103515_fnca,0.15,0.15,1,-2.1781146661322786
83,103515_fnca,0.4,0.2,1,-2.2061865176355355
22,103515_fnca,0.1,0.15,1,-2.2913953069975466
73,103515_fnca,0.35,0.2,1,-2.316344040943391
63,103515_fnca,0.3,0.2,1,-2.329113316625727
2,103515_fnca,0.0,0.15,1,-2.3729633313739713
12,103515_fnca,0.05,0.15,1,-2.3938298204380106
53,103515_fnca,0.25,0.2,1,-2.492831504846855
94,103515_fnca,0.45,0.25,1,-2.544128051588734
104,103515_fnca,0.5,0.25,1,-2.5533694788562338
84,103515_fnca,0.4,0.25,1,-2.5610655004290512
43,103515_fnca,0.2,0.2,1,-2.653756159436282
74,103515_fnca,0.35,0.25,1,-2.6988475813771027
23,103515_fnca,0.1,0.2,1,-2.773791871074758
13,103515_fnca,0.05,0.2,1,-2.8194446371568658
105,103515_fnca,0.5,0.3,1,-2.820306031299607
4,103515_fnca,0.0,0.25,1,-2.823496905482772
5,103515_fnca,0.0,0.3,1,-2.827391375077422
3,103515_fnca,0.0,0.2,1,-2.839365164346277
14,103515_fnca,0.05,0.25,1,-2.839811540665618
33,103515_fnca,0.15,0.2,1,-2.8556797995291223
24,103515_fnca,0.1,0.25,1,-2.8808207169911553
34,103515_fnca,0.15,0.25,1,-2.9297463981795326
85,103515_fnca,0.4,0.3,1,-2.9631090041736576
54,103515_fnca,0.25,0.25,1,-2.979961370803382
64,103515_fnca,0.3,0.25,1,-3.010749587046968
75,103515_fnca,0.35,0.3,1,-3.021405391744307
55,103515_fnca,0.25,0.3,1,-3.0336790385014507
107,103515_fnca,0.5,0.4,1,-3.03467523164925
44,103515_fnca,0.2,0.25,1,-3.037873490122432
8,103515_fnca,0.0,0.45,1,-3.049449681748314
76,103515_fnca,0.35,0.35,1,-3.0522636093298177
6,103515_fnca,0.0,0.35,1,-3.0530312114938205
7,103515_fnca,0.0,0.4,1,-3.0530312114938205
9,103515_fnca,0.0,0.5,1,-3.08726579968043
15,103515_fnca,0.05,0.3,1,-3.089084165116451
95,103515_fnca,0.45,0.3,1,-3.1069073564920737
17,103515_fnca,0.05,0.4,1,-3.125209777359764
65,103515_fnca,0.3,0.3,1,-3.1693479923241537
106,103515_fnca,0.5,0.35,1,-3.1712449256691304
97,103515_fnca,0.45,0.4,1,-3.1873474903649637
16,103515_fnca,0.05,0.35,1,-3.1932095657387585
18,103515_fnca,0.05,0.45,1,-3.2242831550356095
86,103515_fnca,0.4,0.35,1,-3.2285759270691097
109,103515_fnca,0.5,0.5,1,-3.235801868409598
108,103515_fnca,0.5,0.45,1,-3.2392747672389213
45,103515_fnca,0.2,0.3,1,-3.280664855636999
99,103515_fnca,0.45,0.5,1,-3.2913498629698297
46,103515_fnca,0.2,0.35,1,-3.297509594945576
35,103515_fnca,0.15,0.3,1,-3.3108263038821115
25,103515_fnca,0.1,0.3,1,-3.32733062430473
98,103515_fnca,0.45,0.45,1,-3.3286006117568325
27,103515_fnca,0.1,0.4,1,-3.329715569480854
66,103515_fnca,0.3,0.35,1,-3.38986465074035
96,103515_fnca,0.45,0.35,1,-3.398492713075238
26,103515_fnca,0.1,0.35,1,-3.4124543510245715
56,103515_fnca,0.25,0.35,1,-3.4221934449085234
47,103515_fnca,0.2,0.4,1,-3.4335555040449575
19,103515_fnca,0.05,0.5,1,-3.4509216356511754
29,103515_fnca,0.1,0.5,1,-3.466490783695198
28,103515_fnca,0.1,0.45,1,-3.476129415798064
87,103515_fnca,0.4,0.4,1,-3.4803926991983287
