,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
143,Punishment,0.0,0.2,0.1,0.2408,0.4277402592502921,118528_fnca,0.36,-0.27867379191503727,0.3837484288255324,-0.9577680743548252
286,Reward,0.0,0.2,0.1,0.2368,0.4252886741556753,118528_fnca,0.52,-0.6659006392828033,0.3196110906917053,-1.1406503639032954
144,Punishment,0.0,0.25,0.1,0.1712,0.3768343977540593,118528_fnca,0.36,-0.5010158338125497,0.3518863706788226,-1.044446966070115
287,Reward,0.0,0.25,0.1,0.156,0.3630005723582625,118528_fnca,0.52,-1.0027532398509584,0.24130452275981867,-1.4216955632204693
145,Punishment,0.0,0.3,0.1,0.2144,0.4105697187996165,118528_fnca,0.36,-0.3546291733976168,0.3746288567199035,-0.9818194585170111
288,Reward,0.0,0.3,0.1,0.2016,0.4013555892811733,118528_fnca,0.52,-0.793311488623476,0.2912392769276873,-1.2336100921956703
146,Punishment,0.0,0.35,0.1,0.1992,0.3995586035391176,118528_fnca,0.36,-0.4024440934964309,0.36790918270421863,-0.9999191573997547
289,Reward,0.0,0.35,0.1,0.1568,0.3637576331742801,118528_fnca,0.52,-0.9984670200061123,0.2423416605082563,-1.4174067282246157
147,Punishment,0.0,0.4,0.1,0.1656,0.3718699635838483,118528_fnca,0.36,-0.5227633824643845,0.3479907742873975,-1.0555793102274746
290,Reward,0.0,0.4,0.1,0.1648,0.3711484351694654,118528_fnca,0.52,-0.9570294964003193,0.252361861864623,-1.376891261694797
148,Punishment,0.0,0.45,0.1,0.1376,0.3446175401792532,118528_fnca,0.36,-0.6453531061835053,0.3239458687085628,-1.127178849035022
291,Reward,0.0,0.45,0.1,0.1448,0.3520399205836572,118528_fnca,0.52,-1.065788219068863,0.22607447532528113,-1.486890797157662
149,Punishment,0.0,0.5,0.1,0.176,0.3809725870580085,118528_fnca,0.36,-0.4829743825426037,0.3550237251608326,-1.0355706603008774
292,Reward,0.0,0.5,0.1,0.1728,0.3782255989260196,118528_fnca,0.52,-0.9179706529274658,0.261774039231467,-1.3402735930227114
150,Punishment,0.0,0.55,0.1,0.1576,0.3645113644701112,118528_fnca,0.36,-0.555263894979593,0.34194768216796706,-1.073097529738627
293,Reward,0.0,0.55,0.1,0.1656,0.3718699635838484,118528_fnca,0.52,-0.9530213104186103,0.25332973402656533,-1.3730633422606753
151,Punishment,0.0,0.6,0.1,0.1936,0.3952771625431734,118528_fnca,0.36,-0.42097043737462386,0.3651136559242625,-1.0075465877763636
