,HCPID,egs,alpha,r,LL
71,118528_fnca,0.35,0.1,1,-1.8803726013047286
100,118528_fnca,0.5,0.05,1,-1.8821843161701015
102,118528_fnca,0.5,0.15,1,-1.8851542433877828
101,118528_fnca,0.5,0.1,1,-1.8904713517831835
90,118528_fnca,0.45,0.05,1,-1.8960232799125312
82,118528_fnca,0.4,0.15,1,-1.9017470907912757
91,118528_fnca,0.45,0.1,1,-1.9025818013661406
80,118528_fnca,0.4,0.05,1,-1.9028357480481572
92,118528_fnca,0.45,0.15,1,-1.90289255342448
81,118528_fnca,0.4,0.1,1,-1.9101729580189386
61,118528_fnca,0.3,0.1,1,-1.9177499174139567
70,118528_fnca,0.35,0.05,1,-1.9242754000699687
30,118528_fnca,0.15,0.05,1,-1.9245791279396034
51,118528_fnca,0.25,0.1,1,-1.9267108416691459
50,118528_fnca,0.25,0.05,1,-1.9272749563905738
60,118528_fnca,0.3,0.05,1,-1.92885017847976
72,118528_fnca,0.35,0.15,1,-1.9439727336402577
62,118528_fnca,0.3,0.15,1,-1.9448997028762887
41,118528_fnca,0.2,0.1,1,-1.9518949704890227
42,118528_fnca,0.2,0.15,1,-1.9557815871063409
40,118528_fnca,0.2,0.05,1,-1.955962579371093
31,118528_fnca,0.15,0.1,1,-1.9696773825875908
52,118528_fnca,0.25,0.15,1,-1.980891810363613
20,118528_fnca,0.1,0.05,1,-1.9919308592231588
103,118528_fnca,0.5,0.2,1,-1.9956580143117932
21,118528_fnca,0.1,0.1,1,-2.0073832016099415
93,118528_fnca,0.45,0.2,1,-2.0553818853637997
83,118528_fnca,0.4,0.2,1,-2.0663617799670666
32,118528_fnca,0.15,0.15,1,-2.0800908371295614
73,118528_fnca,0.35,0.2,1,-2.1039148008936523
11,118528_fnca,0.05,0.1,1,-2.1102241308459266
10,118528_fnca,0.05,0.05,1,-2.1608460005497125
22,118528_fnca,0.1,0.15,1,-2.2138721056367836
104,118528_fnca,0.5,0.25,1,-2.2174258805216036
2,118528_fnca,0.0,0.15,1,-2.2233435690874668
63,118528_fnca,0.3,0.2,1,-2.249071206312686
53,118528_fnca,0.25,0.2,1,-2.2747586865889446
12,118528_fnca,0.05,0.15,1,-2.2963016172027313
94,118528_fnca,0.45,0.25,1,-2.3333349891519277
1,118528_fnca,0.0,0.1,1,-2.3555243668053785
105,118528_fnca,0.5,0.3,1,-2.3763488463555165
84,118528_fnca,0.4,0.25,1,-2.3766859541871814
43,118528_fnca,0.2,0.2,1,-2.411373644058208
74,118528_fnca,0.35,0.25,1,-2.4302390674326704
64,118528_fnca,0.3,0.25,1,-2.485443611792287
3,118528_fnca,0.0,0.2,1,-2.4857653303623337
85,118528_fnca,0.4,0.3,1,-2.5078161483942845
13,118528_fnca,0.05,0.2,1,-2.5085739780077434
33,118528_fnca,0.15,0.2,1,-2.509514274804334
97,118528_fnca,0.45,0.4,1,-2.510282713223977
14,118528_fnca,0.05,0.25,1,-2.521388603083874
