,HCPID,egs,alpha,r,LL
90,102311_fnca,0.45,0.05,1,-1.8768116192297435
80,102311_fnca,0.4,0.05,1,-1.8796697643629856
100,102311_fnca,0.5,0.05,1,-1.880128940180204
60,102311_fnca,0.3,0.05,1,-1.8850732148200537
91,102311_fnca,0.45,0.1,1,-1.8859602269660911
101,102311_fnca,0.5,0.1,1,-1.886124957032723
70,102311_fnca,0.35,0.05,1,-1.889634977706324
81,102311_fnca,0.4,0.1,1,-1.8915452192564315
40,102311_fnca,0.2,0.05,1,-1.8939199426809257
71,102311_fnca,0.35,0.1,1,-1.9066212692142495
92,102311_fnca,0.45,0.15,1,-1.9108788877067608
50,102311_fnca,0.25,0.05,1,-1.9117918437781747
82,102311_fnca,0.4,0.15,1,-1.9169240475310139
61,102311_fnca,0.3,0.1,1,-1.9171564696883165
51,102311_fnca,0.25,0.1,1,-1.9196292307134257
102,102311_fnca,0.5,0.15,1,-1.9221305320822597
30,102311_fnca,0.15,0.05,1,-1.940700542501574
41,102311_fnca,0.2,0.1,1,-1.9540732381965409
31,102311_fnca,0.15,0.1,1,-1.9666959954062575
103,102311_fnca,0.5,0.2,1,-1.9788962168438096
20,102311_fnca,0.1,0.05,1,-1.980970168212116
72,102311_fnca,0.35,0.15,1,-2.0038099073261626
21,102311_fnca,0.1,0.1,1,-2.0204274826857667
62,102311_fnca,0.3,0.15,1,-2.0219996229283086
52,102311_fnca,0.25,0.15,1,-2.0537152802042113
42,102311_fnca,0.2,0.15,1,-2.0862882243664505
93,102311_fnca,0.45,0.2,1,-2.101817124752077
10,102311_fnca,0.05,0.05,1,-2.104631575250813
11,102311_fnca,0.05,0.1,1,-2.130608648508367
83,102311_fnca,0.4,0.2,1,-2.143848323033099
73,102311_fnca,0.35,0.2,1,-2.161300440577525
32,102311_fnca,0.15,0.15,1,-2.204892070107249
63,102311_fnca,0.3,0.2,1,-2.277433900895371
22,102311_fnca,0.1,0.15,1,-2.3098699025932246
104,102311_fnca,0.5,0.25,1,-2.3509203613140897
2,102311_fnca,0.0,0.15,1,-2.362331344380697
53,102311_fnca,0.25,0.2,1,-2.3792861768376445
12,102311_fnca,0.05,0.15,1,-2.4027524279630805
94,102311_fnca,0.45,0.25,1,-2.403484464068695
1,102311_fnca,0.0,0.1,1,-2.433072815537957
84,102311_fnca,0.4,0.25,1,-2.5689672474404346
74,102311_fnca,0.35,0.25,1,-2.6013341565872183
43,102311_fnca,0.2,0.2,1,-2.603038227073619
33,102311_fnca,0.15,0.2,1,-2.6086292824947854
105,102311_fnca,0.5,0.3,1,-2.648576202312257
106,102311_fnca,0.5,0.35,1,-2.662338358509417
4,102311_fnca,0.0,0.25,1,-2.6823135494733554
3,102311_fnca,0.0,0.2,1,-2.688495332872865
23,102311_fnca,0.1,0.2,1,-2.6994674859065126
5,102311_fnca,0.0,0.3,1,-2.7074779235322657
34,102311_fnca,0.15,0.25,1,-2.717428538772909
14,102311_fnca,0.05,0.25,1,-2.7271432973461653
13,102311_fnca,0.05,0.2,1,-2.7297936185874025
24,102311_fnca,0.1,0.25,1,-2.7304607114750903
95,102311_fnca,0.45,0.3,1,-2.73460599472002
64,102311_fnca,0.3,0.25,1,-2.740063774462902
9,102311_fnca,0.0,0.5,1,-2.7593755834325417
6,102311_fnca,0.0,0.35,1,-2.76541688457374
7,102311_fnca,0.0,0.4,1,-2.7777096185871484
75,102311_fnca,0.35,0.3,1,-2.7785732384870023
8,102311_fnca,0.0,0.45,1,-2.7839634451468864
16,102311_fnca,0.05,0.35,1,-2.7871385776797384
18,102311_fnca,0.05,0.45,1,-2.7964023233507658
17,102311_fnca,0.05,0.4,1,-2.8084877060088758
54,102311_fnca,0.25,0.25,1,-2.8144047545035162
96,102311_fnca,0.45,0.35,1,-2.820996986327231
44,102311_fnca,0.2,0.25,1,-2.8239042086795085
15,102311_fnca,0.05,0.3,1,-2.8369219646449197
55,102311_fnca,0.25,0.3,1,-2.840632373810912
35,102311_fnca,0.15,0.3,1,-2.845330822146658
107,102311_fnca,0.5,0.4,1,-2.849954137347101
109,102311_fnca,0.5,0.5,1,-2.8570223946544706
86,102311_fnca,0.4,0.35,1,-2.875667487322693
87,102311_fnca,0.4,0.4,1,-2.8834008887787514
97,102311_fnca,0.45,0.4,1,-2.885493204488321
46,102311_fnca,0.2,0.35,1,-2.889462729948907
45,102311_fnca,0.2,0.3,1,-2.8965536789836754
36,102311_fnca,0.15,0.35,1,-2.903134454942575
26,102311_fnca,0.1,0.35,1,-2.9053363310630624
108,102311_fnca,0.5,0.45,1,-2.914093953660979
0,102311_fnca,0.0,0.05,1,-2.9341808135582546
65,102311_fnca,0.3,0.3,1,-2.9347355240773565
28,102311_fnca,0.1,0.45,1,-2.9459703260179233
27,102311_fnca,0.1,0.4,1,-2.9534980683403265
25,102311_fnca,0.1,0.3,1,-2.9612537632498532
66,102311_fnca,0.3,0.35,1,-2.9620480524849344
56,102311_fnca,0.25,0.35,1,-2.968273881175791
85,102311_fnca,0.4,0.3,1,-2.989733154489623
76,102311_fnca,0.35,0.35,1,-2.9934496953060683
19,102311_fnca,0.05,0.5,1,-3.0046401567134082
77,102311_fnca,0.35,0.4,1,-3.0071407928176654
38,102311_fnca,0.15,0.45,1,-3.0366318314510674
89,102311_fnca,0.4,0.5,1,-3.0547145460124456
98,102311_fnca,0.45,0.45,1,-3.0586110265600857
47,102311_fnca,0.2,0.4,1,-3.0755155598500483
37,102311_fnca,0.15,0.4,1,-3.0774923362360758
88,102311_fnca,0.4,0.45,1,-3.079917129777427
67,102311_fnca,0.3,0.4,1,-3.080159412402451
68,102311_fnca,0.3,0.45,1,-3.0985325927300136
57,102311_fnca,0.25,0.4,1,-3.1382243736159716
