,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std
0,Neutral,0.0,0.05,1,0.0,0.0
1,Neutral,0.0,0.1,1,0.0,0.0
2,Neutral,0.0,0.15,1,0.0,0.0
3,Neutral,0.0,0.2,1,0.0,0.0
4,Neutral,0.0,0.25,1,0.0,0.0
5,Neutral,0.0,0.3,1,0.0,0.0
6,Neutral,0.0,0.35,1,0.0,0.0
7,Neutral,0.0,0.4,1,0.0,0.0
8,Neutral,0.0,0.45,1,0.0,0.0
9,Neutral,0.0,0.5,1,0.0,0.0
10,Neutral,0.05,0.05,1,0.18333333333333332,0.3875860748793186
11,Neutral,0.05,0.1,1,0.12333333333333334,0.3293688434044333
12,Neutral,0.05,0.15,1,0.013333333333333334,0.11488931224930927
13,Neutral,0.05,0.2,1,0.0,0.0
14,Neutral,0.05,0.25,1,0.016666666666666666,0.12823299585640938
15,Neutral,0.05,0.3,1,0.11666666666666667,0.3215590505108515
16,Neutral,0.05,0.35,1,0.03333333333333333,0.179805419417013
17,Neutral,0.05,0.4,1,0.013333333333333334,0.11488931224930929
18,Neutral,0.05,0.45,1,0.04,0.1962865968262874
19,Neutral,0.05,0.5,1,0.06,0.23788364542889834
20,Neutral,0.1,0.05,1,0.26,0.439367133796862
21,Neutral,0.1,0.1,1,0.18333333333333332,0.3875860748793187
22,Neutral,0.1,0.15,1,0.10333333333333333,0.3049023456071547
23,Neutral,0.1,0.2,1,0.07666666666666666,0.2665063620734802
24,Neutral,0.1,0.25,1,0.06,0.23788364542889828
25,Neutral,0.1,0.3,1,0.14,0.3475667929841461
26,Neutral,0.1,0.35,1,0.09,0.28665992577177263
27,Neutral,0.1,0.4,1,0.07,0.2555733275451652
28,Neutral,0.1,0.45,1,0.07,0.25557332754516526
29,Neutral,0.1,0.5,1,0.08666666666666667,0.28181605677298177
30,Neutral,0.15,0.05,1,0.32,0.46725556090572573
31,Neutral,0.15,0.1,1,0.25,0.43373619897468013
32,Neutral,0.15,0.15,1,0.15333333333333332,0.36091052943411095
33,Neutral,0.15,0.2,1,0.13,0.33686534530812945
34,Neutral,0.15,0.25,1,0.12333333333333334,0.3293688434044334
35,Neutral,0.15,0.3,1,0.12666666666666668,0.3331549132304484
36,Neutral,0.15,0.35,1,0.12666666666666668,0.3331549132304482
37,Neutral,0.15,0.4,1,0.12666666666666668,0.3331549132304482
38,Neutral,0.15,0.45,1,0.10333333333333333,0.30490234560715457
39,Neutral,0.15,0.5,1,0.13,0.3368653453081293
40,Neutral,0.2,0.05,1,0.38666666666666666,0.4877998748961688
41,Neutral,0.2,0.1,1,0.27666666666666667,0.44809767608554546
42,Neutral,0.2,0.15,1,0.23,0.4215356541175463
43,Neutral,0.2,0.2,1,0.14,0.34756679298414594
44,Neutral,0.2,0.25,1,0.14,0.34756679298414606
45,Neutral,0.2,0.3,1,0.18,0.38482937191039596
46,Neutral,0.2,0.35,1,0.13333333333333333,0.34050261230349954
47,Neutral,0.2,0.4,1,0.13666666666666666,0.34406903458087246
48,Neutral,0.2,0.45,1,0.09333333333333334,0.2913850368290183
49,Neutral,0.2,0.5,1,0.14333333333333334,0.3509979402633572
50,Neutral,0.25,0.05,1,0.39666666666666667,0.4900230923050425
51,Neutral,0.25,0.1,1,0.2866666666666667,0.4529600404188833
52,Neutral,0.25,0.15,1,0.28,0.4497490939308703
53,Neutral,0.25,0.2,1,0.18666666666666668,0.3902947461236545
54,Neutral,0.25,0.25,1,0.17666666666666667,0.38202359741972386
55,Neutral,0.25,0.3,1,0.19,0.39295637890109836
56,Neutral,0.25,0.35,1,0.15333333333333332,0.36091052943411095
