,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std
0,Neutral,0.0,0.2,0.1,0.16666666666666666,0.37330068339472067
1,Neutral,0.0,0.25,0.1,0.16333333333333333,0.37028718253185633
2,Neutral,0.0,0.3,0.1,0.20333333333333334,0.4031509118779828
3,Neutral,0.0,0.35,0.1,0.23666666666666666,0.4257461153528187
4,Neutral,0.0,0.4,0.1,0.18333333333333332,0.38758607487931845
5,Neutral,0.0,0.45,0.1,0.12333333333333334,0.32936884340443323
6,Neutral,0.0,0.5,0.1,0.09333333333333334,0.29138503682901845
7,Neutral,0.0,0.55,0.1,0.15333333333333332,0.3609105294341109
8,Neutral,0.0,0.6,0.1,0.12333333333333334,0.3293688434044333
9,Neutral,0.0,0.65,0.1,0.12,0.3255044965242801
10,Neutral,0.0,0.7,0.1,0.19333333333333333,0.39557192271742875
11,Neutral,0.0,0.75,0.1,0.20333333333333334,0.40315091187798274
12,Neutral,0.0,0.8,0.1,0.15333333333333332,0.36091052943411117
13,Neutral,0.05,0.2,0.1,0.20333333333333334,0.40315091187798285
14,Neutral,0.05,0.25,0.1,0.16666666666666666,0.3733006833947206
15,Neutral,0.05,0.3,0.1,0.20333333333333334,0.40315091187798274
16,Neutral,0.05,0.35,0.1,0.16333333333333333,0.370287182531856
17,Neutral,0.05,0.4,0.1,0.11,0.31341254721080314
18,Neutral,0.05,0.45,0.1,0.11666666666666667,0.32155905051085154
19,Neutral,0.05,0.5,0.1,0.14666666666666667,0.35436441131823404
20,Neutral,0.05,0.55,0.1,0.19666666666666666,0.3981422858999375
21,Neutral,0.05,0.6,0.1,0.12,0.32550449652428015
22,Neutral,0.05,0.65,0.1,0.16,0.36721859746989843
23,Neutral,0.05,0.7,0.1,0.13333333333333333,0.34050261230349954
24,Neutral,0.05,0.75,0.1,0.20333333333333334,0.4031509118779828
25,Neutral,0.05,0.8,0.1,0.17666666666666667,0.38202359741972397
26,Neutral,0.1,0.2,0.1,0.08333333333333333,0.2768471963423704
27,Neutral,0.1,0.25,0.1,0.23333333333333334,0.42365927286816163
28,Neutral,0.1,0.3,0.1,0.13333333333333333,0.3405026123034995
29,Neutral,0.1,0.35,0.1,0.16666666666666666,0.37330068339472067
30,Neutral,0.1,0.4,0.1,0.17,0.3762604235825436
31,Neutral,0.1,0.45,0.1,0.25666666666666665,0.43752368943667863
32,Neutral,0.1,0.5,0.1,0.19,0.3929563789010982
33,Neutral,0.1,0.55,0.1,0.20666666666666667,0.40559080597963043
34,Neutral,0.1,0.6,0.1,0.18,0.3848293719103959
35,Neutral,0.1,0.65,0.1,0.18,0.384829371910396
36,Neutral,0.1,0.7,0.1,0.15666666666666668,0.36409353546046735
37,Neutral,0.1,0.75,0.1,0.14666666666666667,0.35436441131823426
38,Neutral,0.1,0.8,0.1,0.19,0.3929563789010984
39,Neutral,0.15,0.2,0.1,0.20333333333333334,0.4031509118779829
40,Neutral,0.15,0.25,0.1,0.15333333333333332,0.3609105294341109
41,Neutral,0.15,0.3,0.1,0.20666666666666667,0.4055908059796305
42,Neutral,0.15,0.35,0.1,0.20333333333333334,0.4031509118779829
43,Neutral,0.15,0.4,0.1,0.13,0.33686534530812934
44,Neutral,0.15,0.45,0.1,0.16666666666666666,0.37330068339472056
45,Neutral,0.15,0.5,0.1,0.13333333333333333,0.3405026123034995
46,Neutral,0.15,0.55,0.1,0.18,0.3848293719103959
47,Neutral,0.15,0.6,0.1,0.14333333333333334,0.3509979402633571
48,Neutral,0.15,0.65,0.1,0.16333333333333333,0.37028718253185616
49,Neutral,0.15,0.7,0.1,0.11,0.31341254721080314
50,Neutral,0.15,0.75,0.1,0.19,0.39295637890109847
51,Neutral,0.15,0.8,0.1,0.22333333333333333,0.4171758315991676
52,Neutral,0.2,0.2,0.1,0.09,0.28665992577177274
53,Neutral,0.2,0.25,0.1,0.22666666666666666,0.4193747004212347
54,Neutral,0.2,0.3,0.1,0.17666666666666667,0.38202359741972386
