,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
110,Punishment,0.0,0.05,1,0.88,0.3250915988427114,173536_fnca,0.48,1.2304224453168089,0.18713813777163993,-1.6759082301743704
220,Reward,0.0,0.05,1,0.5,0.5002001200800564,173536_fnca,0.25,0.4997999599839916,0.35210053505736133,-1.0438385332046725
111,Punishment,0.0,0.1,1,0.6,0.4900940253900043,173536_fnca,0.48,0.24485097508484635,0.38716104591282735,-0.9489145332046727
221,Reward,0.0,0.1,1,0.18,0.3843412214941713,173536_fnca,0.25,-0.18212982653244125,0.3923801376973149,-0.9355241700610412
112,Punishment,0.0,0.15,1,0.28,0.4491785937990611,173536_fnca,0.48,-0.4452571933770055,0.36129317998379407,-1.0180655173316566
222,Reward,0.0,0.15,1,0.188,0.3908685489753077,173536_fnca,0.25,-0.15862110206241414,0.3939548933132881,-0.93151886021442
113,Punishment,0.0,0.2,1,0.2,0.4001600960640447,173536_fnca,0.48,-0.699719943977589,0.31231514113586656,-1.1637425332046727
223,Reward,0.0,0.2,1,0.1416,0.3487789520683906,173536_fnca,0.25,-0.31079857129321353,0.3801321174590845,-0.967236409163624
114,Punishment,0.0,0.25,1,0.2,0.4001600960640447,173536_fnca,0.48,-0.699719943977589,0.31231514113586656,-1.1637425332046727
224,Reward,0.0,0.25,1,0.1336,0.3403582156669318,173536_fnca,0.25,-0.3419926261274882,0.3762813999564554,-0.9774180113674608
115,Punishment,0.0,0.3,1,0.2,0.4001600960640447,173536_fnca,0.48,-0.699719943977589,0.31231514113586656,-1.1637425332046727
225,Reward,0.0,0.3,1,0.1424,0.3495997940686039,173536_fnca,0.25,-0.3077805016638112,0.3804871202448626,-0.9663029518068862
116,Punishment,0.0,0.35,1,0.16,0.3667527860628576,173536_fnca,0.48,-0.8725223424619201,0.2726446030442131,-1.299586152252291
226,Reward,0.0,0.35,1,0.1432,0.3504168854305909,173536_fnca,0.25,-0.3047798335082072,0.3808369658229904,-0.9653839066613179
117,Punishment,0.0,0.4,1,0.16,0.3667527860628576,173536_fnca,0.48,-0.8725223424619201,0.2726446030442131,-1.299586152252291
227,Reward,0.0,0.4,1,0.1368,0.3437736235422877,173536_fnca,0.25,-0.3292864613450346,0.3778895506839822,-0.9731533200172402
118,Punishment,0.0,0.45,1,0.16,0.3667527860628576,173536_fnca,0.48,-0.8725223424619201,0.2726446030442131,-1.299586152252291
228,Reward,0.0,0.45,1,0.1376,0.3446175401792536,173536_fnca,0.25,-0.326158674168282,0.3782771036204448,-0.9721282735722784
119,Punishment,0.0,0.5,1,0.16,0.3667527860628576,173536_fnca,0.48,-0.8725223424619201,0.2726446030442131,-1.299586152252291
229,Reward,0.0,0.5,1,0.1416,0.3487789520683906,173536_fnca,0.25,-0.31079857129321353,0.3801321174590845,-0.967236409163624
120,Punishment,0.05,0.05,1,0.7096,0.4541286450566719,173536_fnca,0.48,0.5055836105017063,0.3510783269145441,-1.0467459268086432
